from,to,const,,,,,,,,,,,,
% Hybrid vehicles (GWh / thousand cars),,,,,,,,,,,,,,
ttMNWI,DD05,0.000008325,,,,,,,,,,,,
ttMOOK,DD10,0.00001665,,,,,,,,,,,,
ttMOTN,DD09,0.000008325,,,,,,,,,,,,
ttMOTN,DD10,0.000008325,,,,,,,,,,,,
ttMSTN,DD09,0.00001665,,,,,,,,,,,,
ttMTND,DD05,0.000008325,,,,,,,,,,,,
ttMTND,DD11,0.000008325,,,,,,,,,,,,
ttMTWY,DD11,0.000008325,,,,,,,,,,,,
ttMTWY,DD12,0.000008325,,,,,,,,,,,,
ttNCSC,DD09,0.00001665,,,,,,,,,,,,
ttNCTN,DD09,0.00001665,,,,,,,,,,,,
ttNCVA,DD09,0.00001665,,,,,,,,,,,,
ttNDSD,DD05,0.00001665,,,,,,,,,,,,
ttNESD,DD05,0.000008325,,,,,,,,,,,,
ttNEWY,DD05,0.000008325,,,,,,,,,,,,
ttNEWY,DD12,0.000008325,,,,,,,,,,,,
ttNHVT,DD07,0.00001665,,,,,,,,,,,,
ttNJNY,DD03,0.000008325,,,,,,,,,,,,
ttNJNY,DD06,0.000008325,,,,,,,,,,,,
ttNJPA,DD03,0.00001665,,,,,,,,,,,,
ttNMTX,DD02,0.000008325,,,,,,,,,,,,
ttNMTX,DD12,0.000008325,,,,,,,,,,,,
ttNVOR,DD11,0.00001665,,,,,,,,,,,,
ttNVUT,DD11,0.00001665,,,,,,,,,,,,
ttNYPA,DD03,0.000008325,,,,,,,,,,,,
ttNYPA,DD06,0.000008325,,,,,,,,,,,,
ttNYVT,DD06,0.000008325,,,,,,,,,,,,
ttNYVT,DD07,0.000008325,,,,,,,,,,,,
ttOHPA,DD01,0.000008325,,,,,,,,,,,,
ttOHPA,DD03,0.000008325,,,,,,,,,,,,
ttOHWV,DD01,0.00001665,,,,,,,,,,,,
ttOKTX,DD02,0.000008325,,,,,,,,,,,,
ttOKTX,DD10,0.000008325,,,,,,,,,,,,
ttORWA,DD11,0.00001665,,,,,,,,,,,,
ttPAWV,DD01,0.000008325,,,,,,,,,,,,
ttPAWV,DD03,0.000008325,,,,,,,,,,,,
ttSDWY,DD05,0.000008325,,,,,,,,,,,,
ttSDWY,DD12,0.000008325,,,,,,,,,,,,
ttTNVA,DD09,0.00001665,,,,,,,,,,,,
ttUTWY,DD11,0.000008325,,,,,,,,,,,,
ttUTWY,DD12,0.000008325,,,,,,,,,,,,
ttVAWV,DD01,0.000008325,,,,,,,,,,,,
ttVAWV,DD09,0.000008325,,,,,,,,,,,,
ttFLAL,DD09,0.000008325,,,,,,,,,,,,
ttFLAL,DD08,0.000008325,,,,,,,,,,,,
ttGAAL,DD09,0.00001665,,,,,,,,,,,,
ttMSAL,DD09,0.00001665,,,,,,,,,,,,
ttTNAL,DD09,0.00001665,,,,,,,,,,,,
ttLAAR,DD10,0.00001665,,,,,,,,,,,,
ttMOAR,DD10,0.00001665,,,,,,,,,,,,
ttOKAR,DD10,0.00001665,,,,,,,,,,,,
ttTNAR,DD10,0.000008325,,,,,,,,,,,,
ttTNAR,DD09,0.000008325,,,,,,,,,,,,
ttTXAR,DD10,0.000008325,,,,,,,,,,,,
ttTXAR,DD02,0.000008325,,,,,,,,,,,,
ttCAAZ,DD13,0.000008325,,,,,,,,,,,,
ttCAAZ,DD12,0.000008325,,,,,,,,,,,,
ttNMAZ,DD12,0.00001665,,,,,,,,,,,,
ttNVAZ,DD12,0.000008325,,,,,,,,,,,,
ttNVAZ,DD11,0.000008325,,,,,,,,,,,,
ttUTAZ,DD12,0.000008325,,,,,,,,,,,,
ttUTAZ,DD11,0.000008325,,,,,,,,,,,,
ttNVCA,DD13,0.000008325,,,,,,,,,,,,
ttNVCA,DD11,0.000008325,,,,,,,,,,,,
ttORCA,DD13,0.000008325,,,,,,,,,,,,
ttORCA,DD11,0.000008325,,,,,,,,,,,,
ttKSCO,DD12,0.000008325,,,,,,,,,,,,
ttKSCO,DD10,0.000008325,,,,,,,,,,,,
ttNECO,DD12,0.000008325,,,,,,,,,,,,
ttNECO,DD05,0.000008325,,,,,,,,,,,,
ttNMCO,DD12,0.00001665,,,,,,,,,,,,
ttUTCO,DD12,0.000008325,,,,,,,,,,,,
ttUTCO,DD11,0.000008325,,,,,,,,,,,,
ttWYCO,DD12,0.00001665,,,,,,,,,,,,
