from,to,const,,,,,,,,,,,,
% Hybrid vehicles (GWh / thousand cars),,,,,,,,,,,,,,
kkNJDE,DD03,0.000000169,,,,,,,,,,,,
kkPADE,DD03,0.000000169,,,,,,,,,,,,
kkGAFL,DD09,8.45E-08,,,,,,,,,,,,
kkGAFL,DD08,8.45E-08,,,,,,,,,,,,
kkSCGA,DD09,0.000000169,,,,,,,,,,,,
kkTNGA,DD09,0.000000169,,,,,,,,,,,,
kkILIA,DD05,8.45E-08,,,,,,,,,,,,
kkILIA,DD04,8.45E-08,,,,,,,,,,,,
kkMNIA,DD05,0.000000169,,,,,,,,,,,,
kkMOIA,DD10,8.45E-08,,,,,,,,,,,,
kkMOIA,DD05,8.45E-08,,,,,,,,,,,,
kkNEIA,DD05,8.45E-08,,,,,,,,,,,,
kkSDIA,DD05,0.000000169,,,,,,,,,,,,
kkWIIA,DD05,8.45E-08,,,,,,,,,,,,
kkWIIA,DD04,8.45E-08,,,,,,,,,,,,
kkMTID,DD11,0.000000169,,,,,,,,,,,,
kkORID,DD11,0.000000169,,,,,,,,,,,,
kkUTID,DD11,0.000000169,,,,,,,,,,,,
kkWAID,DD11,0.000000169,,,,,,,,,,,,
kkWYID,DD12,8.45E-08,,,,,,,,,,,,
kkWYID,DD11,8.45E-08,,,,,,,,,,,,
kkINIL,DD04,8.45E-08,,,,,,,,,,,,
kkINIL,DD01,8.45E-08,,,,,,,,,,,,
kkKYIL,DD04,8.45E-08,,,,,,,,,,,,
kkKYIL,DD01,8.45E-08,,,,,,,,,,,,
kkMOIL,DD10,8.45E-08,,,,,,,,,,,,
kkMOIL,DD04,8.45E-08,,,,,,,,,,,,
kkWIIL,DD04,0.000000169,,,,,,,,,,,,
kkKYIN,DD01,0.000000169,,,,,,,,,,,,
kkMIIN,DD01,0.000000169,,,,,,,,,,,,
kkOHIN,DD01,0.000000169,,,,,,,,,,,,
kkMOKS,DD10,0.000000169,,,,,,,,,,,,
kkNEKS,DD10,8.45E-08,,,,,,,,,,,,
kkNEKS,DD05,8.45E-08,,,,,,,,,,,,
kkOKKS,DD10,0.000000169,,,,,,,,,,,,
kkOHKY,DD01,0.000000169,,,,,,,,,,,,
kkTNKY,DD09,8.45E-08,,,,,,,,,,,,
kkTNKY,DD01,8.45E-08,,,,,,,,,,,,
kkWVKY,DD01,0.000000169,,,,,,,,,,,,
kkMSLA,DD10,8.45E-08,,,,,,,,,,,,
kkMSLA,DD09,8.45E-08,,,,,,,,,,,,
kkTXLA,DD10,8.45E-08,,,,,,,,,,,,
kkTXLA,DD02,8.45E-08,,,,,,,,,,,,
kkNHMA,DD07,0.000000169,,,,,,,,,,,,
kkNYMA,DD07,8.45E-08,,,,,,,,,,,,
kkNYMA,DD06,8.45E-08,,,,,,,,,,,,
kkVTMA,DD07,0.000000169,,,,,,,,,,,,
kkPAMD,DD03,8.45E-08,,,,,,,,,,,,
kkPAMD,DD01,8.45E-08,,,,,,,,,,,,
kkVAMD,DD09,8.45E-08,,,,,,,,,,,,
kkVAMD,DD01,8.45E-08,,,,,,,,,,,,
kkWVMD,DD01,8.45E-08,,,,,,,,,,,,
kkNHME,DD07,0.000000169,,,,,,,,,,,,
kkOHMI,DD01,0.000000169,,,,,,,,,,,,
kkWIMI,DD04,8.45E-08,,,,,,,,,,,,
kkWIMI,DD01,8.45E-08,,,,,,,,,,,,
kkNDMN,DD05,0.000000169,,,,,,,,,,,,
kkSDMN,DD05,0.000000169,,,,,,,,,,,,
kkWIMN,DD05,8.45E-08,,,,,,,,,,,,
kkWIMN,DD04,8.45E-08,,,,,,,,,,,,
kkOKMO,DD10,0.000000169,,,,,,,,,,,,
kkTNMO,DD10,8.45E-08,,,,,,,,,,,,
kkTNMO,DD09,8.45E-08,,,,,,,,,,,,
kkTNMS,DD09,0.000000169,,,,,,,,,,,,
kkNDMT,DD11,8.45E-08,,,,,,,,,,,,
kkNDMT,DD05,8.45E-08,,,,,,,,,,,,
kkWYMT,DD12,8.45E-08,,,,,,,,,,,,
kkWYMT,DD11,8.45E-08,,,,,,,,,,,,
kkSCNC,DD09,0.000000169,,,,,,,,,,,,
kkTNNC,DD09,0.000000169,,,,,,,,,,,,
kkVANC,DD09,0.000000169,,,,,,,,,,,,
kkSDND,DD05,0.000000169,,,,,,,,,,,,
kkSDNE,DD05,8.45E-08,,,,,,,,,,,,
kkWYNE,DD12,8.45E-08,,,,,,,,,,,,
kkWYNE,DD05,8.45E-08,,,,,,,,,,,,
kkVTNH,DD07,0.000000169,,,,,,,,,,,,
kkNYNJ,DD06,8.45E-08,,,,,,,,,,,,
kkNYNJ,DD03,8.45E-08,,,,,,,,,,,,
kkPANJ,DD03,0.000000169,,,,,,,,,,,,
kkTXNM,DD12,8.45E-08,,,,,,,,,,,,
kkTXNM,DD02,8.45E-08,,,,,,,,,,,,
kkORNV,DD11,0.000000169,,,,,,,,,,,,
kkUTNV,DD11,0.000000169,,,,,,,,,,,,
kkPANY,DD06,8.45E-08,,,,,,,,,,,,
kkPANY,DD03,8.45E-08,,,,,,,,,,,,
kkVTNY,DD07,8.45E-08,,,,,,,,,,,,
kkVTNY,DD06,8.45E-08,,,,,,,,,,,,
kkPAOH,DD03,8.45E-08,,,,,,,,,,,,
kkPAOH,DD01,8.45E-08,,,,,,,,,,,,
kkWVOH,DD01,0.000000169,,,,,,,,,,,,
kkTXOK,DD10,8.45E-08,,,,,,,,,,,,
kkTXOK,DD02,8.45E-08,,,,,,,,,,,,
kkWAOR,DD11,0.000000169,,,,,,,,,,,,
kkWVPA,DD03,8.45E-08,,,,,,,,,,,,
kkWVPA,DD01,8.45E-08,,,,,,,,,,,,
kkWYSD,DD12,8.45E-08,,,,,,,,,,,,
kkWYSD,DD05,8.45E-08,,,,,,,,,,,,
kkVATN,DD09,0.000000169,,,,,,,,,,,,
kkWYUT,DD12,8.45E-08,,,,,,,,,,,,
kkWYUT,DD11,8.45E-08,,,,,,,,,,,,
kkWVVA,DD09,8.45E-08,,,,,,,,,,,,
kkWVVA,DD01,8.45E-08,,,,,,,,,,,,
% electric train (GWH/vehicle-mile),,,,,,,,,,,,,,
eeALFL,EL08,0.000007462,,,,,,,,,,,,
eeALFL,EL09,0.000007462,,,,,,,,,,,,
eeALGA,EL09,0.000014924,,,,,,,,,,,,
eeALMS,EL09,0.000014924,,,,,,,,,,,,
eeALTN,EL09,0.000014924,,,,,,,,,,,,
eeARLA,EL10,0.000014924,,,,,,,,,,,,
eeARMO,EL10,0.000014924,,,,,,,,,,,,
eeAROK,EL10,0.000014924,,,,,,,,,,,,
eeARTN,EL09,0.000007462,,,,,,,,,,,,
eeARTN,EL10,0.000007462,,,,,,,,,,,,
eeARTX,EL02,0.000007462,,,,,,,,,,,,
eeARTX,EL10,0.000007462,,,,,,,,,,,,
eeAZCA,EL12,0.000007462,,,,,,,,,,,,
eeAZCA,EL13,0.000007462,,,,,,,,,,,,
eeAZCO,EL12,0.000014924,,,,,,,,,,,,
eeAZFL,EL08,0.000007462,,,,,,,,,,,,
eeAZFL,EL12,0.000007462,,,,,,,,,,,,
eeAZGA,EL09,0.000007462,,,,,,,,,,,,
eeAZGA,EL12,0.000007462,,,,,,,,,,,,
eeAZIL,EL04,0.000007462,,,,,,,,,,,,
eeAZIL,EL12,0.000007462,,,,,,,,,,,,
eeAZMA,EL07,0.000007462,,,,,,,,,,,,
eeAZMA,EL12,0.000007462,,,,,,,,,,,,
eeAZMD,EL01,0.000007462,,,,,,,,,,,,
eeAZMD,EL12,0.000007462,,,,,,,,,,,,
eeAZMI,EL01,0.000007462,,,,,,,,,,,,
eeAZMI,EL12,0.000007462,,,,,,,,,,,,
eeAZMN,EL05,0.000007462,,,,,,,,,,,,
eeAZMN,EL12,0.000007462,,,,,,,,,,,,
eeAZNC,EL09,0.000007462,,,,,,,,,,,,
eeAZNC,EL12,0.000007462,,,,,,,,,,,,
eeAZNM,EL12,0.000014924,,,,,,,,,,,,
eeAZNV,EL11,0.000007462,,,,,,,,,,,,
eeAZNV,EL12,0.000007462,,,,,,,,,,,,
eeAZNY,EL06,0.000007462,,,,,,,,,,,,
eeAZNY,EL12,0.000007462,,,,,,,,,,,,
eeAZOR,EL11,0.000007462,,,,,,,,,,,,
eeAZOR,EL12,0.000007462,,,,,,,,,,,,
eeAZPA,EL03,0.000007462,,,,,,,,,,,,
eeAZPA,EL12,0.000007462,,,,,,,,,,,,
eeAZTX,EL02,0.000007462,,,,,,,,,,,,
eeAZTX,EL12,0.000007462,,,,,,,,,,,,
eeAZUT,EL11,0.000007462,,,,,,,,,,,,
eeAZUT,EL12,0.000007462,,,,,,,,,,,,
eeAZWA,EL11,0.000007462,,,,,,,,,,,,
eeAZWA,EL12,0.000007462,,,,,,,,,,,,
eeCACO,EL12,0.000007462,,,,,,,,,,,,
eeCACO,EL13,0.000007462,,,,,,,,,,,,
eeCAFL,EL08,0.000007462,,,,,,,,,,,,
eeCAFL,EL13,0.000007462,,,,,,,,,,,,
eeCAGA,EL09,0.000007462,,,,,,,,,,,,
eeCAGA,EL13,0.000007462,,,,,,,,,,,,
eeCAIL,EL04,0.000007462,,,,,,,,,,,,
eeCAIL,EL13,0.000007462,,,,,,,,,,,,
eeCAMA,EL07,0.000007462,,,,,,,,,,,,
eeCAMA,EL13,0.000007462,,,,,,,,,,,,
eeCAMD,EL01,0.000007462,,,,,,,,,,,,
eeCAMD,EL13,0.000007462,,,,,,,,,,,,
eeCAMI,EL01,0.000007462,,,,,,,,,,,,
eeCAMI,EL13,0.000007462,,,,,,,,,,,,
eeCAMN,EL05,0.000007462,,,,,,,,,,,,
eeCAMN,EL13,0.000007462,,,,,,,,,,,,
eeCANC,EL09,0.000007462,,,,,,,,,,,,
eeCANC,EL13,0.000007462,,,,,,,,,,,,
eeCANV,EL11,0.000007462,,,,,,,,,,,,
eeCANV,EL13,0.000007462,,,,,,,,,,,,
eeCANY,EL06,0.000007462,,,,,,,,,,,,
eeCANY,EL13,0.000007462,,,,,,,,,,,,
eeCAOR,EL11,0.000007462,,,,,,,,,,,,
eeCAOR,EL13,0.000007462,,,,,,,,,,,,
eeCAPA,EL03,0.000007462,,,,,,,,,,,,
eeCAPA,EL13,0.000007462,,,,,,,,,,,,
eeCATX,EL02,0.000007462,,,,,,,,,,,,
eeCATX,EL13,0.000007462,,,,,,,,,,,,
eeCAUT,EL11,0.000007462,,,,,,,,,,,,
eeCAUT,EL13,0.000007462,,,,,,,,,,,,
eeCAWA,EL11,0.000007462,,,,,,,,,,,,
eeCAWA,EL13,0.000007462,,,,,,,,,,,,
eeCOFL,EL08,0.000007462,,,,,,,,,,,,
eeCOFL,EL12,0.000007462,,,,,,,,,,,,
eeCOGA,EL09,0.000007462,,,,,,,,,,,,
eeCOGA,EL12,0.000007462,,,,,,,,,,,,
eeCOIL,EL04,0.000007462,,,,,,,,,,,,
eeCOIL,EL12,0.000007462,,,,,,,,,,,,
eeCOKS,EL10,0.000007462,,,,,,,,,,,,
eeCOKS,EL12,0.000007462,,,,,,,,,,,,
eeCOMA,EL07,0.000007462,,,,,,,,,,,,
eeCOMA,EL12,0.000007462,,,,,,,,,,,,
eeCOMD,EL01,0.000007462,,,,,,,,,,,,
eeCOMD,EL12,0.000007462,,,,,,,,,,,,
eeCOMI,EL01,0.000007462,,,,,,,,,,,,
eeCOMI,EL12,0.000007462,,,,,,,,,,,,
eeCOMN,EL05,0.000007462,,,,,,,,,,,,
eeCOMN,EL12,0.000007462,,,,,,,,,,,,
eeCONC,EL09,0.000007462,,,,,,,,,,,,
eeCONC,EL12,0.000007462,,,,,,,,,,,,
eeCONE,EL05,0.000007462,,,,,,,,,,,,
eeCONE,EL12,0.000007462,,,,,,,,,,,,
eeCONM,EL12,0.000014924,,,,,,,,,,,,
eeCONV,EL11,0.000007462,,,,,,,,,,,,
eeCONV,EL12,0.000007462,,,,,,,,,,,,
eeCONY,EL06,0.000007462,,,,,,,,,,,,
eeCONY,EL12,0.000007462,,,,,,,,,,,,
eeCOOR,EL11,0.000007462,,,,,,,,,,,,
eeCOOR,EL12,0.000007462,,,,,,,,,,,,
eeCOPA,EL03,0.000007462,,,,,,,,,,,,
eeCOPA,EL12,0.000007462,,,,,,,,,,,,
eeCOTX,EL02,0.000007462,,,,,,,,,,,,
eeCOTX,EL12,0.000007462,,,,,,,,,,,,
eeCOUT,EL11,0.000007462,,,,,,,,,,,,
eeCOUT,EL12,0.000007462,,,,,,,,,,,,
eeCOWA,EL11,0.000007462,,,,,,,,,,,,
eeCOWA,EL12,0.000007462,,,,,,,,,,,,
eeCOWY,EL12,0.000014924,,,,,,,,,,,,
eeCTMA,EL07,0.000014924,,,,,,,,,,,,
eeCTNY,EL06,0.000007462,,,,,,,,,,,,
eeCTNY,EL07,0.000007462,,,,,,,,,,,,
eeCTRI,EL07,0.000014924,,,,,,,,,,,,
eeDEMD,EL01,0.000007462,,,,,,,,,,,,
eeDEMD,EL03,0.000007462,,,,,,,,,,,,
eeDENJ,EL03,0.000014924,,,,,,,,,,,,
eeDEPA,EL03,0.000014924,,,,,,,,,,,,
eeFLGA,EL08,0.000007462,,,,,,,,,,,,
eeFLGA,EL09,0.000007462,,,,,,,,,,,,
eeFLIL,EL04,0.000007462,,,,,,,,,,,,
eeFLIL,EL08,0.000007462,,,,,,,,,,,,
eeFLMA,EL07,0.000007462,,,,,,,,,,,,
eeFLMA,EL08,0.000007462,,,,,,,,,,,,
eeFLMD,EL01,0.000007462,,,,,,,,,,,,
eeFLMD,EL08,0.000007462,,,,,,,,,,,,
eeFLMI,EL01,0.000007462,,,,,,,,,,,,
eeFLMI,EL08,0.000007462,,,,,,,,,,,,
eeFLMN,EL05,0.000007462,,,,,,,,,,,,
eeFLMN,EL08,0.000007462,,,,,,,,,,,,
eeFLNC,EL08,0.000007462,,,,,,,,,,,,
eeFLNC,EL09,0.000007462,,,,,,,,,,,,
eeFLNV,EL08,0.000007462,,,,,,,,,,,,
eeFLNV,EL11,0.000007462,,,,,,,,,,,,
eeFLNY,EL06,0.000007462,,,,,,,,,,,,
eeFLNY,EL08,0.000007462,,,,,,,,,,,,
eeFLOR,EL08,0.000007462,,,,,,,,,,,,
eeFLOR,EL11,0.000007462,,,,,,,,,,,,
eeFLPA,EL03,0.000007462,,,,,,,,,,,,
eeFLPA,EL08,0.000007462,,,,,,,,,,,,
eeFLTX,EL02,0.000007462,,,,,,,,,,,,
eeFLTX,EL08,0.000007462,,,,,,,,,,,,
eeFLUT,EL08,0.000007462,,,,,,,,,,,,
eeFLUT,EL11,0.000007462,,,,,,,,,,,,
eeFLWA,EL08,0.000007462,,,,,,,,,,,,
eeFLWA,EL11,0.000007462,,,,,,,,,,,,
eeGAIL,EL04,0.000007462,,,,,,,,,,,,
eeGAIL,EL09,0.000007462,,,,,,,,,,,,
eeGAMA,EL07,0.000007462,,,,,,,,,,,,
eeGAMA,EL09,0.000007462,,,,,,,,,,,,
eeGAMD,EL01,0.000007462,,,,,,,,,,,,
eeGAMD,EL09,0.000007462,,,,,,,,,,,,
eeGAMI,EL01,0.000007462,,,,,,,,,,,,
eeGAMI,EL09,0.000007462,,,,,,,,,,,,
eeGAMN,EL05,0.000007462,,,,,,,,,,,,
eeGAMN,EL09,0.000007462,,,,,,,,,,,,
eeGANC,EL09,0.000014924,,,,,,,,,,,,
eeGANV,EL09,0.000007462,,,,,,,,,,,,
eeGANV,EL11,0.000007462,,,,,,,,,,,,
eeGANY,EL06,0.000007462,,,,,,,,,,,,
eeGANY,EL09,0.000007462,,,,,,,,,,,,
eeGAOR,EL09,0.000007462,,,,,,,,,,,,
eeGAOR,EL11,0.000007462,,,,,,,,,,,,
eeGAPA,EL03,0.000007462,,,,,,,,,,,,
eeGAPA,EL09,0.000007462,,,,,,,,,,,,
eeGASC,EL09,0.000014924,,,,,,,,,,,,
eeGATN,EL09,0.000014924,,,,,,,,,,,,
eeGATX,EL02,0.000007462,,,,,,,,,,,,
eeGATX,EL09,0.000007462,,,,,,,,,,,,
eeGAUT,EL09,0.000007462,,,,,,,,,,,,
eeGAUT,EL11,0.000007462,,,,,,,,,,,,
eeGAWA,EL09,0.000007462,,,,,,,,,,,,
eeGAWA,EL11,0.000007462,,,,,,,,,,,,
eeIAIL,EL04,0.000007462,,,,,,,,,,,,
eeIAIL,EL05,0.000007462,,,,,,,,,,,,
eeIAMN,EL05,0.000014924,,,,,,,,,,,,
eeIAMO,EL05,0.000007462,,,,,,,,,,,,
eeIAMO,EL10,0.000007462,,,,,,,,,,,,
eeIANE,EL05,0.000007462,,,,,,,,,,,,
eeIASD,EL05,0.000014924,,,,,,,,,,,,
eeIAWI,EL04,0.000007462,,,,,,,,,,,,
eeIAWI,EL05,0.000007462,,,,,,,,,,,,
eeIDMT,EL11,0.000014924,,,,,,,,,,,,
eeIDOR,EL11,0.000014924,,,,,,,,,,,,
eeIDUT,EL11,0.000014924,,,,,,,,,,,,
eeIDWA,EL11,0.000014924,,,,,,,,,,,,
eeIDWY,EL11,0.000007462,,,,,,,,,,,,
eeIDWY,EL12,0.000007462,,,,,,,,,,,,
eeILIN,EL01,0.000007462,,,,,,,,,,,,
eeILIN,EL04,0.000007462,,,,,,,,,,,,
eeILKY,EL01,0.000007462,,,,,,,,,,,,
eeILKY,EL04,0.000007462,,,,,,,,,,,,
eeILMA,EL04,0.000007462,,,,,,,,,,,,
eeILMA,EL07,0.000007462,,,,,,,,,,,,
eeILMD,EL01,0.000007462,,,,,,,,,,,,
eeILMD,EL04,0.000007462,,,,,,,,,,,,
eeILMI,EL01,0.000007462,,,,,,,,,,,,
eeILMI,EL04,0.000007462,,,,,,,,,,,,
eeILMN,EL04,0.000007462,,,,,,,,,,,,
eeILMN,EL05,0.000007462,,,,,,,,,,,,
eeILMO,EL04,0.000007462,,,,,,,,,,,,
eeILMO,EL10,0.000007462,,,,,,,,,,,,
eeILNC,EL04,0.000007462,,,,,,,,,,,,
eeILNC,EL09,0.000007462,,,,,,,,,,,,
eeILNV,EL04,0.000007462,,,,,,,,,,,,
eeILNV,EL11,0.000007462,,,,,,,,,,,,
eeILNY,EL04,0.000007462,,,,,,,,,,,,
eeILNY,EL06,0.000007462,,,,,,,,,,,,
eeILOR,EL04,0.000007462,,,,,,,,,,,,
eeILOR,EL11,0.000007462,,,,,,,,,,,,
eeILPA,EL03,0.000007462,,,,,,,,,,,,
eeILPA,EL04,0.000007462,,,,,,,,,,,,
eeILTX,EL02,0.000007462,,,,,,,,,,,,
eeILTX,EL04,0.000007462,,,,,,,,,,,,
eeILUT,EL04,0.000007462,,,,,,,,,,,,
eeILUT,EL11,0.000007462,,,,,,,,,,,,
eeILWA,EL04,0.000007462,,,,,,,,,,,,
eeILWA,EL11,0.000007462,,,,,,,,,,,,
eeILWI,EL04,0.000014924,,,,,,,,,,,,
eeINKY,EL01,0.000014924,,,,,,,,,,,,
eeINMI,EL01,0.000014924,,,,,,,,,,,,
eeINOH,EL01,0.000014924,,,,,,,,,,,,
eeKSMO,EL10,0.000014924,,,,,,,,,,,,
eeKSNE,EL05,0.000007462,,,,,,,,,,,,
eeKSNE,EL10,0.000007462,,,,,,,,,,,,
eeKSOK,EL10,0.000014924,,,,,,,,,,,,
eeKYOH,EL01,0.000014924,,,,,,,,,,,,
eeKYTN,EL01,0.000007462,,,,,,,,,,,,
eeKYTN,EL09,0.000007462,,,,,,,,,,,,
eeKYWV,EL01,0.000014924,,,,,,,,,,,,
eeLAMS,EL09,0.000007462,,,,,,,,,,,,
eeLAMS,EL10,0.000007462,,,,,,,,,,,,
eeLATX,EL02,0.000007462,,,,,,,,,,,,
eeLATX,EL10,0.000007462,,,,,,,,,,,,
eeMAMD,EL01,0.000007462,,,,,,,,,,,,
eeMAMD,EL07,0.000007462,,,,,,,,,,,,
eeMAMI,EL01,0.000007462,,,,,,,,,,,,
eeMAMI,EL07,0.000007462,,,,,,,,,,,,
eeMAMN,EL05,0.000007462,,,,,,,,,,,,
eeMAMN,EL07,0.000007462,,,,,,,,,,,,
eeMANC,EL07,0.000007462,,,,,,,,,,,,
eeMANC,EL09,0.000007462,,,,,,,,,,,,
eeMANH,EL07,0.000014924,,,,,,,,,,,,
eeMANV,EL07,0.000007462,,,,,,,,,,,,
eeMANV,EL11,0.000007462,,,,,,,,,,,,
eeMANY,EL06,0.000007462,,,,,,,,,,,,
eeMANY,EL07,0.000007462,,,,,,,,,,,,
eeMAOR,EL07,0.000007462,,,,,,,,,,,,
eeMAOR,EL11,0.000007462,,,,,,,,,,,,
eeMAPA,EL03,0.000007462,,,,,,,,,,,,
eeMAPA,EL07,0.000007462,,,,,,,,,,,,
eeMATX,EL02,0.000007462,,,,,,,,,,,,
eeMATX,EL07,0.000007462,,,,,,,,,,,,
eeMAUT,EL07,0.000007462,,,,,,,,,,,,
eeMAUT,EL11,0.000007462,,,,,,,,,,,,
eeMAVT,EL07,0.000014924,,,,,,,,,,,,
eeMAWA,EL07,0.000007462,,,,,,,,,,,,
eeMAWA,EL11,0.000007462,,,,,,,,,,,,
eeMDMI,EL01,0.000007462,,,,,,,,,,,,
eeMDMN,EL01,0.000007462,,,,,,,,,,,,
eeMDMN,EL05,0.000007462,,,,,,,,,,,,
eeMDNC,EL01,0.000007462,,,,,,,,,,,,
eeMDNC,EL09,0.000007462,,,,,,,,,,,,
eeMDNV,EL01,0.000007462,,,,,,,,,,,,
eeMDNV,EL11,0.000007462,,,,,,,,,,,,
eeMDNY,EL01,0.000007462,,,,,,,,,,,,
eeMDNY,EL06,0.000007462,,,,,,,,,,,,
eeMDOR,EL01,0.000007462,,,,,,,,,,,,
eeMDOR,EL11,0.000007462,,,,,,,,,,,,
eeMDPA,EL01,0.000007462,,,,,,,,,,,,
eeMDPA,EL03,0.000007462,,,,,,,,,,,,
eeMDTX,EL01,0.000007462,,,,,,,,,,,,
eeMDTX,EL02,0.000007462,,,,,,,,,,,,
eeMDUT,EL01,0.000007462,,,,,,,,,,,,
eeMDUT,EL11,0.000007462,,,,,,,,,,,,
eeMDVA,EL01,0.000007462,,,,,,,,,,,,
eeMDVA,EL09,0.000007462,,,,,,,,,,,,
eeMDWA,EL01,0.000007462,,,,,,,,,,,,
eeMDWA,EL11,0.000007462,,,,,,,,,,,,
eeMDWV,EL01,0.000007462,,,,,,,,,,,,
eeMENH,EL07,0.000014924,,,,,,,,,,,,
eeMIMN,EL01,0.000007462,,,,,,,,,,,,
eeMIMN,EL05,0.000007462,,,,,,,,,,,,
eeMINC,EL01,0.000007462,,,,,,,,,,,,
eeMINC,EL09,0.000007462,,,,,,,,,,,,
eeMINV,EL01,0.000007462,,,,,,,,,,,,
eeMINV,EL11,0.000007462,,,,,,,,,,,,
eeMINY,EL01,0.000007462,,,,,,,,,,,,
eeMINY,EL06,0.000007462,,,,,,,,,,,,
eeMIOH,EL01,0.000014924,,,,,,,,,,,,
eeMIOR,EL01,0.000007462,,,,,,,,,,,,
eeMIOR,EL11,0.000007462,,,,,,,,,,,,
eeMIPA,EL01,0.000007462,,,,,,,,,,,,
eeMIPA,EL03,0.000007462,,,,,,,,,,,,
eeMITX,EL01,0.000007462,,,,,,,,,,,,
eeMITX,EL02,0.000007462,,,,,,,,,,,,
eeMIUT,EL01,0.000007462,,,,,,,,,,,,
eeMIUT,EL11,0.000007462,,,,,,,,,,,,
eeMIWA,EL01,0.000007462,,,,,,,,,,,,
eeMIWA,EL11,0.000007462,,,,,,,,,,,,
eeMIWI,EL01,0.000007462,,,,,,,,,,,,
eeMIWI,EL04,0.000007462,,,,,,,,,,,,
eeMNNC,EL05,0.000007462,,,,,,,,,,,,
eeMNNC,EL09,0.000007462,,,,,,,,,,,,
eeMNND,EL05,0.000014924,,,,,,,,,,,,
eeMNNV,EL05,0.000007462,,,,,,,,,,,,
eeMNNV,EL11,0.000007462,,,,,,,,,,,,
eeMNNY,EL05,0.000007462,,,,,,,,,,,,
eeMNNY,EL06,0.000007462,,,,,,,,,,,,
eeMNOR,EL05,0.000007462,,,,,,,,,,,,
eeMNOR,EL11,0.000007462,,,,,,,,,,,,
eeMNPA,EL03,0.000007462,,,,,,,,,,,,
eeMNPA,EL05,0.000007462,,,,,,,,,,,,
eeMNSD,EL05,0.000014924,,,,,,,,,,,,
eeMNTX,EL02,0.000007462,,,,,,,,,,,,
eeMNTX,EL05,0.000007462,,,,,,,,,,,,
eeMNUT,EL05,0.000007462,,,,,,,,,,,,
eeMNUT,EL11,0.000007462,,,,,,,,,,,,
eeMNWA,EL05,0.000007462,,,,,,,,,,,,
eeMNWA,EL11,0.000007462,,,,,,,,,,,,
eeMNWI,EL04,0.000007462,,,,,,,,,,,,
eeMNWI,EL05,0.000007462,,,,,,,,,,,,
eeMOOK,EL10,0.000014924,,,,,,,,,,,,
eeMOTN,EL09,0.000007462,,,,,,,,,,,,
eeMOTN,EL10,0.000007462,,,,,,,,,,,,
eeMSTN,EL09,0.000014924,,,,,,,,,,,,
eeMTND,EL05,0.000007462,,,,,,,,,,,,
eeMTND,EL11,0.000007462,,,,,,,,,,,,
eeMTWY,EL11,0.000007462,,,,,,,,,,,,
eeMTWY,EL12,0.000007462,,,,,,,,,,,,
eeNCNV,EL09,0.000007462,,,,,,,,,,,,
eeNCNV,EL11,0.000007462,,,,,,,,,,,,
eeNCNY,EL06,0.000007462,,,,,,,,,,,,
eeNCNY,EL09,0.000007462,,,,,,,,,,,,
eeNCOR,EL09,0.000007462,,,,,,,,,,,,
eeNCOR,EL11,0.000007462,,,,,,,,,,,,
eeNCPA,EL03,0.000007462,,,,,,,,,,,,
eeNCPA,EL09,0.000007462,,,,,,,,,,,,
eeNCSC,EL09,0.000014924,,,,,,,,,,,,
eeNCTN,EL09,0.000014924,,,,,,,,,,,,
eeNCTX,EL02,0.000007462,,,,,,,,,,,,
eeNCTX,EL09,0.000007462,,,,,,,,,,,,
eeNCUT,EL09,0.000007462,,,,,,,,,,,,
eeNCUT,EL11,0.000007462,,,,,,,,,,,,
eeNCVA,EL09,0.000014924,,,,,,,,,,,,
eeNCWA,EL09,0.000007462,,,,,,,,,,,,
eeNCWA,EL11,0.000007462,,,,,,,,,,,,
eeNDSD,EL05,0.000014924,,,,,,,,,,,,
eeNESD,EL05,0.000007462,,,,,,,,,,,,
eeNEWY,EL05,0.000007462,,,,,,,,,,,,
eeNEWY,EL12,0.000007462,,,,,,,,,,,,
eeNHVT,EL07,0.000014924,,,,,,,,,,,,
eeNJNY,EL03,0.000007462,,,,,,,,,,,,
eeNJNY,EL06,0.000007462,,,,,,,,,,,,
eeNJPA,EL03,0.000014924,,,,,,,,,,,,
eeNMTX,EL02,0.000007462,,,,,,,,,,,,
eeNMTX,EL12,0.000007462,,,,,,,,,,,,
eeNVNY,EL06,0.000007462,,,,,,,,,,,,
eeNVNY,EL11,0.000007462,,,,,,,,,,,,
eeNVOR,EL11,0.000014924,,,,,,,,,,,,
eeNVPA,EL03,0.000007462,,,,,,,,,,,,
eeNVPA,EL11,0.000007462,,,,,,,,,,,,
eeNVTX,EL02,0.000007462,,,,,,,,,,,,
eeNVTX,EL11,0.000007462,,,,,,,,,,,,
eeNVUT,EL11,0.000014924,,,,,,,,,,,,
eeNVWA,EL11,0.000014924,,,,,,,,,,,,
eeNYOR,EL06,0.000007462,,,,,,,,,,,,
eeNYOR,EL11,0.000007462,,,,,,,,,,,,
eeNYPA,EL03,0.000007462,,,,,,,,,,,,
eeNYPA,EL06,0.000007462,,,,,,,,,,,,
eeNYTX,EL02,0.000007462,,,,,,,,,,,,
eeNYTX,EL06,0.000007462,,,,,,,,,,,,
eeNYUT,EL06,0.000007462,,,,,,,,,,,,
eeNYUT,EL11,0.000007462,,,,,,,,,,,,
eeNYVT,EL06,0.000007462,,,,,,,,,,,,
