from,to,const,
E,EL,y2,
% VEHICLES,,,
G,VD,y2,% personal vehicles
cc,,y1,
gg,,y1,
kk,,y2,
% Rail,,,
tt,,y2,
ee,,y1,
% Flight,,,
ff,,y1,
% HSR infra,,,
pp,,y1,
% Biorefinery,,,
BR,BO,y2,
N,ND,y2,
