from,to,const,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12
% Biomass feedstock production - cost curve segment (M$/k-dry-ton),,,,,,,,,,,,,,
CPAL,7TAL,0.08,%/ Geographical variation in feedstock op. cost (M$/k-dry-ton) -(bid segments),,,,,,,,,,,
CPAZ,7TAZ,0.08,,,,,,,,,,,,
CPAR,7TAR,0.08,,,,,,,,,,,,
CPCA,7TCA,0.08,,,,,,,,,,,,
CPCO,7TCO,0.08,,,,,,,,,,,,
CPCT,7TCT,0.08,,,,,,,,,,,,
CPDE,7TDE,0.08,,,,,,,,,,,,
CPFL,7TFL,0.08,,,,,,,,,,,,
CPGA,7TGA,0.08,,,,,,,,,,,,
CPID,7TID,0.08,,,,,,,,,,,,
CPIL,7TIL,0.08,,,,,,,,,,,,
CPIN,7TIN,0.08,,,,,,,,,,,,
CPIA,7TIA,0.08,,,,,,,,,,,,
CPKS,7TKS,0.08,,,,,,,,,,,,
CPKY,7TKY,0.08,,,,,,,,,,,,
CPLA,7TLA,0.08,,,,,,,,,,,,
CPME,7TME,0.08,,,,,,,,,,,,
CPMD,7TMD,0.08,,,,,,,,,,,,
CPMA,7TMA,0.08,,,,,,,,,,,,
CPMI,7TMI,0.08,,,,,,,,,,,,
CPMN,7TMN,0.08,,,,,,,,,,,,
CPMS,7TMS,0.08,,,,,,,,,,,,
CPMO,7TMO,0.08,,,,,,,,,,,,
CPMT,7TMT,0.08,,,,,,,,,,,,
CPNE,7TNE,0.08,,,,,,,,,,,,
CPNV,7TNV,0.08,,,,,,,,,,,,
CPNH,7TNH,0.08,,,,,,,,,,,,
CPNJ,7TNJ,0.08,,,,,,,,,,,,
CPNM,7TNM,0.08,,,,,,,,,,,,
CPNY,7TNY,0.08,,,,,,,,,,,,
CPNC,7TNC,0.08,,,,,,,,,,,,
CPND,7TND,0.08,,,,,,,,,,,,
CPOH,7TOH,0.08,,,,,,,,,,,,
CPOK,7TOK,0.08,,,,,,,,,,,,
CPOR,7TOR,0.08,,,,,,,,,,,,
CPPA,7TPA,0.08,,,,,,,,,,,,
CPRI,7TRI,0.08,,,,,,,,,,,,
CPSC,7TSC,0.08,,,,,,,,,,,,
CPSD,7TSD,0.08,,,,,,,,,,,,
CPTN,7TTN,0.08,,,,,,,,,,,,
CPTX,7TTX,0.08,,,,,,,,,,,,
CPUT,7TUT,0.08,,,,,,,,,,,,
