from,to,const,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12
CPVT,7TVT,0.08,,,,,,,,,,,,
CPVA,7TVA,0.08,,,,,,,,,,,,
CPWA,7TWA,0.08,,,,,,,,,,,,
CPWV,7TWV,0.08,,,,,,,,,,,,
CPWI,7TWI,0.08,,,,,,,,,,,,
CPWY,7TWY,0.08,,,,,,,,,,,,
CPAL,8TAL,0.08,,,,,,,,,,,,
CPAZ,8TAZ,0.08,,,,,,,,,,,,
CPAR,8TAR,0.08,,,,,,,,,,,,
CPCA,8TCA,0.08,,,,,,,,,,,,
CPCO,8TCO,0.08,,,,,,,,,,,,
CPCT,8TCT,0.08,,,,,,,,,,,,
CPDE,8TDE,0.08,,,,,,,,,,,,
CPFL,8TFL,0.08,,,,,,,,,,,,
CPGA,8TGA,0.08,,,,,,,,,,,,
CPID,8TID,0.08,,,,,,,,,,,,
CPIL,8TIL,0.08,,,,,,,,,,,,
CPIN,8TIN,0.08,,,,,,,,,,,,
CPIA,8TIA,0.08,,,,,,,,,,,,
CPKS,8TKS,0.08,,,,,,,,,,,,
CPKY,8TKY,0.08,,,,,,,,,,,,
CPLA,8TLA,0.08,,,,,,,,,,,,
CPME,8TME,0.08,,,,,,,,,,,,
CPMD,8TMD,0.08,,,,,,,,,,,,
CPMA,8TMA,0.08,,,,,,,,,,,,
CPMI,8TMI,0.08,,,,,,,,,,,,
CPMN,8TMN,0.08,,,,,,,,,,,,
CPMS,8TMS,0.08,,,,,,,,,,,,
CPMO,8TMO,0.08,,,,,,,,,,,,
CPMT,8TMT,0.08,,,,,,,,,,,,
CPNE,8TNE,0.08,,,,,,,,,,,,
CPNV,8TNV,0.08,,,,,,,,,,,,
CPNH,8TNH,0.08,,,,,,,,,,,,
CPNJ,8TNJ,0.08,,,,,,,,,,,,
CPNM,8TNM,0.08,,,,,,,,,,,,
CPNY,8TNY,0.08,,,,,,,,,,,,
CPNC,8TNC,0.08,,,,,,,,,,,,
CPND,8TND,0.08,,,,,,,,,,,,
CPOH,8TOH,0.08,,,,,,,,,,,,
CPOK,8TOK,0.08,,,,,,,,,,,,
CPOR,8TOR,0.08,,,,,,,,,,,,
CPPA,8TPA,0.08,,,,,,,,,,,,
CPRI,8TRI,0.08,,,,,,,,,,,,
CPSC,8TSC,0.08,,,,,,,,,,,,
CPSD,8TSD,0.08,,,,,,,,,,,,
CPTN,8TTN,0.08,,,,,,,,,,,,
CPTX,8TTX,0.08,,,,,,,,,,,,
CPUT,8TUT,0.08,,,,,,,,,,,,
CPVT,8TVT,0.08,,,,,,,,,,,,
CPVA,8TVA,0.08,,,,,,,,,,,,
CPWA,8TWA,0.08,,,,,,,,,,,,
CPWV,8TWV,0.08,,,,,,,,,,,,
CPWI,8TWI,0.08,,,,,,,,,,,,
CPWY,8TWY,0.08,,,,,,,,,,,,
CPAL,9TAL,0.08,,,,,,,,,,,,
CPAZ,9TAZ,0.08,,,,,,,,,,,,
CPAR,9TAR,0.08,,,,,,,,,,,,
CPCA,9TCA,0.08,,,,,,,,,,,,
CPCO,9TCO,0.08,,,,,,,,,,,,
CPCT,9TCT,0.08,,,,,,,,,,,,
CPDE,9TDE,0.08,,,,,,,,,,,,
CPFL,9TFL,0.08,,,,,,,,,,,,
CPGA,9TGA,0.08,,,,,,,,,,,,
CPID,9TID,0.08,,,,,,,,,,,,
CPIL,9TIL,0.08,,,,,,,,,,,,
CPIN,9TIN,0.08,,,,,,,,,,,,
CPIA,9TIA,0.08,,,,,,,,,,,,
CPKS,9TKS,0.08,,,,,,,,,,,,
CPKY,9TKY,0.08,,,,,,,,,,,,
CPLA,9TLA,0.08,,,,,,,,,,,,
CPME,9TME,0.08,,,,,,,,,,,,
CPMD,9TMD,0.08,,,,,,,,,,,,
CPMA,9TMA,0.08,,,,,,,,,,,,
CPMI,9TMI,0.08,,,,,,,,,,,,
CPMN,9TMN,0.08,,,,,,,,,,,,
CPMS,9TMS,0.08,,,,,,,,,,,,
CPMO,9TMO,0.08,,,,,,,,,,,,
CPMT,9TMT,0.08,,,,,,,,,,,,
CPNE,9TNE,0.08,,,,,,,,,,,,
CPNV,9TNV,0.08,,,,,,,,,,,,
CPNH,9TNH,0.08,,,,,,,,,,,,
CPNJ,9TNJ,0.08,,,,,,,,,,,,
CPNM,9TNM,0.08,,,,,,,,,,,,
CPNY,9TNY,0.08,,,,,,,,,,,,
CPNC,9TNC,0.08,,,,,,,,,,,,
CPND,9TND,0.08,,,,,,,,,,,,
CPOH,9TOH,0.08,,,,,,,,,,,,
CPOK,9TOK,0.08,,,,,,,,,,,,
CPOR,9TOR,0.08,,,,,,,,,,,,
CPPA,9TPA,0.08,,,,,,,,,,,,
CPRI,9TRI,0.08,,,,,,,,,,,,
CPSC,9TSC,0.08,,,,,,,,,,,,
CPSD,9TSD,0.08,,,,,,,,,,,,
CPTN,9TTN,0.08,,,,,,,,,,,,
CPTX,9TTX,0.08,,,,,,,,,,,,
CPUT,9TUT,0.08,,,,,,,,,,,,
CPVT,9TVT,0.08,,,,,,,,,,,,
CPVA,9TVA,0.08,,,,,,,,,,,,
CPWA,9TWA,0.08,,,,,,,,,,,,
CPWV,9TWV,0.08,,,,,,,,,,,,
CPWI,9TWI,0.08,,,,,,,,,,,,
CPWY,9TWY,0.08,,,,,,,,,,,,
