from,to,const,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,y11,y12,y13,y14,y15,y16,y17,y18,y19,y20,y21,y22,y23,y24,y25,y26,y27,y28,y29,y30,y31,y32,y33,y34,y35,y36,y37,y38,y39,y40
ccCOKS,,1044.685,1044.685,961.11,884.22,813.4825,748.405,688.5325,633.45,582.7725,536.1525,493.26,453.7975,417.495,384.095,353.3675,325.0975,299.09,275.1625,253.15,232.898,214.26625,197.125,181.355,166.8465,153.49875,141.219,129.9215,119.52775,109.9655,101.16825,93.07475,85.62875,78.7785,72.47625,66.678,61.34375,56.43625,51.9215,47.76775,27729.25,55648.75
ccKSCO,,1044.685,1044.685,961.11,884.22,813.4825,748.405,688.5325,633.45,582.7725,536.1525,493.26,453.7975,417.495,384.095,353.3675,325.0975,299.09,275.1625,253.15,232.898,214.26625,197.125,181.355,166.8465,153.49875,141.219,129.9215,119.52775,109.9655,101.16825,93.07475,85.62875,78.7785,72.47625,66.678,61.34375,56.43625,51.9215,47.76775,27729.25,55648.75
ccCOMA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ccMACO,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ccCOMD,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ccMDCO,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ccCOMI,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ccMICO,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ccCOMN,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ccMNCO,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
