from,to,const,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12
% Biomass feedstock production - cost curve segment (M$/k-dry-ton),,,,,,,,,,,,,,
CPAL,7TAL,0.1,%/ Geographical variation in feedstock op. cost (M$/k-dry-ton) -(bid segments),,,,,,,,,,,
CPAZ,7TAZ,0.1,,,,,,,,,,,,
CPAR,7TAR,0.1,,,,,,,,,,,,
CPCA,7TCA,0.1,,,,,,,,,,,,
CPCO,7TCO,0.1,,,,,,,,,,,,
CPCT,7TCT,0.1,,,,,,,,,,,,
CPDE,7TDE,0.1,,,,,,,,,,,,
CPFL,7TFL,0.1,,,,,,,,,,,,
CPGA,7TGA,0.1,,,,,,,,,,,,
CPID,7TID,0.1,,,,,,,,,,,,
CPIL,7TIL,0.1,,,,,,,,,,,,
CPIN,7TIN,0.1,,,,,,,,,,,,
CPIA,7TIA,0.1,,,,,,,,,,,,
CPKS,7TKS,0.1,,,,,,,,,,,,
CPKY,7TKY,0.1,,,,,,,,,,,,
CPLA,7TLA,0.1,,,,,,,,,,,,
CPME,7TME,0.1,,,,,,,,,,,,
CPMD,7TMD,0.1,,,,,,,,,,,,
CPMA,7TMA,0.1,,,,,,,,,,,,
CPMI,7TMI,0.1,,,,,,,,,,,,
CPMN,7TMN,0.1,,,,,,,,,,,,
CPMS,7TMS,0.1,,,,,,,,,,,,
CPMO,7TMO,0.1,,,,,,,,,,,,
CPMT,7TMT,0.1,,,,,,,,,,,,
CPNE,7TNE,0.1,,,,,,,,,,,,
CPNV,7TNV,0.1,,,,,,,,,,,,
CPNH,7TNH,0.1,,,,,,,,,,,,
CPNJ,7TNJ,0.1,,,,,,,,,,,,
CPNM,7TNM,0.1,,,,,,,,,,,,
CPNY,7TNY,0.1,,,,,,,,,,,,
CPNC,7TNC,0.1,,,,,,,,,,,,
CPND,7TND,0.1,,,,,,,,,,,,
CPOH,7TOH,0.1,,,,,,,,,,,,
CPOK,7TOK,0.1,,,,,,,,,,,,
CPOR,7TOR,0.1,,,,,,,,,,,,
CPPA,7TPA,0.1,,,,,,,,,,,,
CPRI,7TRI,0.1,,,,,,,,,,,,
CPSC,7TSC,0.1,,,,,,,,,,,,
CPSD,7TSD,0.1,,,,,,,,,,,,
CPTN,7TTN,0.1,,,,,,,,,,,,
CPTX,7TTX,0.1,,,,,,,,,,,,
CPUT,7TUT,0.1,,,,,,,,,,,,
CPVT,7TVT,0.1,,,,,,,,,,,,
CPVA,7TVA,0.1,,,,,,,,,,,,
CPWA,7TWA,0.1,,,,,,,,,,,,
