code,const
% Electrical demand (GW),
EL01,99.06079279
EL02,51.70231635
EL03,33.5896198
EL04,33.05279948
EL05,30.02419869
EL06,21.45994081
EL07,18.33128867
EL08,33.69354994
EL09,92.16473757
EL10,42.71089503
EL11,36.86734949
EL12,23.65587228
EL13,39.94778091
