code,const,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,y11,y12,y13,y14,y15,y16,y17,y18,y19,y20,y21,y22,y23,y24,y25,y26,y27,y28,y29,y30,y31,y32,y33,y34,y35,y36,y37,y38,y39,y40
CP,X % Coal production,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NP,X % Natural gas production,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% Natural gas demand (MMcf),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTND,43856,5112,5733,4681,3819,3047,2477,1366,1853,2084,3928,4387,5369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTOH,756433,113227,113275,98987,57936,42465,31639,29520,29232,28705,41486,67874,102087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTOK,289605,40767,34396,32938,24563,20236,16944,17115,16859,17273,17549,22493,28472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTOR,144281,18900,17977,15413,14362,10799,8492,7435,7413,7600,9255,11066,15569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTPA,563982,83786,82559,73159,45769,31728,24626,22003,22001,22383,31880,49783,74305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTRI,35311,5185,5564,4928,3961,2590,1625,1344,1543,1179,1629,2277,3486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTSC,121309,16230,13728,12193,9535,8106,7491,7444,7445,7228,8532,11349,12028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTSD,56495,7021,6619,5585,4762,3806,3208,3021,3220,3329,3666,5150,7108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTTN,215149,30901,30593,26044,18202,12366,10748,9850,9718,10475,11341,17548,27363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTTX,1685146,187184,166082,154123,136289,135178,127526,133472,132965,105262,125013,129421,152631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
