code,const,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,y11,y12,y13,y14,y15,y16,y17,y18,y19,y20,y21,y22,y23,y24,y25,y26,y27,y28,y29,y30,y31,y32,y33,y34,y35,y36,y37,y38,y39,y40
CP,X % Coal production,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NP,X % Natural gas production,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% Natural gas demand (MMcf),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5TNMTX,,,,,,,,,,,,,,24506.73,25250.804,25994.878,26738.952,27483.026,28227.1,29285.978,30344.856,31403.734,32462.612,33521.49,34863.334,36205.178,37547.022,38888.866,40230.71,41840.338,43449.966,45059.594,46669.222,48278.85,49976.43,51674.01,53371.59,55069.17,56766.75,56276.46578,55786.18156,55295.89734,54805.61313,54315.32891,54918.9768,55522.62469,56126.27258,56729.92047,57333.56836,57937.21625,58540.86414,59144.51203,59748.15992
5TNVAZ,,,,,,,,,,,,,,10371.81,10698.408,11025.006,11351.604,11678.202,12004.8,12447.998,12891.196,13334.394,13777.592,14220.79,14747.632,15274.474,15801.316,16328.158,16855,17580.61,18306.22,19031.83,19757.44,20483.05,21365.01,22246.97,23128.93,24010.89,24892.85,24785.44671,24678.04341,24570.64012,24463.23683,24355.83354,24743.11189,25130.39024,25517.6686,25904.94695,26292.2253,26679.50366,27066.78201,27454.06036,27841.33872
5TNVCA,,,,,,,,,,,,,,41072.45,41102,41131.55,41161.1,41190.65,41220.2,40951.262,40682.324,40413.386,40144.448,39875.51,40076.136,40276.762,40477.388,40678.014,40878.64,41120.544,41362.448,41604.352,41846.256,42088.16,42459.702,42831.244,43202.786,43574.328,43945.87,43996.47468,44047.07936,44097.68404,44148.28872,44198.8934,44409.96674,44621.04009,44832.11343,45043.18677,45254.26011,45465.33345,45676.40679,45887.48013,46098.55347
5TNVID,,,,,,,,,,,,,,2645.43,2705.014,2764.598,2824.182,2883.766,2943.35,2992.12,3040.89,3089.66,3138.43,3187.2,3247.506,3307.812,3368.118,3428.424,3488.73,3581.258,3673.786,3766.314,3858.842,3951.37,4071.534,4191.698,4311.862,4432.026,4552.19,4534.493246,4516.796493,4499.099739,4481.402985,4463.706231,4514.939855,4566.173478,4617.407101,4668.640724,4719.874347,4771.10797,4822.341594,4873.575217,4924.80884
5TNVOR,,,,,,,,,,,,,,156.25,156.022,155.794,155.566,155.338,155.11,156.246,157.382,158.518,159.654,160.79,162.31,163.83,165.35,166.87,168.39,170.47,172.55,174.63,176.71,178.79,180.416,182.042,183.668,185.294,186.92,186.8844471,186.8488941,186.8133412,186.7777883,186.7422353,187.5374589,188.3326824,189.127906,189.9231295,190.718353,191.5135766,192.3088001,193.1040236,193.8992472
5TNVUT,,,,,,,,,,,,,,355.63,359.648,363.666,367.684,371.702,375.72,384.532,393.344,402.156,410.968,419.78,427.162,434.544,441.926,449.308,456.69,469.098,481.506,493.914,506.322,518.73,532.48,546.23,559.98,573.73,587.48,593.039714,598.5994281,604.1591421,609.7188561,615.2785702,624.9334272,634.5882842,644.2431412,653.8979982,663.5528552,673.2077122,682.8625693,692.5174263,702.1722833
5TNYCT,,,,,,,,,,,,,,15811.06,15824.846,15838.632,15852.418,15866.204,15879.99,15933.932,15987.874,16041.816,16095.758,16149.7,16234.066,16318.432,16402.798,16487.164,16571.53,16737.126,16902.722,17068.318,17233.914,17399.51,17572.57,17745.63,17918.69,18091.75,18264.81,18114.79495,17964.7799,17814.76485,17664.7498,17514.73476,17526.25723,17537.77971,17549.30218,17560.82466,17572.34713,17583.86961,17595.39209,17606.91456,17618.43704
5TNYMA,,,,,,,,,,,,,,2319.14,2366.304,2413.468,2460.632,2507.796,2554.96,2609.336,2663.712,2718.088,2772.464,2826.84,2899.91,2972.98,3046.05,3119.12,3192.19,3289.516,3386.842,3484.168,3581.494,3678.82,3789.974,3901.128,4012.282,4123.436,4234.59,4249.124048,4263.658097,4278.192145,4292.726193,4307.260241,4370.104266,4432.94829,4495.792314,4558.636338,4621.480362,4684.324386,4747.16841,4810.012435,4872.856459
5TNYNJ,,,,,,,,,,,,,,24634.44,24598.492,24562.544,24526.596,24490.648,24454.7,24721.584,24988.468,25255.352,25522.236,25789.12,26175.81,26562.5,26949.19,27335.88,27722.57,27912.846,28103.122,28293.398,28483.674,28673.95,28959.99,29246.03,29532.07,29818.11,30104.15,29750.30109,29396.45218,29042.60327,28688.75435,28334.90544,28301.00099,28267.09653,28233.19208,28199.28762,28165.38317,28131.47871,28097.57425,28063.6698,28029.76534
5TNYPA,,,,,,,,,,,,,,8103.87,8094.816,8085.762,8076.708,8067.654,8058.6,8095.3,8132,8168.7,8205.4,8242.1,8280.552,8319.004,8357.456,8395.908,8434.36,8498.952,8563.544,8628.136,8692.728,8757.32,8840.71,8924.1,9007.49,9090.88,9174.27,9095.12358,9015.977159,8936.830739,8857.684319,8778.537898,8780.659688,8782.781478,8784.903268,8787.025057,8789.146847,8791.268637,8793.390427,8795.512217,8797.634006
5TNYVT,,,,,,,,,,,,,,855.72,859.882,864.044,868.206,872.368,876.53,881.564,886.598,891.632,896.666,901.7,904.43,907.16,909.89,912.62,915.35,920.514,925.678,930.842,936.006,941.17,946.858,952.546,958.234,963.922,969.61,965.4788139,961.3476278,957.2164418,953.0852557,948.9540696,949.7324766,950.5108835,951.2892905,952.0676974,952.8461044,953.6245114,954.4029183,955.1813253,955.9597322
5TOHIN,,,,,,,,,,,,,,51769.78,51492.144,51214.508,50936.872,50659.236,50381.6,50211.016,50040.432,49869.848,49699.264,49528.68,49508.218,49487.756,49467.294,49446.832,49426.37,49700.812,49975.254,50249.696,50524.138,50798.58,51009.732,51220.884,51432.036,51643.188,51854.34,51443.30347,51032.26693,50621.2304,50210.19386,49799.15733,49699.21506,49599.27279,49499.33052,49399.38826,49299.44599,49199.50372,49099.56145,48999.61919,48899.67692
5TOHKY,,,,,,,,,,,,,,26972.97,26695.05,26417.13,26139.21,25861.29,25583.37,25034.904,24486.438,23937.972,23389.506,22841.04,22435.92,22030.8,21625.68,21220.56,20815.44,20733.308,20651.176,20569.044,20486.912,20404.78,20427.26,20449.74,20472.22,20494.7,20517.18,20453.04776,20388.91552,20324.78329,20260.65105,20196.51881,20175.69269,20154.86657,20134.04045,20113.21434,20092.38822,20071.5621,20050.73598,20029.90986,20009.08374
5TOHMI,,,,,,,,,,,,,,18457.69,18056.666,17655.642,17254.618,16853.594,16452.57,16122.172,15791.774,15461.376,15130.978,14800.58,14567.684,14334.788,14101.892,13868.996,13636.1,13507.746,13379.392,13251.038,13122.684,12994.33,12877.36,12760.39,12643.42,12526.45,12409.48,12401.53937,12393.59873,12385.6581,12377.71746,12369.77683,12307.32151,12244.8662,12182.41088,12119.95556,12057.50025,11995.04493,11932.58961,11870.1343,11807.67898
5TOHPA,,,,,,,,,,,,,,71620.68,73898.468,76176.256,78454.044,80731.832,83009.62,85307.546,87605.472,89903.398,92201.324,94499.25,97154.688,99810.126,102465.564,105121.002,107776.44,110670.704,113564.968,116459.232,119353.496,122247.76,125440.366,128632.972,131825.578,135018.184,138210.79,135308.7006,132406.6111,129504.5217,126602.4322,123700.3428,123845.601,123990.8593,124136.1176,124281.3759,124426.6341,124571.8924,124717.1507,124862.409,125007.6672
5TOHWV,,,,,,,,,,,,,,45790.27,46531.058,47271.846,48012.634,48753.422,49494.21,50275.424,51056.638,51837.852,52619.066,53400.28,54435.72,55471.16,56506.6,57542.04,58577.48,59834.77,61092.06,62349.35,63606.64,64863.93,66242.99,67622.05,69001.11,70380.17,71759.23,71876.13731,71993.04462,72109.95193,72226.85924,72343.76655,73091.7502,73839.73386,74587.71751,75335.70117,76083.68482,76831.66848,77579.65213,78327.63579,79075.61944
5TOKAR,,,,,,,,,,,,,,29647.52,30159.846,30672.172,31184.498,31696.824,32209.15,34089.086,35969.022,37848.958,39728.894,41608.83,43758.856,45908.882,48058.908,50208.934,52358.96,54024.522,55690.084,57355.646,59021.208,60686.77,62355.436,64024.102,65692.768,67361.434,69030.1,69770.37838,70510.65676,71250.93513,71991.21351,72731.49189,73935.96408,75140.43627,76344.90846,77549.38065,78753.85283,79958.32502,81162.79721,82367.2694,83571.74159
5TOKKS,,,,,,,,,,,,,,15640.03,16063.532,16487.034,16910.536,17334.038,17757.54,18474.478,19191.416,19908.354,20625.292,21342.23,22123.656,22905.082,23686.508,24467.934,25249.36,26287.688,27326.016,28364.344,29402.672,30441,31616.648,32792.296,33967.944,35143.592,36319.24,35082.03154,33844.82308,32607.61463,31370.40617,30133.19771,30102.41748,30071.63725,30040.85702,30010.07679,29979.29656,29948.51633,29917.73611,29886.95588,29856.17565
5TOKMO,,,,,,,,,,,,,,19532.3,19681.38,19830.46,19979.54,20128.62,20277.7,20453.574,20629.448,20805.322,20981.196,21157.07,21359.298,21561.526,21763.754,21965.982,22168.21,22541.73,22915.25,23288.77,23662.29,24035.81,24431.954,24828.098,25224.242,25620.386,26016.53,25811.21554,25605.90108,25400.58662,25195.27217,24989.95771,25085.37248,25180.78725,25276.20202,25371.61679,25467.03156,25562.44633,25657.8611,25753.27587,25848.69064
5TOKNM,,,,,,,,,,,,,,24.63,24.638,24.646,24.654,24.662,24.67,24.768,24.866,24.964,25.062,25.16,25.51,25.86,26.21,26.56,26.91,27.366,27.822,28.278,28.734,29.19,29.544,29.898,30.252,30.606,30.96,31.28444867,31.60889735,31.93334602,32.2577947,32.58224337,32.92146771,33.26069205,33.59991639,33.93914072,34.27836506,34.6175894,34.95681374,35.29603807,35.63526241
5TOKTX,,,,,,,,,,,,,,155424.19,157687.138,159950.086,162213.034,164475.982,166738.93,167280.032,167821.134,168362.236,168903.338,169444.44,171437.52,173430.6,175423.68,177416.76,179409.84,182137.632,184865.424,187593.216,190321.008,193048.8,196125.238,199201.676,202278.114,205354.552,208430.99,207725.7601,207020.5301,206315.3002,205610.0703,204904.8404,206090.4444,207276.0484,208461.6525,209647.2565,210832.8605,212018.4646,213204.0686,214389.6726,215575.2767
5TORCA,,,,,,,,,,,,,,8516.87,8620.93,8724.99,8829.05,8933.11,9037.17,9131.03,9224.89,9318.75,9412.61,9506.47,9580.63,9654.79,9728.95,9803.11,9877.27,9943.906,10010.542,10077.178,10143.814,10210.45,10303.632,10396.814,10489.996,10583.178,10676.36,10508.70342,10341.04685,10173.39027,10005.73369,9838.077118,9800.83983,9763.602542,9726.365254,9689.127966,9651.890677,9614.653389,9577.416101,9540.178813,9502.941525
5TORID,,,,,,,,,,,,,,15506.68,15879.878,16253.076,16626.274,16999.472,17372.67,17713.992,18055.314,18396.636,18737.958,19079.28,19345.612,19611.944,19878.276,20144.608,20410.94,20731.926,21052.912,21373.898,21694.884,22015.87,22430.472,22845.074,23259.676,23674.278,24088.88,23663.3309,23237.78181,22812.23271,22386.68361,21961.13451,21955.66097,21950.18742,21944.71387,21939.24032,21933.76677,21928.29322,21922.81967,21917.34613,21911.87258
5TORNV,,,,,,,,,,,,,,1244.09,1284.434,1324.778,1365.122,1405.466,1445.81,1489.176,1532.542,1575.908,1619.274,1662.64,1698.176,1733.712,1769.248,1804.784,1840.32,1881.618,1922.916,1964.214,2005.512,2046.81,2095.082,2143.354,2191.626,2239.898,2288.17,2260.014712,2231.859424,2203.704136,2175.548848,2147.39356,2157.451916,2167.510272,2177.568627,2187.626983,2197.685339,2207.743695,2217.802051,2227.860407,2237.918763
5TORWA,,,,,,,,,,,,,,15566.83,16148.74,16730.65,17312.56,17894.47,18476.38,19214.824,19953.268,20691.712,21430.156,22168.6,22964.69,23760.78,24556.87,25352.96,26149.05,27137.792,28126.534,29115.276,30104.018,31092.76,32165.548,33238.336,34311.124,35383.912,36456.7,35992.40945,35528.11889,35063.82834,34599.53779,34135.24724,34439.49596,34743.74468,35047.99341,35352.24213,35656.49085,35960.73958,36264.9883,36569.23703,36873.48575
5TPADE,,,,,,,,,,,,,,2317.05,2290.204,2263.358,2236.512,2209.666,2182.82,2197.558,2212.296,2227.034,2241.772,2256.51,2279.464,2302.418,2325.372,2348.326,2371.28,2382.124,2392.968,2403.812,2414.656,2425.5,2445.236,2464.972,2484.708,2504.444,2524.18,2540.627645,2557.07529,2573.522935,2589.97058,2606.418225,2624.510048,2642.60187,2660.693693,2678.785516,2696.877338,2714.969161,2733.060983,2751.152806,2769.244628
5TPAMD,,,,,,,,,,,,,,40742.02,40684.82,40627.62,40570.42,40513.22,40456.02,40712.136,40968.252,41224.368,41480.484,41736.6,42093.508,42450.416,42807.324,43164.232,43521.14,44212.014,44902.888,45593.762,46284.636,46975.51,47812.318,48649.126,49485.934,50322.742,51159.55,51890.87274,52622.19548,53353.51822,54084.84096,54816.1637,55600.22907,56384.29444,57168.35981,57952.42518,58736.49055,59520.55592,60304.62129,61088.68666,61872.75203
5TPANJ,,,,,,,,,,,,,,69212.4,69857.416,70502.432,71147.448,71792.464,72437.48,73181.568,73925.656,74669.744,75413.832,76157.92,77246.244,78334.568,79422.892,80511.216,81599.54,82811.81,84024.08,85236.35,86448.62,87660.89,89032.044,90403.198,91774.352,93145.506,94516.66,94439.3032,94361.94639,94284.58959,94207.23279,94129.87598,94776.77458,95423.67318,96070.57178,96717.47038,97364.36897,98011.26757,98658.16617,99305.06477,99951.96337
5TPANY,,,,,,,,,,,,,,13940.37,14253.504,14566.638,14879.772,15192.906,15506.04,15880.508,16254.976,16629.444,17003.912,17378.38,17861.058,18343.736,18826.414,19309.092,19791.77,20387.65,20983.53,21579.41,22175.29,22771.17,23459.846,24148.522,24837.198,25525.874,26214.55,26015.40804,25816.26609,25617.12413,25417.98217,25218.84021,25463.60724,25708.37426,25953.14128,26197.9083,26442.67532,26687.44234,26932.20936,27176.97639,27421.74341
5TPAOH,,,,,,,,,,,,,,30161.37,29553.426,28945.482,28337.538,27729.594,27121.65,26765.71,26409.77,26053.83,25697.89,25341.95,25103.95,24865.95,24627.95,24389.95,24151.95,24039.578,23927.206,23814.834,23702.462,23590.09,23486.026,23381.962,23277.898,23173.834,23069.77,23014.43098,22959.09196,22903.75293,22848.41391,22793.07489,22713.37338,22633.67187,22553.97036,22474.26884,22394.56733,22314.86582,22235.16431,22155.4628,22075.76129
5TPAWV,,,,,,,,,,,,,,3626.26,3582.804,3539.348,3495.892,3452.436,3408.98,3367.25,3325.52,3283.79,3242.06,3200.33,3156.66,3112.99,3069.32,3025.65,2981.98,2951.06,2920.14,2889.22,2858.3,2827.38,2791.938,2756.496,2721.054,2685.612,2650.17,2622.038411,2593.906821,2565.775232,2537.643643,2509.512053,2477.725259,2445.938464,2414.151669,2382.364874,2350.57808,2318.791285,2287.00449,2255.217696,2223.430901
5TRICT,,,,,,,,,,,,,,1531.04,1615.648,1700.256,1784.864,1869.472,1954.08,2063.108,2172.136,2281.164,2390.192,2499.22,2590.756,2682.292,2773.828,2865.364,2956.9,3044.19,3131.48,3218.77,3306.06,3393.35,3512.864,3632.378,3751.892,3871.406,3990.92,3752.430653,3513.941306,3275.451958,3036.962611,2798.473264,2738.98559,2679.497917,2620.010243,2560.522569,2501.034896,2441.547222,2382.059549,2322.571875,2263.084201
5TRIMA,,,,,,,,,,,,,,4062.8,4236.814,4410.828,4584.842,4758.856,4932.87,5109.514,5286.158,5462.802,5639.446,5816.09,5927.78,6039.47,6151.16,6262.85,6374.54,6462.754,6550.968,6639.182,6727.396,6815.61,6951.58,7087.55,7223.52,7359.49,7495.46,7183.05049,6870.640979,6558.231469,6245.821959,5933.412448,5845.192693,5756.972938,5668.753183,5580.533428,5492.313673,5404.093918,5315.874162,5227.654407,5139.434652
5TSCGA,,,,,,,,,,,,,,32890.67,32853.118,32815.566,32778.014,32740.462,32702.91,32860.224,33017.538,33174.852,33332.166,33489.48,33698.612,33907.744,34116.876,34326.008,34535.14,34961.128,35387.116,35813.104,36239.092,36665.08,37093.4,37521.72,37950.04,38378.36,38806.68,38711.86321,38617.04641,38522.22962,38427.41282,38332.59603,38499.34763,38666.09924,38832.85084,38999.60244,39166.35404,39333.10565,39499.85725,39666.60885,39833.36046
5TSCNC,,,,,,,,,,,,,,27295.42,27672.05,28048.68,28425.31,28801.94,29178.57,29542.948,29907.326,30271.704,30636.082,31000.46,31554.724,32108.988,32663.252,33217.516,33771.78,34402.4,35033.02,35663.64,36294.26,36924.88,37500.364,38075.848,38651.332,39226.816,39802.3,39308.57712,38814.85425,38321.13137,37827.40849,37333.68562,37374.56618,37415.44674,37456.3273,37497.20786,37538.08842,37578.96899,37619.84955,37660.73011,37701.61067
5TSDIA,,,,,,,,,,,,,,4205.57,4244.94,4284.31,4323.68,4363.05,4402.42,4437.76,4473.1,4508.44,4543.78,4579.12,4639.286,4699.452,4759.618,4819.784,4879.95,4956.458,5032.966,5109.474,5185.982,5262.49,5360.18,5457.87,5555.56,5653.25,5750.94,5770.93953,5790.93906,5810.93859,5830.93812,5850.93765,5909.782415,5968.62718,6027.471945,6086.31671,6145.161476,6204.006241,6262.851006,6321.695771,6380.540536
5TSDMN,,,,,,,,,,,,,,44318.57,45477.548,46636.526,47795.504,48954.482,50113.46,51400.042,52686.624,53973.206,55259.788,56546.37,58000.484,59454.598,60908.712,62362.826,63816.94,65598.942,67380.944,69162.946,70944.948,72726.95,74813.272,76899.594,78985.916,81072.238,83158.56,83218.9286,83279.2972,83339.6658,83400.03439,83460.40299,84533.74829,85607.09359,86680.43889,87753.78419,88827.12949,89900.47479,90973.82009,92047.16539,93120.51069
5TSDND,,,,,,,,,,,,,,2222.32,2258.82,2295.32,2331.82,2368.32,2404.82,2488.822,2572.824,2656.826,2740.828,2824.83,2898.846,2972.862,3046.878,3120.894,3194.91,3321.216,3447.522,3573.828,3700.134,3826.44,3938.142,4049.844,4161.546,4273.248,4384.95,4393.974769,4402.999538,4412.024307,4421.049076,4430.073845,4490.437229,4550.800614,4611.163998,4671.527382,4731.890767,4792.254151,4852.617536,4912.98092,4973.344305
5TSDNE,,,,,,,,,,,,,,6207.17,6326.042,6444.914,6563.786,6682.658,6801.53,6892.248,6982.966,7073.684,7164.402,7255.12,7400.024,7544.928,7689.832,7834.736,7979.64,8154.73,8329.82,8504.91,8680,8855.09,9051.666,9248.242,9444.818,9641.394,9837.97,9847.264374,9856.558748,9865.853122,9875.147495,9884.441869,9987.377056,10090.31224,10193.24743,10296.18262,10399.1178,10502.05299,10604.98818,10707.92336,10810.85855
5TSDWY,,,,,,,,,,,,,,5347.07,5358.66,5370.25,5381.84,5393.43,5405.02,5426.714,5448.408,5470.102,5491.796,5513.49,5575.116,5636.742,5698.368,5759.994,5821.62,5915.51,6009.4,6103.29,6197.18,6291.07,6417.48,6543.89,6670.3,6796.71,6923.12,6996.27152,7069.42304,7142.574559,7215.726079,7288.877599,7388.658359,7488.439119,7588.219879,7688.000639,7787.781398,7887.562158,7987.342918,8087.123678,8186.904438
5TTNAL,,,,,,,,,,,,,,18404.79,18883.69,19362.59,19841.49,20320.39,20799.29,21420.596,22041.902,22663.208,23284.514,23905.82,24645.654,25385.488,26125.322,26865.156,27604.99,28478.68,29352.37,30226.06,31099.75,31973.44,32900.004,33826.568,34753.132,35679.696,36606.26,36431.70679,36257.15359,36082.60038,35908.04718,35733.49397,36109.49937,36485.50476,36861.51016,37237.51556,37613.52096,37989.52635,38365.53175,38741.53715,39117.54254
5TTNAR,,,,,,,,,,,,,,20692.49,20927.464,21162.438,21397.412,21632.386,21867.36,22136.932,22406.504,22676.076,22945.648,23215.22,23606.032,23996.844,24387.656,24778.468,25169.28,25654.192,26139.104,26624.016,27108.928,27593.84,28181.754,28769.668,29357.582,29945.496,30533.41,30415.85481,30298.29962,30180.74443,30063.18924,29945.63405,30180.81345,30415.99285,30651.17226,30886.35166,31121.53107,31356.71047,31591.88988,31827.06928,32062.24869
5TTNGA,,,,,,,,,,,,,,93622.54,96016.308,98410.076,100803.844,103197.612,105591.38,108285.106,110978.832,113672.558,116366.284,119060.01,122735.808,126411.606,130087.404,133763.202,137439,141410.812,145382.624,149354.436,153326.248,157298.06,161873.266,166448.472,171023.678,175598.884,180174.09,179150.0781,178126.0661,177102.0542,176078.0423,175054.0304,176829.6274,178605.2244,180380.8215,182156.4185,183932.0155,185707.6126,187483.2096,189258.8067,191034.4037
5TTNKY,,,,,,,,,,,,,,27415.81,27737.99,28060.17,28382.35,28704.53,29026.71,29271.218,29515.726,29760.234,30004.742,30249.25,30503.734,30758.218,31012.702,31267.186,31521.67,32005.258,32488.846,32972.434,33456.022,33939.61,34403.032,34866.454,35329.876,35793.298,36256.72,35659.4437,35062.1674,34464.8911,33867.6148,33270.3385,33203.41135,33136.4842,33069.55705,33002.6299,32935.70275,32868.7756,32801.84845,32734.9213,32667.99415
5TTNMO,,,,,,,,,,,,,,1806.88,1812.266,1817.652,1823.038,1828.424,1833.81,1845.378,1856.946,1868.514,1880.082,1891.65,1910.998,1930.346,1949.694,1969.042,1988.39,2012.174,2035.958,2059.742,2083.526,2107.31,2122.628,2137.946,2153.264,2168.582,2183.9,2167.526766,2151.153532,2134.780298,2118.407064,2102.03383,2101.506213,2100.978597,2100.45098,2099.923363,2099.395746,2098.868129,2098.340512,2097.812895,2097.285278
5TTNMS,,,,,,,,,,,,,,42859.21,43921,44982.79,46044.58,47106.37,48168.16,50073.604,51979.048,53884.492,55789.936,57695.38,59760.544,61825.708,63890.872,65956.036,68021.2,70173.706,72326.212,74478.718,76631.224,78783.73,81070.596,83357.462,85644.328,87931.194,90218.06,90864.14816,91510.23632,92156.32448,92802.41264,93448.5008,94914.97789,96381.45497,97847.93205,99314.40913,100780.8862,102247.3633,103713.8404,105180.3174,106646.7945
5TTNNC,,,,,,,,,,,,,,22960.85,23490.398,24019.946,24549.494,25079.042,25608.59,26046.224,26483.858,26921.492,27359.126,27796.76,28501.288,29205.816,29910.344,30614.872,31319.4,31954.34,32589.28,33224.22,33859.16,34494.1,35294.222,36094.344,36894.466,37694.588,38494.71,38425.25793,38355.80586,38286.35379,38216.90172,38147.44965,38512.78462,38878.11958,39243.45455,39608.78951,39974.12448,40339.45944,40704.79441,41070.12937,41435.46434
5TTNVA,,,,,,,,,,,,,,9907.69,10085.188,10262.686,10440.184,10617.682,10795.18,10952.242,11109.304,11266.366,11423.428,11580.49,11747.332,11914.174,12081.016,12247.858,12414.7,12613.458,12812.216,13010.974,13209.732,13408.49,13678.812,13949.134,14219.456,14489.778,14760.1,14631.69642,14503.29283,14374.88925,14246.48566,14118.08208,14189.04128,14260.00049,14330.9597,14401.91891,14472.87811,14543.83732,14614.79653,14685.75574,14756.71494
5TTXAR,,,,,,,,,,,,,,6273.75,6328.32,6382.89,6437.46,6492.03,6546.6,6635.88,6725.16,6814.44,6903.72,6993,7137.48,7281.96,7426.44,7570.92,7715.4,7879.548,8043.696,8207.844,8371.992,8536.14,8701.366,8866.592,9031.818,9197.044,9362.27,9204.489014,9046.708027,8888.927041,8731.146054,8573.365068,8577.087575,8580.810081,8584.532588,8588.255095,8591.977602,8595.700109,8599.422615,8603.145122,8606.867629
5TTXLA,,,,,,,,,,,,,,35346.39,35532.882,35719.374,35905.866,36092.358,36278.85,36746.314,37213.778,37681.242,38148.706,38616.17,39279.562,39942.954,40606.346,41269.738,41933.13,42835.708,43738.286,44640.864,45543.442,46446.02,47491.652,48537.284,49582.916,50628.548,51674.18,51852.49007,52030.80014,52209.11021,52387.42028,52565.73035,53177.70139,53789.67243,54401.64346,55013.6145,55625.58553,56237.55657,56849.5276,57461.49864,58073.46967
5TTXNM,,,,,,,,,,,,,,24797,24873.122,24949.244,25025.366,25101.488,25177.61,25238.258,25298.906,25359.554,25420.202,25480.85,25705.026,25929.202,26153.378,26377.554,26601.73,26897.014,27192.298,27487.582,27782.866,28078.15,28397.222,28716.294,29035.366,29354.438,29673.51,29792.61436,29911.71872,30030.82309,30149.92745,30269.03181,30488.11999,30707.20817,30926.29635,31145.38454,31364.47272,31583.5609,31802.64908,32021.73726,32240.82544
5TTXOK,,,,,,,,,,,,,,39000.11,39702.272,40404.434,41106.596,41808.758,42510.92,43624.364,44737.808,45851.252,46964.696,48078.14,49299.328,50520.516,51741.704,52962.892,54184.08,56129.346,58074.612,60019.878,61965.144,63910.41,66161.326,68412.242,70663.158,72914.074,75164.99,73835.22212,72505.45425,71175.68637,69845.9185,68516.15062,68976.72468,69437.29874,69897.87281,70358.44687,70819.02093,71279.59499,71740.16905,72200.74312,72661.31718
5TUTAZ,,,,,,,,,,,,,,40123.33,40259.06,40394.79,40530.52,40666.25,40801.98,40659.428,40516.876,40374.324,40231.772,40089.22,40494.768,40900.316,41305.864,41711.412,42116.96,42620.538,43124.116,43627.694,44131.272,44634.85,45284.856,45934.862,46584.868,47234.874,47884.88,47889.11587,47893.35174,47897.58761,47901.82348,47906.05935,48233.18029,48560.30123,48887.42216,49214.5431,49541.66403,49868.78497,50195.9059,50523.02684,50850.14777
5TUTCO,,,,,,,,,,,,,,15251.01,15882.274,16513.538,17144.802,17776.066,18407.33,19157.974,19908.618,20659.262,21409.906,22160.55,23058.59,23956.63,24854.67,25752.71,26650.75,27818.284,28985.818,30153.352,31320.886,32488.42,33449.714,34411.008,35372.302,36333.596,37294.89,35712.80278,34130.71556,32548.62834,30966.54113,29384.45391,29074.0573,28763.66069,28453.26408,28142.86747,27832.47086,27522.07425,27211.67764,26901.28103,26590.88442
5TUTID,,,,,,,,,,,,,,17702.08,17778.114,17854.148,17930.182,18006.216,18082.25,18195.954,18309.658,18423.362,18537.066,18650.77,18856.382,19061.994,19267.606,19473.218,19678.83,19979.52,20280.21,20580.9,20881.59,21182.28,21531.746,21881.212,22230.678,22580.144,22929.61,23104.13369,23278.65739,23453.18108,23627.70478,23802.22847,24064.22332,24326.21817,24588.21301,24850.20786,25112.20271,25374.19755,25636.1924,25898.18725,26160.1821
5TUTNV,,,,,,,,,,,,,,2364.63,2393.43,2422.23,2451.03,2479.83,2508.63,2523.334,2538.038,2552.742,2567.446,2582.15,2608.554,2634.958,2661.362,2687.766,2714.17,2729.698,2745.226,2760.754,2776.282,2791.81,2819.11,2846.41,2873.71,2901.01,2928.31,2892.796603,2857.283205,2821.769808,2786.25641,2750.743013,2746.636314,2742.529615,2738.422917,2734.316218,2730.209519,2726.10282,2721.996122,2717.889423,2713.782724
5TUTWY,,,,,,,,,,,,,,17675.15,18081.018,18486.886,18892.754,19298.622,19704.49,20121.658,20538.826,20955.994,21373.162,21790.33,22129.108,22467.886,22806.664,23145.442,23484.22,23904.324,24324.428,24744.532,25164.636,25584.74,26059.298,26533.856,27008.414,27482.972,27957.53,27697.02191,27436.51382,27176.00572,26915.49763,26654.98954,26762.0145,26869.03945,26976.0644,27083.08936,27190.11431,27297.13927,27404.16422,27511.18917,27618.21413
5TVAMD,,,,,,,,,,,,,,9455.49,9612.074,9768.658,9925.242,10081.826,10238.41,10427.856,10617.302,10806.748,10996.194,11185.64,11422.146,11658.652,11895.158,12131.664,12368.17,12690.22,13012.27,13334.32,13656.37,13978.42,14316.272,14654.124,14991.976,15329.828,15667.68,15556.734,15445.78801,15334.84201,15223.89602,15112.95002,15226.40302,15339.85602,15453.30903,15566.76203,15680.21503,15793.66803,15907.12104,16020.57404,16134.02704
