from,to,const,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12
% Biomass feedstock production - cost curve segment (M$/k-dry-ton),,,,,,,,,,,,,,
CPAL,7TAL,0.06,%/ Geographical variation in feedstock op. cost (M$/k-dry-ton) -(bid segments),,,,,,,,,,,
CPAZ,7TAZ,0.06,,,,,,,,,,,,
CPAR,7TAR,0.06,,,,,,,,,,,,
CPCA,7TCA,0.06,,,,,,,,,,,,
CPCO,7TCO,0.06,,,,,,,,,,,,
CPCT,7TCT,0.06,,,,,,,,,,,,
CPDE,7TDE,0.06,,,,,,,,,,,,
CPFL,7TFL,0.06,,,,,,,,,,,,
CPGA,7TGA,0.06,,,,,,,,,,,,
CPID,7TID,0.06,,,,,,,,,,,,
CPIL,7TIL,0.06,,,,,,,,,,,,
CPIN,7TIN,0.06,,,,,,,,,,,,
CPIA,7TIA,0.06,,,,,,,,,,,,
CPKS,7TKS,0.06,,,,,,,,,,,,
CPKY,7TKY,0.06,,,,,,,,,,,,
CPLA,7TLA,0.06,,,,,,,,,,,,
CPME,7TME,0.06,,,,,,,,,,,,
CPMD,7TMD,0.06,,,,,,,,,,,,
CPMA,7TMA,0.06,,,,,,,,,,,,
CPMI,7TMI,0.06,,,,,,,,,,,,
CPMN,7TMN,0.06,,,,,,,,,,,,
CPMS,7TMS,0.06,,,,,,,,,,,,
CPMO,7TMO,0.06,,,,,,,,,,,,
CPMT,7TMT,0.06,,,,,,,,,,,,
CPNE,7TNE,0.06,,,,,,,,,,,,
CPNV,7TNV,0.06,,,,,,,,,,,,
CPNH,7TNH,0.06,,,,,,,,,,,,
CPNJ,7TNJ,0.06,,,,,,,,,,,,
CPNM,7TNM,0.06,,,,,,,,,,,,
CPNY,7TNY,0.06,,,,,,,,,,,,
CPNC,7TNC,0.06,,,,,,,,,,,,
CPND,7TND,0.06,,,,,,,,,,,,
CPOH,7TOH,0.06,,,,,,,,,,,,
CPOK,7TOK,0.06,,,,,,,,,,,,
CPOR,7TOR,0.06,,,,,,,,,,,,
CPPA,7TPA,0.06,,,,,,,,,,,,
CPRI,7TRI,0.06,,,,,,,,,,,,
CPSC,7TSC,0.06,,,,,,,,,,,,
CPSD,7TSD,0.06,,,,,,,,,,,,
CPTN,7TTN,0.06,,,,,,,,,,,,
CPTX,7TTX,0.06,,,,,,,,,,,,
CPUT,7TUT,0.06,,,,,,,,,,,,
CPVT,7TVT,0.06,,,,,,,,,,,,
CPVA,7TVA,0.06,,,,,,,,,,,,
CPWA,7TWA,0.06,,,,,,,,,,,,
CPWV,7TWV,0.06,,,,,,,,,,,,
CPWI,7TWI,0.06,,,,,,,,,,,,
CPWY,7TWY,0.06,,,,,,,,,,,,
CPAL,8TAL,0.06,,,,,,,,,,,,
CPAZ,8TAZ,0.06,,,,,,,,,,,,
CPAR,8TAR,0.06,,,,,,,,,,,,
CPCA,8TCA,0.06,,,,,,,,,,,,
CPCO,8TCO,0.06,,,,,,,,,,,,
CPCT,8TCT,0.06,,,,,,,,,,,,
CPDE,8TDE,0.06,,,,,,,,,,,,
CPFL,8TFL,0.06,,,,,,,,,,,,
CPGA,8TGA,0.06,,,,,,,,,,,,
CPID,8TID,0.06,,,,,,,,,,,,
CPIL,8TIL,0.06,,,,,,,,,,,,
CPIN,8TIN,0.06,,,,,,,,,,,,
CPIA,8TIA,0.06,,,,,,,,,,,,
CPKS,8TKS,0.06,,,,,,,,,,,,
CPKY,8TKY,0.06,,,,,,,,,,,,
CPLA,8TLA,0.06,,,,,,,,,,,,
CPME,8TME,0.06,,,,,,,,,,,,
CPMD,8TMD,0.06,,,,,,,,,,,,
CPMA,8TMA,0.06,,,,,,,,,,,,
CPMI,8TMI,0.06,,,,,,,,,,,,
CPMN,8TMN,0.06,,,,,,,,,,,,
CPMS,8TMS,0.06,,,,,,,,,,,,
CPMO,8TMO,0.06,,,,,,,,,,,,
CPMT,8TMT,0.06,,,,,,,,,,,,
CPNE,8TNE,0.06,,,,,,,,,,,,
CPNV,8TNV,0.06,,,,,,,,,,,,
CPNH,8TNH,0.06,,,,,,,,,,,,
CPNJ,8TNJ,0.06,,,,,,,,,,,,
CPNM,8TNM,0.06,,,,,,,,,,,,
CPNY,8TNY,0.06,,,,,,,,,,,,
CPNC,8TNC,0.06,,,,,,,,,,,,
CPND,8TND,0.06,,,,,,,,,,,,
CPOH,8TOH,0.06,,,,,,,,,,,,
CPOK,8TOK,0.06,,,,,,,,,,,,
CPOR,8TOR,0.06,,,,,,,,,,,,
CPPA,8TPA,0.06,,,,,,,,,,,,
CPRI,8TRI,0.06,,,,,,,,,,,,
CPSC,8TSC,0.06,,,,,,,,,,,,
CPSD,8TSD,0.06,,,,,,,,,,,,
CPTN,8TTN,0.06,,,,,,,,,,,,
CPTX,8TTX,0.06,,,,,,,,,,,,
CPUT,8TUT,0.06,,,,,,,,,,,,
CPVT,8TVT,0.06,,,,,,,,,,,,
CPVA,8TVA,0.06,,,,,,,,,,,,
CPWA,8TWA,0.06,,,,,,,,,,,,
CPWV,8TWV,0.06,,,,,,,,,,,,
CPWI,8TWI,0.06,,,,,,,,,,,,
CPWY,8TWY,0.06,,,,,,,,,,,,
CPAL,9TAL,0.06,,,,,,,,,,,,
CPAZ,9TAZ,0.06,,,,,,,,,,,,
CPAR,9TAR,0.06,,,,,,,,,,,,
CPCA,9TCA,0.06,,,,,,,,,,,,
CPCO,9TCO,0.06,,,,,,,,,,,,
CPCT,9TCT,0.06,,,,,,,,,,,,
CPDE,9TDE,0.06,,,,,,,,,,,,
CPFL,9TFL,0.06,,,,,,,,,,,,
CPGA,9TGA,0.06,,,,,,,,,,,,
CPID,9TID,0.06,,,,,,,,,,,,
CPIL,9TIL,0.06,,,,,,,,,,,,
CPIN,9TIN,0.06,,,,,,,,,,,,
CPIA,9TIA,0.06,,,,,,,,,,,,
CPKS,9TKS,0.06,,,,,,,,,,,,
