from,to,const,
EC,EL,y40,
ED,EL,y40,
EW,EL,y25,
EY,EL,y25,
EV,EL,y30,
EU,EL,y30,
EN,EL,y60,
EO,EL,y30,
EP,EL,y30,
EH,EL,y100,
EG,EL,y30,
ET,EL,y30,
E2,EL,y50,
E3,EL,y50,
E1,EL,y50,
E4,EL,y40,% Coal w/ CCS
E5,EL,y40,% IGCC w/ CCS
E6,EL,y30,% NGCC w/ CCS
% VEHICLES,,,
G,VD,y12,% personal vehicles
cc,,y12,
gg,,y12,
kk,,y25,
% Rail,,,
tt,,y50,
ee,,y30,
% Flight,,,
ff,,y30,
% HSR infra,,,
pp,,y60,
% Biomass and Biorefinery,,,
EM,EL,y30,
EA,EL,y20,
ES,EL,y35,
ER,EL,y30,
BR,BO,y25,
