from,to,y20,y21m1,y21m2,y21m3,y21m4,y21m5,y21m6,y21m7,y21m8,y21m9,y21m10,y21m11,y21m12,y30,y30m1,y30m2,y30m3,y30m4,y30m5,y30m6,y30m7,y30m8,y30m9,y30m10,y30m11,y30m12
EC,E,0.7,0.646153846,0.592307692,0.538461538,0.484615385,0.430769231,0.376923077,0.323076923,0.269230769,0.215384615,0.161538462,0.107692308,0.053846154,0.7,0.646153846,0.592307692,0.538461538,0.484615385,0.430769231,0.376923077,0.323076923,0.269230769,0.215384615,0.161538462,0.107692308,0.053846154
ED,E,0.7,0.646153846,0.592307692,0.538461538,0.484615385,0.430769231,0.376923077,0.323076923,0.269230769,0.215384615,0.161538462,0.107692308,0.053846154,0.7,0.646153846,0.592307692,0.538461538,0.484615385,0.430769231,0.376923077,0.323076923,0.269230769,0.215384615,0.161538462,0.107692308,0.053846154
