from,to,y20,y21m1,y21m2,y21m3,y21m4,y21m5,y21m6,y21m7,y21m8,y21m9,y21m10,y21m11,y21m12,y30,y30m1,y30m2,y30m3,y30m4,y30m5,y30m6,y30m7,y30m8,y30m9,y30m10,y30m11,y30m12
NTFG,NT,0.5,0.461538462,0.423076923,0.384615385,0.346153846,0.307692308,0.269230769,0.230769231,0.192307692,0.153846154,0.115384615,0.076923077,0.038461538,0.5,0.461538462,0.423076923,0.384615385,0.346153846,0.307692308,0.269230769,0.230769231,0.192307692,0.153846154,0.115384615,0.076923077,0.038461538
NPFG,NTFG,0.5,0.461538462,0.423076923,0.384615385,0.346153846,0.307692308,0.269230769,0.230769231,0.192307692,0.153846154,0.115384615,0.076923077,0.038461538,0.5,0.461538462,0.423076923,0.384615385,0.346153846,0.307692308,0.269230769,0.230769231,0.192307692,0.153846154,0.115384615,0.076923077,0.038461538
