from,to,const
EC,EL,2.95e-3
EI,EL,2.84e-3
EW,EL,0
ES,EL,0
EL,EL,2e-4
2P02,2T02,30.18e-6
3P03,3T03,22.86e-6
5P05,5T05,10e-6
XOIL,OILL,20.5741
