from,to,const
EC,EL,1
EI,EL,1
EW01,EL01,0.3
EW02,EL02,0.3
EW03,EL03,0.35
EW04,EL04,0.35
EW05,EL05,0.31
ES01,EL01,0.11
ES02,EL02,0.18
ES03,EL03,0.12
ES04,EL04,0.17
ES05,EL05,0.2
2T,Ec,2.75E+03
2T,Ei,2.86E+03
3T,Ec,2.47E+03
3T,Ei,2.59E+03
5T,Ec,1.90E+03
5T,Ei,1.99E+03
