from,to,const
EW,EL01,69.3 %base wind plant(peak GW in the region)
EW,EL02,29.3 % GW wind plant
EW,EL03,9.5 % GW wind plant
EW,EL04,66.9 % GW wind plant
EW,EL05,222.5 % GW wind plant
EW,EL06,13.5 % GW wind plant
EW,EL07,12.9 % GW wind plant
EW,EL08,6 % GW wind plant
EW,EL09,4.2 % GW wind plant
EW,EL10,84.2 % GW wind plant
EW,EL11,250.7 % GW wind plant
EW,EL12,619.5 % GW wind plant
EW,EL13,150.6 % GW wind plant
