from,to,const
EW,EL01,0.9349
EW,EL02,1.45
EW,EL03,0.9
EW,EL04,1.05
EW,EL05,0.7823
EW,EL06,1.1
EW,EL07,0.986
EW,EL08,1.6
EW,EL09,1.21
EW,EL10,0.9748
EW,EL11,0.6038
EW,EL12,0.7271
EW,EL13,0.8574
