from,to,const
% Electric generation (million$/GW),,
EC,E,2947.04
ED,E,4545.8
EG,E,1574.82
ET,E,972.5
EN,E,6084.54
% EH,E,5857.6
EW,E,1000
EY07,E,4069.35
EY13,E,4069.35
EO,E,2125.07
EP,E,6838.43
EV,E,7210.33
EU,E,6056.87
E1,E,10313.55
E3,E,18286
E2,E,8068.2
