from,to,const %percentage of maximum
EC,E,0.01
ED,E,0.01
EG,E,0.05
ET,E,0.2
EN,E,0
EH,E,0.3
EW,E,0
EY,E,0
EO,E,0.03
EP,E,0.01
EV,E,0
EU,E,0
E1,E,0
E3,E,0
E2,E,0
