from,to,const %No of Starts per MWh
EC,E,0
ED,E,0
EG,E,0
ET,E,0
EN,E,0
EH,E,0
EW,E,0
EY,E,0
EO,E,0
EP,E,0
EV,E,0
EU,E,0
E1,E,0
E3,E,0
E2,E,0
