from,to,const,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12
% Biomass feedstock production - cost curve segment (M$/k-dry-ton),,,,,,,,,,,,,,
CPAL,7TAL,0.2,%/ Geographical variation in feedstock op. cost (M$/k-dry-ton) -(bid segments),,,,,,,,,,,
CPAZ,7TAZ,0.2,,,,,,,,,,,,
CPAR,7TAR,0.2,,,,,,,,,,,,
CPCA,7TCA,0.2,,,,,,,,,,,,
CPCO,7TCO,0.2,,,,,,,,,,,,
CPCT,7TCT,0.2,,,,,,,,,,,,
CPDE,7TDE,0.2,,,,,,,,,,,,
CPFL,7TFL,0.2,,,,,,,,,,,,
CPGA,7TGA,0.2,,,,,,,,,,,,
CPID,7TID,0.2,,,,,,,,,,,,
CPIL,7TIL,0.2,,,,,,,,,,,,
CPIN,7TIN,0.2,,,,,,,,,,,,
CPIA,7TIA,0.2,,,,,,,,,,,,
CPKS,7TKS,0.2,,,,,,,,,,,,
CPKY,7TKY,0.2,,,,,,,,,,,,
CPLA,7TLA,0.2,,,,,,,,,,,,
CPME,7TME,0.2,,,,,,,,,,,,
CPMD,7TMD,0.2,,,,,,,,,,,,
CPMA,7TMA,0.2,,,,,,,,,,,,
CPMI,7TMI,0.2,,,,,,,,,,,,
CPMN,7TMN,0.2,,,,,,,,,,,,
CPMS,7TMS,0.2,,,,,,,,,,,,
CPMO,7TMO,0.2,,,,,,,,,,,,
CPMT,7TMT,0.2,,,,,,,,,,,,
CPNE,7TNE,0.2,,,,,,,,,,,,
CPNV,7TNV,0.2,,,,,,,,,,,,
CPNH,7TNH,0.2,,,,,,,,,,,,
CPNJ,7TNJ,0.2,,,,,,,,,,,,
CPNM,7TNM,0.2,,,,,,,,,,,,
CPNY,7TNY,0.2,,,,,,,,,,,,
CPNC,7TNC,0.2,,,,,,,,,,,,
CPND,7TND,0.2,,,,,,,,,,,,
CPOH,7TOH,0.2,,,,,,,,,,,,
CPOK,7TOK,0.2,,,,,,,,,,,,
CPOR,7TOR,0.2,,,,,,,,,,,,
CPPA,7TPA,0.2,,,,,,,,,,,,
CPRI,7TRI,0.2,,,,,,,,,,,,
CPSC,7TSC,0.2,,,,,,,,,,,,
CPSD,7TSD,0.2,,,,,,,,,,,,
CPTN,7TTN,0.2,,,,,,,,,,,,
CPTX,7TTX,0.2,,,,,,,,,,,,
CPUT,7TUT,0.2,,,,,,,,,,,,
