from,to,const,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,y11,y12,y13,y14,y15,y16,y17,y18,y19,y20,y21,y22,y23,y24,y25,y26,y27,y28,y29,y30,y31,y32,y33,y34,y35,y36,y37,y38,y39,y40
% Geographical variation in feedstock max. availability for cost-curve (k-ton/h),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPAL,7TAL,0.36897679,0.36897679,0.36897679,0.36897679,0.389433367,0.409889943,0.43034652,0.482417734,0.534488948,0.586560162,0.638631376,0.69070259,0.770475042,0.850247494,0.930019946,1.009792398,1.08956485,1.184080162,1.278595474,1.373110786,1.467626098,1.56214141,1.609399066,1.656656722,1.703914378,1.751172034,1.79842969,1.845687346,1.892945002,1.940202658,1.987460314,2.03471797,2.081975626,2.129233282,2.176490938,2.223748594,2.27100625,2.318263906,2.365521562,2.412779218,2.460036874
CPAZ,7TAZ,0.41736456,0.41736456,0.41736456,0.41736456,0.418614733,0.419864907,0.42111508,0.4169643,0.41281352,0.40866274,0.40451196,0.40036118,0.401427202,0.402493224,0.403559246,0.404625268,0.40569129,0.406846074,0.408000858,0.409155642,0.410310426,0.41146521,0.412042602,0.412619994,0.413197386,0.413774778,0.41435217,0.414929562,0.415506954,0.416084346,0.416661738,0.41723913,0.417816522,0.418393914,0.418971306,0.419548698,0.42012609,0.420703482,0.421280874,0.421858266,0.422435658
CPAR,7TAR,1.95990317,1.95990317,1.95990317,1.95990317,2.00551669,2.05113021,2.09674373,2.208655888,2.320568046,2.432480204,2.544392362,2.65630452,2.764653372,2.873002224,2.981351076,3.089699928,3.19804878,3.317108624,3.436168468,3.555228312,3.674288156,3.793348,3.852877922,3.912407844,3.971937766,4.031467688,4.09099761,4.150527532,4.210057454,4.269587376,4.329117298,4.38864722,4.448177142,4.507707064,4.567236986,4.626766908,4.68629683,4.745826752,4.805356674,4.864886596,4.924416518
CPCA,7TCA,1.10316208,1.10316208,1.10316208,1.10316208,1.110202837,1.117243593,1.12428435,1.121121016,1.117957682,1.114794348,1.111631014,1.10846768,1.113814012,1.119160344,1.124506676,1.129853008,1.13519934,1.140774746,1.146350152,1.151925558,1.157500964,1.16307637,1.165864073,1.168651776,1.171439479,1.174227182,1.177014885,1.179802588,1.182590291,1.185377994,1.188165697,1.1909534,1.193741103,1.196528806,1.199316509,1.202104212,1.204891915,1.207679618,1.210467321,1.213255024,1.216042727
CPCO,7TCO,1.55196074,1.55196074,1.55196074,1.55196074,1.55363289,1.55530504,1.55697719,1.564071664,1.571166138,1.578260612,1.585355086,1.59244956,1.582050382,1.571651204,1.561252026,1.550852848,1.54045367,1.551300656,1.562147642,1.572994628,1.583841614,1.5946886,1.600112093,1.605535586,1.610959079,1.616382572,1.621806065,1.627229558,1.632653051,1.638076544,1.643500037,1.64892353,1.654347023,1.659770516,1.665194009,1.670617502,1.676040995,1.681464488,1.686887981,1.692311474,1.697734967
CPCT,7TCT,0.02454861,0.02454861,0.02454861,0.02454861,0.02466435,0.02478009,0.02489583,0.025374998,0.025854166,0.026333334,0.026812502,0.02729167,0.028784724,0.030277778,0.031770832,0.033263886,0.03475694,0.035289348,0.035821756,0.036354164,0.036886572,0.03741898,0.037685184,0.037951388,0.038217592,0.038483796,0.03875,0.039016204,0.039282408,0.039548612,0.039814816,0.04008102,0.040347224,0.040613428,0.040879632,0.041145836,0.04141204,0.041678244,0.041944448,0.042210652,0.042476856
CPDE,7TDE,0.13518594,0.13518594,0.13518594,0.13518594,0.14165406,0.14812218,0.1545903,0.164918534,0.175246768,0.185575002,0.195903236,0.20623147,0.206797292,0.207363114,0.207928936,0.208494758,0.20906058,0.211238492,0.213416404,0.215594316,0.217772228,0.21995014,0.221039096,0.222128052,0.223217008,0.224305964,0.22539492,0.226483876,0.227572832,0.228661788,0.229750744,0.2308397,0.231928656,0.233017612,0.234106568,0.235195524,0.23628448,0.237373436,0.238462392,0.239551348,0.240640304
CPFL,7TFL,0.10602034,0.10602034,0.10602034,0.10602034,0.1188459,0.13167146,0.14449702,0.153376568,0.162256116,0.171135664,0.180015212,0.18889476,0.276283742,0.363672724,0.451061706,0.538450688,0.62583967,0.676834958,0.727830246,0.778825534,0.829820822,0.88081611,0.906313754,0.931811398,0.957309042,0.982806686,1.00830433,1.033801974,1.059299618,1.084797262,1.110294906,1.13579255,1.161290194,1.186787838,1.212285482,1.237783126,1.26328077,1.288778414,1.314276058,1.339773702,1.365271346
CPGA,7TGA,0.47125081,0.47125081,0.47125081,0.47125081,0.488028277,0.504805743,0.52158321,0.551322002,0.581060794,0.610799586,0.640538378,0.67027717,0.717699646,0.765122122,0.812544598,0.859967074,0.90738955,0.994289808,1.081190066,1.168090324,1.254990582,1.34189084,1.385340969,1.428791098,1.472241227,1.515691356,1.559141485,1.602591614,1.646041743,1.689491872,1.732942001,1.77639213,1.819842259,1.863292388,1.906742517,1.950192646,1.993642775,2.037092904,2.080543033,2.123993162,2.167443291
