from,to,const,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12
% Biomass feedstock production - cost curve segment (M$/k-dry-ton),,,,,,,,,,,,,,
CPAL,7TAL,0.14,%/ Geographical variation in feedstock op. cost (M$/k-dry-ton) -(bid segments),,,,,,,,,,,
CPAZ,7TAZ,0.14,,,,,,,,,,,,
CPAR,7TAR,0.14,,,,,,,,,,,,
CPCA,7TCA,0.14,,,,,,,,,,,,
CPCO,7TCO,0.14,,,,,,,,,,,,
CPCT,7TCT,0.14,,,,,,,,,,,,
CPDE,7TDE,0.14,,,,,,,,,,,,
CPFL,7TFL,0.14,,,,,,,,,,,,
CPGA,7TGA,0.14,,,,,,,,,,,,
CPID,7TID,0.14,,,,,,,,,,,,
CPIL,7TIL,0.14,,,,,,,,,,,,
CPIN,7TIN,0.14,,,,,,,,,,,,
CPIA,7TIA,0.14,,,,,,,,,,,,
CPKS,7TKS,0.14,,,,,,,,,,,,
CPKY,7TKY,0.14,,,,,,,,,,,,
CPLA,7TLA,0.14,,,,,,,,,,,,
CPME,7TME,0.14,,,,,,,,,,,,
CPMD,7TMD,0.14,,,,,,,,,,,,
CPMA,7TMA,0.14,,,,,,,,,,,,
CPMI,7TMI,0.14,,,,,,,,,,,,
CPMN,7TMN,0.14,,,,,,,,,,,,
CPMS,7TMS,0.14,,,,,,,,,,,,
CPMO,7TMO,0.14,,,,,,,,,,,,
CPMT,7TMT,0.14,,,,,,,,,,,,
CPNE,7TNE,0.14,,,,,,,,,,,,
CPNV,7TNV,0.14,,,,,,,,,,,,
CPNH,7TNH,0.14,,,,,,,,,,,,
CPNJ,7TNJ,0.14,,,,,,,,,,,,
CPNM,7TNM,0.14,,,,,,,,,,,,
CPNY,7TNY,0.14,,,,,,,,,,,,
CPNC,7TNC,0.14,,,,,,,,,,,,
CPND,7TND,0.14,,,,,,,,,,,,
CPOH,7TOH,0.14,,,,,,,,,,,,
CPOK,7TOK,0.14,,,,,,,,,,,,
CPOR,7TOR,0.14,,,,,,,,,,,,
CPPA,7TPA,0.14,,,,,,,,,,,,
CPRI,7TRI,0.14,,,,,,,,,,,,
CPSC,7TSC,0.14,,,,,,,,,,,,
CPSD,7TSD,0.14,,,,,,,,,,,,
CPTN,7TTN,0.14,,,,,,,,,,,,
CPTX,7TTX,0.14,,,,,,,,,,,,
CPUT,7TUT,0.14,,,,,,,,,,,,
CPVT,7TVT,0.14,,,,,,,,,,,,
CPVA,7TVA,0.14,,,,,,,,,,,,
CPWA,7TWA,0.14,,,,,,,,,,,,
CPWV,7TWV,0.14,,,,,,,,,,,,
CPWI,7TWI,0.14,,,,,,,,,,,,
CPWY,7TWY,0.14,,,,,,,,,,,,
CPAL,8TAL,0.14,,,,,,,,,,,,
CPAZ,8TAZ,0.14,,,,,,,,,,,,
CPAR,8TAR,0.14,,,,,,,,,,,,
CPCA,8TCA,0.14,,,,,,,,,,,,
CPCO,8TCO,0.14,,,,,,,,,,,,
CPCT,8TCT,0.14,,,,,,,,,,,,
CPDE,8TDE,0.14,,,,,,,,,,,,
CPFL,8TFL,0.14,,,,,,,,,,,,
CPGA,8TGA,0.14,,,,,,,,,,,,
CPID,8TID,0.14,,,,,,,,,,,,
CPIL,8TIL,0.14,,,,,,,,,,,,
CPIN,8TIN,0.14,,,,,,,,,,,,
CPIA,8TIA,0.14,,,,,,,,,,,,
CPKS,8TKS,0.14,,,,,,,,,,,,
CPKY,8TKY,0.14,,,,,,,,,,,,
CPLA,8TLA,0.14,,,,,,,,,,,,
CPME,8TME,0.14,,,,,,,,,,,,
CPMD,8TMD,0.14,,,,,,,,,,,,
CPMA,8TMA,0.14,,,,,,,,,,,,
CPMI,8TMI,0.14,,,,,,,,,,,,
