from,to,
% Coal production to transportation node,,
CPAL,2TAL,
CPAZ,4TAZ,
CPAR,3TAR,
CPCO,4TCO,
CPIL,3TIL,
CPIN,3TIN,
CPKS,3TKS,
CPKY,2TKY,
CPLA,1TLA,
CPMD,2TMD,
CPMS,1TMS,
CPMO,3TMO,
CPMT,4TMT,
CPNM,4TNM,
CPND,1TND,
CPOH,2TOH,
CPOK,3TOK,
CPPA,2TPA,
CPTN,2TTN,
CPTX,1TTX,
CPUT,4TUT,
CPVA,2TVA,
CPWV,2TWV,
CPWY,4TWY,
% Natural gas pipelines,,
NTAB,NTMT,
NTAL,NTFL,
NTAL,NTGA,
NTAL,NTMS,
NTAL,NTTN,
NTAR,NTLA,
NTAR,NTMO,
NTAR,NTMS,
NTAR,NTOK,
NTAR,NTTN,
NTAR,NTTX,
NTAZ,NTCA,
NTAZ,NTNM,
NTAZ,NTNV,
NTBC,NTID,
NTBC,NTWA,
NTCA,NTNV,
NTCA,NTOR,
NTCO,NTKS,
NTCO,NTNE,
NTCO,NTNM,
NTCO,NTOK,
NTCO,NTUT,
NTCO,NTWY,
NTCT,NTMA,
NTCT,NTNY,
NTCT,NTRI,
NTDE,NTMD,
NTDE,NTNJ,
NTDE,NTPA,
NTFL,NTGA,
NTGA,NTSC,
NTGA,NTTN,
NTIA,NTIL,
NTIA,NTMN,
NTIA,NTMO,
NTIA,NTNE,
NTIA,NTSD,
NTID,NTNV,
NTID,NTOR,
NTID,NTUT,
NTID,NTWA,
NTIL,NTIN,
NTIL,NTKY,
NTIL,NTMO,
NTIL,NTWI,
NTIN,NTKY,
NTIN,NTMI,
NTIN,NTOH,
NTKS,NTMO,
NTKS,NTNE,
NTKS,NTOK,
NTKY,NTOH,
NTKY,NTTN,
NTKY,NTVA,
NTKY,NTWV,
NTLA,NTMS,
NTLA,NTTX,
NTMA,NTNH,
NTMA,NTNY,
NTMA,NTRI,
NTMB,NTMN,
NTMD,NTPA,
NTMD,NTVA,
NTMD,NTWV,
NTME,NTNB,
NTME,NTNH,
NTMI,NTOH,
NTMI,NTON,
NTMI,NTWI,
NTMN,NTND,
NTMN,NTON,
NTMN,NTSD,
NTMN,NTWI,
NTMO,NTNE,
NTMO,NTOK,
NTMS,NTTN,
NTMT,NTND,
NTMT,NTSK,
NTMT,NTWY,
NTNC,NTSC,
NTNC,NTVA,
NTND,NTSD,
NTND,NTSK,
NTNE,NTSD,
NTNE,NTWY,
NTNH,NTQU,
NTNJ,NTNY,
NTNJ,NTPA,
NTNM,NTTX,
NTNV,NTUT,
NTNY,NTON,
NTNY,NTPA,
NTOH,NTPA,
NTOH,NTWV,
NTOK,NTTX,
NTOR,NTWA,
NTPA,NTWV,
NTQU,NTVT,
NTSD,NTWY,
NTTN,NTVA,
NTUT,NTWY,
NTVA,NTWV,
% Exports to Mexico,,
NTAZ,NDMX,
NTCA,NDMX,
NTTX,NDMX,
% Canadian points of entry,,
XNCA,NTBC,
