from,to,const,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,y11,y12,y13,y14,y15,y16,y17,y18,y19,y20,y21,y22,y23,y24,y25,y26,y27,y28,y29,y30,y31,y32,y33,y34,y35,y36,y37,y38,y39,y40
NTDE,NTPA,15.83333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTFL,NTGA,17.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTGA,NTSC,188.7083333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTGA,NTTN,15.91666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTIA,NTIL,247.625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTIA,NTMN,171.875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTIA,NTMO,28.33333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTIA,NTNE,137.5833333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTIA,NTSD,3.916666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTID,NTNV,6.583333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTID,NTOR,20.04166667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTID,NTUT,25.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTID,NTWA,121.4583333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTIL,NTIN,314.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTIL,NTKY,64.33333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTIL,NTMO,170.2916667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTIL,NTWI,116.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTIN,NTKY,148.3333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTIN,NTMI,146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTIN,NTOH,220.625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTKS,NTMO,193.0833333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTKS,NTNE,179.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTKS,NTOK,233.625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTKY,NTOH,173.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTKY,NTTN,524.8333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTKY,NTVA,2.083333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTKY,NTWV,118.4583333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTLA,NTMS,756.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTLA,NTTX,432.875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
