from,to,const,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,y11,y12,y13,y14,y15,y16,y17,y18,y19,y20,y21,y22,y23,y24,y25,y26,y27,y28,y29,y30,y31,y32,y33,y34,y35,y36,y37,y38,y39,y40
% Geographical variation in feedstock max. availability for cost-curve (k-ton/h),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPAL,7TAL,0.3678749,0.3678749,0.3678749,0.3678749,0.374932583,0.381990267,0.38904795,0.395430464,0.401812978,0.408195492,0.414578006,0.42096052,0.43655329,0.45214606,0.46773883,0.4833316,0.49892437,0.538080594,0.577236818,0.616393042,0.655549266,0.69470549,0.714283602,0.733861714,0.753439826,0.773017938,0.79259605,0.812174162,0.831752274,0.851330386,0.870908498,0.89048661,0.910064722,0.929642834,0.949220946,0.968799058,0.98837717,1.007955282,1.027533394,1.047111506,1.066689618
CPAZ,7TAZ,0.41736456,0.41736456,0.41736456,0.41736456,0.41861434,0.41986412,0.4211139,0.417140916,0.413167932,0.409194948,0.405221964,0.40124898,0.402330444,0.403411908,0.404493372,0.405574836,0.4066563,0.40777793,0.40889956,0.41002119,0.41114282,0.41226445,0.412825265,0.41338608,0.413946895,0.41450771,0.415068525,0.41562934,0.416190155,0.41675097,0.417311785,0.4178726,0.418433415,0.41899423,0.419555045,0.42011586,0.420676675,0.42123749,0.421798305,0.42235912,0.422919935
CPAR,7TAR,1.95386308,1.95386308,1.95386308,1.95386308,1.971338117,1.988813153,2.00628819,2.02779029,2.04929239,2.07079449,2.09229659,2.11379869,2.165914882,2.218031074,2.270147266,2.322263458,2.37437965,2.578107984,2.781836318,2.985564652,3.189292986,3.39302132,3.494885487,3.596749654,3.698613821,3.800477988,3.902342155,4.004206322,4.106070489,4.207934656,4.309798823,4.41166299,4.513527157,4.615391324,4.717255491,4.819119658,4.920983825,5.022847992,5.124712159,5.226576326,5.328440493
CPCA,7TCA,1.10300141,1.10300141,1.10300141,1.10300141,1.109607633,1.116213857,1.12282008,1.119877058,1.116934036,1.113991014,1.111047992,1.10810497,1.113135646,1.118166322,1.123196998,1.128227674,1.13325835,1.138898514,1.144538678,1.150178842,1.155819006,1.16145917,1.164279252,1.167099334,1.169919416,1.172739498,1.17555958,1.178379662,1.181199744,1.184019826,1.186839908,1.18965999,1.192480072,1.195300154,1.198120236,1.200940318,1.2037604,1.206580482,1.209400564,1.212220646,1.215040728
CPCO,7TCO,1.52609632,1.52609632,1.52609632,1.52609632,1.544234853,1.562373387,1.58051192,1.578805896,1.577099872,1.575393848,1.573687824,1.5719818,1.569370672,1.566759544,1.564148416,1.561537288,1.55892616,1.54294442,1.52696268,1.51098094,1.4949992,1.47901746,1.47102659,1.46303572,1.45504485,1.44705398,1.43906311,1.43107224,1.42308137,1.4150905,1.40709963,1.39910876,1.39111789,1.38312702,1.37513615,1.36714528,1.35915441,1.35116354,1.34317267,1.3351818,1.32719093
CPCT,7TCT,0.02454861,0.02454861,0.02454861,0.02454861,0.024656637,0.024764663,0.02487269,0.024543986,0.024215282,0.023886578,0.023557874,0.02322917,0.023618058,0.024006946,0.024395834,0.024784722,0.02517361,0.027277776,0.029381942,0.031486108,0.033590274,0.03569444,0.036746523,0.037798606,0.038850689,0.039902772,0.040954855,0.042006938,0.043059021,0.044111104,0.045163187,0.04621527,0.047267353,0.048319436,0.049371519,0.050423602,0.051475685,0.052527768,0.053579851,0.054631934,0.055684017
CPDE,7TDE,0.12847612,0.12847612,0.12847612,0.12847612,0.13348288,0.13848964,0.1434964,0.15238463,0.16127286,0.17016109,0.17904932,0.18793755,0.188127266,0.188316982,0.188506698,0.188696414,0.18888613,0.198271508,0.207656886,0.217042264,0.226427642,0.23581302,0.240505709,0.245198398,0.249891087,0.254583776,0.259276465,0.263969154,0.268661843,0.273354532,0.278047221,0.28273991,0.287432599,0.292125288,0.296817977,0.301510666,0.306203355,0.310896044,0.315588733,0.320281422,0.324974111
CPFL,7TFL,0.10578514,0.10578514,0.10578514,0.10578514,0.10619274,0.10660034,0.10700794,0.104839892,0.102671844,0.100503796,0.098335748,0.0961677,0.14541262,0.19465754,0.24390246,0.29314738,0.3423923,0.397104796,0.451817292,0.506529788,0.561242284,0.61595478,0.643311028,0.670667276,0.698023524,0.725379772,0.75273602,0.780092268,0.807448516,0.834804764,0.862161012,0.88951726,0.916873508,0.944229756,0.971586004,0.998942252,1.0262985,1.053654748,1.081010996,1.108367244,1.135723492
CPGA,7TGA,0.45999993,0.45999993,0.45999993,0.45999993,0.46731988,0.47463983,0.48195978,0.483984628,0.486009476,0.488034324,0.490059172,0.49208402,0.526550174,0.561016328,0.595482482,0.629948636,0.66441479,0.705881912,0.747349034,0.788816156,0.830283278,0.8717504,0.892483961,0.913217522,0.933951083,0.954684644,0.975418205,0.996151766,1.016885327,1.037618888,1.058352449,1.07908601,1.099819571,1.120553132,1.141286693,1.162020254,1.182753815,1.203487376,1.224220937,1.244954498,1.265688059
