from,to,const,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12
CPIA,9TIA,0.18,,,,,,,,,,,,
CPKS,9TKS,0.18,,,,,,,,,,,,
CPKY,9TKY,0.18,,,,,,,,,,,,
CPLA,9TLA,0.18,,,,,,,,,,,,
CPME,9TME,0.18,,,,,,,,,,,,
CPMD,9TMD,0.18,,,,,,,,,,,,
CPMA,9TMA,0.18,,,,,,,,,,,,
CPMI,9TMI,0.18,,,,,,,,,,,,
CPMN,9TMN,0.18,,,,,,,,,,,,
CPMS,9TMS,0.18,,,,,,,,,,,,
CPMO,9TMO,0.18,,,,,,,,,,,,
CPMT,9TMT,0.18,,,,,,,,,,,,
CPNE,9TNE,0.18,,,,,,,,,,,,
CPNV,9TNV,0.18,,,,,,,,,,,,
CPNH,9TNH,0.18,,,,,,,,,,,,
CPNJ,9TNJ,0.18,,,,,,,,,,,,
CPNM,9TNM,0.18,,,,,,,,,,,,
CPNY,9TNY,0.18,,,,,,,,,,,,
CPNC,9TNC,0.18,,,,,,,,,,,,
CPND,9TND,0.18,,,,,,,,,,,,
CPOH,9TOH,0.18,,,,,,,,,,,,
CPOK,9TOK,0.18,,,,,,,,,,,,
CPOR,9TOR,0.18,,,,,,,,,,,,
CPPA,9TPA,0.18,,,,,,,,,,,,
CPRI,9TRI,0.18,,,,,,,,,,,,
CPSC,9TSC,0.18,,,,,,,,,,,,
CPSD,9TSD,0.18,,,,,,,,,,,,
CPTN,9TTN,0.18,,,,,,,,,,,,
CPTX,9TTX,0.18,,,,,,,,,,,,
CPUT,9TUT,0.18,,,,,,,,,,,,
CPVT,9TVT,0.18,,,,,,,,,,,,
CPVA,9TVA,0.18,,,,,,,,,,,,
CPWA,9TWA,0.18,,,,,,,,,,,,
CPWV,9TWV,0.18,,,,,,,,,,,,
CPWI,9TWI,0.18,,,,,,,,,,,,
CPWY,9TWY,0.18,,,,,,,,,,,,
