from,to,const,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12
% Biomass feedstock production - cost curve segment (M$/k-dry-ton),,,,,,,,,,,,,,
CPAL,7TAL,0.18,%/ Geographical variation in feedstock op. cost (M$/k-dry-ton) -(bid segments),,,,,,,,,,,
CPAZ,7TAZ,0.18,,,,,,,,,,,,
CPAR,7TAR,0.18,,,,,,,,,,,,
CPCA,7TCA,0.18,,,,,,,,,,,,
CPCO,7TCO,0.18,,,,,,,,,,,,
CPCT,7TCT,0.18,,,,,,,,,,,,
CPDE,7TDE,0.18,,,,,,,,,,,,
CPFL,7TFL,0.18,,,,,,,,,,,,
CPGA,7TGA,0.18,,,,,,,,,,,,
CPID,7TID,0.18,,,,,,,,,,,,
CPIL,7TIL,0.18,,,,,,,,,,,,
CPIN,7TIN,0.18,,,,,,,,,,,,
CPIA,7TIA,0.18,,,,,,,,,,,,
CPKS,7TKS,0.18,,,,,,,,,,,,
CPKY,7TKY,0.18,,,,,,,,,,,,
CPLA,7TLA,0.18,,,,,,,,,,,,
CPME,7TME,0.18,,,,,,,,,,,,
CPMD,7TMD,0.18,,,,,,,,,,,,
CPMA,7TMA,0.18,,,,,,,,,,,,
CPMI,7TMI,0.18,,,,,,,,,,,,
CPMN,7TMN,0.18,,,,,,,,,,,,
CPMS,7TMS,0.18,,,,,,,,,,,,
CPMO,7TMO,0.18,,,,,,,,,,,,
CPMT,7TMT,0.18,,,,,,,,,,,,
CPNE,7TNE,0.18,,,,,,,,,,,,
CPNV,7TNV,0.18,,,,,,,,,,,,
CPNH,7TNH,0.18,,,,,,,,,,,,
CPNJ,7TNJ,0.18,,,,,,,,,,,,
CPNM,7TNM,0.18,,,,,,,,,,,,
CPNY,7TNY,0.18,,,,,,,,,,,,
CPNC,7TNC,0.18,,,,,,,,,,,,
CPND,7TND,0.18,,,,,,,,,,,,
CPOH,7TOH,0.18,,,,,,,,,,,,
CPOK,7TOK,0.18,,,,,,,,,,,,
CPOR,7TOR,0.18,,,,,,,,,,,,
CPPA,7TPA,0.18,,,,,,,,,,,,
CPRI,7TRI,0.18,,,,,,,,,,,,
CPSC,7TSC,0.18,,,,,,,,,,,,
CPSD,7TSD,0.18,,,,,,,,,,,,
CPTN,7TTN,0.18,,,,,,,,,,,,
CPTX,7TTX,0.18,,,,,,,,,,,,
CPUT,7TUT,0.18,,,,,,,,,,,,
CPVT,7TVT,0.18,,,,,,,,,,,,
CPVA,7TVA,0.18,,,,,,,,,,,,
CPWA,7TWA,0.18,,,,,,,,,,,,
CPWV,7TWV,0.18,,,,,,,,,,,,
CPWI,7TWI,0.18,,,,,,,,,,,,
CPWY,7TWY,0.18,,,,,,,,,,,,
CPAL,8TAL,0.18,,,,,,,,,,,,
CPAZ,8TAZ,0.18,,,,,,,,,,,,
CPAR,8TAR,0.18,,,,,,,,,,,,
CPCA,8TCA,0.18,,,,,,,,,,,,
CPCO,8TCO,0.18,,,,,,,,,,,,
CPCT,8TCT,0.18,,,,,,,,,,,,
CPDE,8TDE,0.18,,,,,,,,,,,,
CPFL,8TFL,0.18,,,,,,,,,,,,
CPGA,8TGA,0.18,,,,,,,,,,,,
CPID,8TID,0.18,,,,,,,,,,,,
CPIL,8TIL,0.18,,,,,,,,,,,,
CPIN,8TIN,0.18,,,,,,,,,,,,
CPIA,8TIA,0.18,,,,,,,,,,,,
CPKS,8TKS,0.18,,,,,,,,,,,,
CPKY,8TKY,0.18,,,,,,,,,,,,
CPLA,8TLA,0.18,,,,,,,,,,,,
CPME,8TME,0.18,,,,,,,,,,,,
CPMD,8TMD,0.18,,,,,,,,,,,,
CPMA,8TMA,0.18,,,,,,,,,,,,
CPMI,8TMI,0.18,,,,,,,,,,,,
CPMN,8TMN,0.18,,,,,,,,,,,,
CPMS,8TMS,0.18,,,,,,,,,,,,
CPMO,8TMO,0.18,,,,,,,,,,,,
CPMT,8TMT,0.18,,,,,,,,,,,,
CPNE,8TNE,0.18,,,,,,,,,,,,
CPNV,8TNV,0.18,,,,,,,,,,,,
CPNH,8TNH,0.18,,,,,,,,,,,,
CPNJ,8TNJ,0.18,,,,,,,,,,,,
CPNM,8TNM,0.18,,,,,,,,,,,,
CPNY,8TNY,0.18,,,,,,,,,,,,
CPNC,8TNC,0.18,,,,,,,,,,,,
CPND,8TND,0.18,,,,,,,,,,,,
CPOH,8TOH,0.18,,,,,,,,,,,,
CPOK,8TOK,0.18,,,,,,,,,,,,
CPOR,8TOR,0.18,,,,,,,,,,,,
CPPA,8TPA,0.18,,,,,,,,,,,,
CPRI,8TRI,0.18,,,,,,,,,,,,
CPSC,8TSC,0.18,,,,,,,,,,,,
CPSD,8TSD,0.18,,,,,,,,,,,,
CPTN,8TTN,0.18,,,,,,,,,,,,
CPTX,8TTX,0.18,,,,,,,,,,,,
CPUT,8TUT,0.18,,,,,,,,,,,,
CPVT,8TVT,0.18,,,,,,,,,,,,
CPVA,8TVA,0.18,,,,,,,,,,,,
CPWA,8TWA,0.18,,,,,,,,,,,,
CPWV,8TWV,0.18,,,,,,,,,,,,
CPWI,8TWI,0.18,,,,,,,,,,,,
CPWY,8TWY,0.18,,,,,,,,,,,,
CPAL,9TAL,0.18,,,,,,,,,,,,
CPAZ,9TAZ,0.18,,,,,,,,,,,,
CPAR,9TAR,0.18,,,,,,,,,,,,
CPCA,9TCA,0.18,,,,,,,,,,,,
CPCO,9TCO,0.18,,,,,,,,,,,,
CPCT,9TCT,0.18,,,,,,,,,,,,
CPDE,9TDE,0.18,,,,,,,,,,,,
CPFL,9TFL,0.18,,,,,,,,,,,,
CPGA,9TGA,0.18,,,,,,,,,,,,
CPID,9TID,0.18,,,,,,,,,,,,
CPIL,9TIL,0.18,,,,,,,,,,,,
CPIN,9TIN,0.18,,,,,,,,,,,,
