from,to,const,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,y11,y12,y13,y14,y15,y16,y17,y18,y19,y20,y21,y22,y23,y24,y25,y26,y27,y28,y29,y30,y31,y32,y33,y34,y35,y36,y37,y38,y39,y40
% Geographical variation in feedstock max. availability for cost-curve (k-ton/h),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPAL,7TAL,0.37107399,0.37107399,0.37107399,0.37107399,0.384596107,0.398118223,0.41164034,0.482090584,0.552540828,0.622991072,0.693441316,0.76389156,0.896728222,1.029564884,1.162401546,1.295238208,1.42807487,1.52822261,1.62837035,1.72851809,1.82866583,1.92881357,1.97888744,2.02896131,2.07903518,2.12910905,2.17918292,2.22925679,2.27933066,2.32940453,2.3794784,2.42955227,2.47962614,2.52970001,2.57977388,2.62984775,2.67992162,2.72999549,2.78006936,2.83014323,2.8802171
CPAZ,7TAZ,0.41439105,0.41439105,0.41439105,0.41439105,0.415651123,0.416911197,0.41817127,0.415554456,0.412937642,0.410320828,0.407704014,0.4050872,0.405582094,0.406076988,0.406571882,0.407066776,0.40756167,0.408263536,0.408965402,0.409667268,0.410369134,0.411071,0.411421933,0.411772866,0.412123799,0.412474732,0.412825665,0.413176598,0.413527531,0.413878464,0.414229397,0.41458033,0.414931263,0.415282196,0.415633129,0.415984062,0.416334995,0.416685928,0.417036861,0.417387794,0.417738727
CPAR,7TAR,2.09596292,2.09596292,2.09596292,2.09596292,2.159957073,2.223951227,2.28794538,2.443195894,2.598446408,2.753696922,2.908947436,3.06419795,3.237554884,3.410911818,3.584268752,3.757625686,3.93098262,4.095758682,4.260534744,4.425310806,4.590086868,4.75486293,4.837250961,4.919638992,5.002027023,5.084415054,5.166803085,5.249191116,5.331579147,5.413967178,5.496355209,5.57874324,5.661131271,5.743519302,5.825907333,5.908295364,5.990683395,6.073071426,6.155459457,6.237847488,6.320235519
CPCA,7TCA,1.10937268,1.10937268,1.10937268,1.10937268,1.11969077,1.13000886,1.14032695,1.1411059,1.14188485,1.1426638,1.14344275,1.1442217,1.1488849,1.1535481,1.1582113,1.1628745,1.1675377,1.1723815,1.1772253,1.1820691,1.1869129,1.1917567,1.1941786,1.1966005,1.1990224,1.2014443,1.2038662,1.2062881,1.20871,1.2111319,1.2135538,1.2159757,1.2183976,1.2208195,1.2232414,1.2256633,1.2280852,1.2305071,1.232929,1.2353509,1.2377728
CPCO,7TCO,1.70746233,1.70746233,1.70746233,1.70746233,1.729523473,1.751584617,1.77364576,1.79354694,1.81344812,1.8333493,1.85325048,1.87315166,1.898443054,1.923734448,1.949025842,1.974317236,1.99960863,2.035942706,2.072276782,2.108610858,2.144944934,2.18127901,2.199446048,2.217613086,2.235780124,2.253947162,2.2721142,2.290281238,2.308448276,2.326615314,2.344782352,2.36294939,2.381116428,2.399283466,2.417450504,2.435617542,2.45378458,2.471951618,2.490118656,2.508285694,2.526452732
CPCT,7TCT,0.0303125,0.0303125,0.0303125,0.0303125,0.03101466,0.03171682,0.03241898,0.033016202,0.033613424,0.034210646,0.034807868,0.03540509,0.037555554,0.039706018,0.041856482,0.044006946,0.04615741,0.047173614,0.048189818,0.049206022,0.050222226,0.05123843,0.051746532,0.052254634,0.052762736,0.053270838,0.05377894,0.054287042,0.054795144,0.055303246,0.055811348,0.05631945,0.056827552,0.057335654,0.057843756,0.058351858,0.05885996,0.059368062,0.059876164,0.060384266,0.060892368
CPDE,7TDE,0.14753925,0.14753925,0.14753925,0.14753925,0.158767267,0.169995283,0.1812233,0.197105848,0.212988396,0.228870944,0.244753492,0.26063604,0.26551146,0.27038688,0.2752623,0.28013772,0.28501314,0.294812206,0.304611272,0.314410338,0.324209404,0.33400847,0.338908003,0.343807536,0.348707069,0.353606602,0.358506135,0.363405668,0.368305201,0.373204734,0.378104267,0.3830038,0.387903333,0.392802866,0.397702399,0.402601932,0.407501465,0.412400998,0.417300531,0.422200064,0.427099597
CPFL,7TFL,0.10956676,0.10956676,0.10956676,0.10956676,0.115711663,0.121856567,0.12800147,0.136570128,0.145138786,0.153707444,0.162276102,0.17084476,0.320936414,0.471028068,0.621119722,0.771211376,0.92130303,0.999585006,1.077866982,1.156148958,1.234430934,1.31271291,1.351853898,1.390994886,1.430135874,1.469276862,1.50841785,1.547558838,1.586699826,1.625840814,1.664981802,1.70412279,1.743263778,1.782404766,1.821545754,1.860686742,1.89982773,1.938968718,1.978109706,2.017250694,2.056391682
CPGA,7TGA,0.50225534,0.50225534,0.50225534,0.50225534,0.519337283,0.536419227,0.55350117,0.591715332,0.629929494,0.668143656,0.706357818,0.74457198,0.836705034,0.928838088,1.020971142,1.113104196,1.20523725,1.342574466,1.479911682,1.617248898,1.754586114,1.89192333,1.960591938,2.029260546,2.097929154,2.166597762,2.23526637,2.303934978,2.372603586,2.441272194,2.509940802,2.57860941,2.647278018,2.715946626,2.784615234,2.853283842,2.92195245,2.990621058,3.059289666,3.127958274,3.196626882
