from,to,const,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,y11,y12,y13,y14,y15,y16,y17,y18,y19,y20,y21,y22,y23,y24,y25,y26,y27,y28,y29,y30,y31,y32,y33,y34,y35,y36,y37,y38,y39,y40
% Geographical variation in feedstock max. availability for cost-curve (k-ton/h),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPAL,7TAL,0.37007713,0.37007713,0.37007713,0.37007713,0.374201903,0.378326677,0.38245145,0.399501124,0.416550798,0.433600472,0.450650146,0.46769982,0.480792858,0.493885896,0.506978934,0.520071972,0.53316501,0.565773834,0.598382658,0.630991482,0.663600306,0.69620913,0.712513542,0.728817954,0.745122366,0.761426778,0.77773119,0.794035602,0.810340014,0.826644426,0.842948838,0.85925325,0.875557662,0.891862074,0.908166486,0.924470898,0.94077531,0.957079722,0.973384134,0.989688546,1.005992958
CPAZ,7TAZ,0.414378,0.414378,0.414378,0.414378,0.415885897,0.417393793,0.41890169,0.416473704,0.414045718,0.411617732,0.409189746,0.40676176,0.40705929,0.40735682,0.40765435,0.40795188,0.40824941,0.408885134,0.409520858,0.410156582,0.410792306,0.41142803,0.411745892,0.412063754,0.412381616,0.412699478,0.41301734,0.413335202,0.413653064,0.413970926,0.414288788,0.41460665,0.414924512,0.415242374,0.415560236,0.415878098,0.41619596,0.416513822,0.416831684,0.417149546,0.417467408
CPAR,7TAR,2.074561,2.074561,2.074561,2.074561,2.111836113,2.149111227,2.18638634,2.217449874,2.248513408,2.279576942,2.310640476,2.34170401,2.416291566,2.490879122,2.565466678,2.640054234,2.71464179,2.823146604,2.931651418,3.040156232,3.148661046,3.25716586,3.311418267,3.365670674,3.419923081,3.474175488,3.528427895,3.582680302,3.636932709,3.691185116,3.745437523,3.79968993,3.853942337,3.908194744,3.962447151,4.016699558,4.070951965,4.125204372,4.179456779,4.233709186,4.287961593
CPCA,7TCA,1.09914371,1.09914371,1.09914371,1.09914371,1.111087017,1.123030323,1.13497363,1.134992892,1.135012154,1.135031416,1.135050678,1.13506994,1.140412854,1.145755768,1.151098682,1.156441596,1.16178451,1.16698769,1.17219087,1.17739405,1.18259723,1.18780041,1.190402,1.19300359,1.19560518,1.19820677,1.20080836,1.20340995,1.20601154,1.20861313,1.21121472,1.21381631,1.2164179,1.21901949,1.22162108,1.22422267,1.22682426,1.22942585,1.23202744,1.23462903,1.23723062
CPCO,7TCO,1.4311374,1.4311374,1.4311374,1.4311374,1.48746847,1.54379954,1.60013061,1.619377582,1.638624554,1.657871526,1.677118498,1.69636547,1.716215798,1.736066126,1.755916454,1.775766782,1.79561711,1.811292312,1.826967514,1.842642716,1.858317918,1.87399312,1.881830721,1.889668322,1.897505923,1.905343524,1.913181125,1.921018726,1.928856327,1.936693928,1.944531529,1.95236913,1.960206731,1.968044332,1.975881933,1.983719534,1.991557135,1.999394736,2.007232337,2.015069938,2.022907539
CPCT,7TCT,0.0303125,0.0303125,0.0303125,0.0303125,0.03101466,0.03171682,0.03241898,0.031988424,0.031557868,0.031127312,0.030696756,0.0302662,0.031594904,0.032923608,0.034252312,0.035581016,0.03690972,0.038608794,0.040307868,0.042006942,0.043706016,0.04540509,0.046254627,0.047104164,0.047953701,0.048803238,0.049652775,0.050502312,0.051351849,0.052201386,0.053050923,0.05390046,0.054749997,0.055599534,0.056449071,0.057298608,0.058148145,0.058997682,0.059847219,0.060696756,0.061546293
CPDE,7TDE,0.13912332,0.13912332,0.13912332,0.13912332,0.147589073,0.156054827,0.16452058,0.181507454,0.198494328,0.215481202,0.232468076,0.24945495,0.250389244,0.251323538,0.252257832,0.253192126,0.25412642,0.256538342,0.258950264,0.261362186,0.263774108,0.26618603,0.267391991,0.268597952,0.269803913,0.271009874,0.272215835,0.273421796,0.274627757,0.275833718,0.277039679,0.27824564,0.279451601,0.280657562,0.281863523,0.283069484,0.284275445,0.285481406,0.286687367,0.287893328,0.289099289
CPFL,7TFL,0.10949732,0.10949732,0.10949732,0.10949732,0.110179097,0.110860873,0.11154265,0.110464954,0.109387258,0.108309562,0.107231866,0.10615417,0.106677228,0.107200286,0.107723344,0.108246402,0.10876946,0.164964982,0.221160504,0.277356026,0.333551548,0.38974707,0.417844831,0.445942592,0.474040353,0.502138114,0.530235875,0.558333636,0.586431397,0.614529158,0.642626919,0.67072468,0.698822441,0.726920202,0.755017963,0.783115724,0.811213485,0.839311246,0.867409007,0.895506768,0.923604529
CPGA,7TGA,0.46039288,0.46039288,0.46039288,0.46039288,0.465678443,0.470964007,0.47624957,0.48284115,0.48943273,0.49602431,0.50261589,0.50920747,0.524015912,0.538824354,0.553632796,0.568441238,0.58324968,0.604410572,0.625571464,0.646732356,0.667893248,0.68905414,0.699634586,0.710215032,0.720795478,0.731375924,0.74195637,0.752536816,0.763117262,0.773697708,0.784278154,0.7948586,0.805439046,0.816019492,0.826599938,0.837180384,0.84776083,0.858341276,0.868921722,0.879502168,0.890082614
