from,to,const,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12
% Biomass feedstock production - cost curve segment (M$/k-dry-ton),,,,,,,,,,,,,,
CPMO,9TMO,0.12,,,,,,,,,,,,
CPMT,9TMT,0.12,,,,,,,,,,,,
CPNE,9TNE,0.12,,,,,,,,,,,,
CPNV,9TNV,0.12,,,,,,,,,,,,
CPNH,9TNH,0.12,,,,,,,,,,,,
CPNJ,9TNJ,0.12,,,,,,,,,,,,
CPNM,9TNM,0.12,,,,,,,,,,,,
CPNY,9TNY,0.12,,,,,,,,,,,,
CPNC,9TNC,0.12,,,,,,,,,,,,
CPND,9TND,0.12,,,,,,,,,,,,
CPOH,9TOH,0.12,,,,,,,,,,,,
CPOK,9TOK,0.12,,,,,,,,,,,,
CPOR,9TOR,0.12,,,,,,,,,,,,
CPPA,9TPA,0.12,,,,,,,,,,,,
CPRI,9TRI,0.12,,,,,,,,,,,,
CPSC,9TSC,0.12,,,,,,,,,,,,
CPSD,9TSD,0.12,,,,,,,,,,,,
CPTN,9TTN,0.12,,,,,,,,,,,,
CPTX,9TTX,0.12,,,,,,,,,,,,
CPUT,9TUT,0.12,,,,,,,,,,,,
CPVT,9TVT,0.12,,,,,,,,,,,,
CPVA,9TVA,0.12,,,,,,,,,,,,
CPWA,9TWA,0.12,,,,,,,,,,,,
CPWV,9TWV,0.12,,,,,,,,,,,,
CPWI,9TWI,0.12,,,,,,,,,,,,
CPWY,9TWY,0.12,,,,,,,,,,,,
