from,to,const
% Diesel train (MM gallon/ vehicle mile),,
ttWIIA,DD05,0.000008325
ttWIIA,DD04,0.000008325
ttMTID,DD11,0.00001665
ttORID,DD11,0.00001665
ttUTID,DD11,0.00001665
ttWAID,DD11,0.00001665
ttWYID,DD12,0.000008325
ttWYID,DD11,0.000008325
ttINIL,DD04,0.000008325
ttINIL,DD01,0.000008325
ttKYIL,DD04,0.000008325
ttKYIL,DD01,0.000008325
ttMOIL,DD10,0.000008325
ttMOIL,DD04,0.000008325
ttWIIL,DD04,0.00001665
ttKYIN,DD01,0.00001665
ttMIIN,DD01,0.00001665
ttOHIN,DD01,0.00001665
ttMOKS,DD10,0.00001665
ttNEKS,DD10,0.000008325
ttNEKS,DD05,0.000008325
ttOKKS,DD10,0.00001665
ttOHKY,DD01,0.00001665
ttTNKY,DD09,0.000008325
ttTNKY,DD01,0.000008325
ttWVKY,DD01,0.00001665
ttMSLA,DD10,0.000008325
ttMSLA,DD09,0.000008325
ttTXLA,DD10,0.000008325
ttTXLA,DD02,0.000008325
ttNHMA,DD07,0.00001665
ttNYMA,DD07,0.000008325
ttNYMA,DD06,0.000008325
ttVTMA,DD07,0.00001665
ttPAMD,DD03,0.000008325
ttPAMD,DD01,0.000008325
ttVAMD,DD09,0.000008325
ttVAMD,DD01,0.000008325
ttWVMD,DD01,0.000008325
ttNHME,DD07,0.00001665
ttOHMI,DD01,0.00001665
ttWIMI,DD04,0.000008325
ttWIMI,DD01,0.000008325
ttNDMN,DD05,0.00001665
ttSDMN,DD05,0.00001665
ttWIMN,DD05,0.000008325
ttWIMN,DD04,0.000008325
ttOKMO,DD10,0.00001665
ttTNMO,DD10,0.000008325
ttTNMO,DD09,0.000008325
ttTNMS,DD09,0.00001665
ttNDMT,DD11,0.000008325
ttNDMT,DD05,0.000008325
ttWYMT,DD12,0.000008325
ttWYMT,DD11,0.000008325
ttSCNC,DD09,0.00001665
ttTNNC,DD09,0.00001665
ttVANC,DD09,0.00001665
ttSDND,DD05,0.00001665
ttSDNE,DD05,0.000008325
ttWYNE,DD12,0.000008325
ttWYNE,DD05,0.000008325
ttVTNH,DD07,0.00001665
ttNYNJ,DD06,0.000008325
ttNYNJ,DD03,0.000008325
ttPANJ,DD03,0.00001665
ttTXNM,DD12,0.000008325
ttTXNM,DD02,0.000008325
ttORNV,DD11,0.00001665
ttUTNV,DD11,0.00001665
ttPANY,DD06,0.000008325
ttPANY,DD03,0.000008325
ttVTNY,DD07,0.000008325
ttVTNY,DD06,0.000008325
ttPAOH,DD03,0.000008325
ttPAOH,DD01,0.000008325
ttWVOH,DD01,0.00001665
ttTXOK,DD10,0.000008325
ttTXOK,DD02,0.000008325
ttWAOR,DD11,0.00001665
ttWVPA,DD03,0.000008325
ttWVPA,DD01,0.000008325
ttWYSD,DD12,0.000008325
ttWYSD,DD05,0.000008325
ttVATN,DD09,0.00001665
ttWYUT,DD12,0.000008325
ttWYUT,DD11,0.000008325
ttWVVA,DD09,0.000008325
ttWVVA,DD01,0.000008325
% Diesel truck (MM gallon/ vehicle mile),,
kkALFL,DD08,8.45E-08
kkALFL,DD09,8.45E-08
kkALGA,DD09,0.000000169
kkALMS,DD09,0.000000169
kkALTN,DD09,0.000000169
kkARLA,DD10,0.000000169
kkARMO,DD10,0.000000169
kkAROK,DD10,0.000000169
kkARTN,DD09,8.45E-08
kkARTN,DD10,8.45E-08
kkARTX,DD02,8.45E-08
kkARTX,DD10,8.45E-08
kkAZCA,DD12,8.45E-08
kkAZCA,DD13,8.45E-08
kkAZNM,DD12,0.000000169
kkAZNV,DD11,8.45E-08
kkAZNV,DD12,8.45E-08
kkAZUT,DD11,8.45E-08
kkAZUT,DD12,8.45E-08
kkCANV,DD11,8.45E-08
kkCANV,DD13,8.45E-08
kkCAOR,DD11,8.45E-08
kkCAOR,DD13,8.45E-08
kkCOKS,DD10,8.45E-08
kkCOKS,DD12,8.45E-08
kkCONE,DD05,8.45E-08
kkCONE,DD12,8.45E-08
kkCONM,DD12,0.000000169
kkCOUT,DD11,8.45E-08
kkCOUT,DD12,8.45E-08
kkCOWY,DD12,0.000000169
kkCTMA,DD07,0.000000169
kkCTNY,DD06,8.45E-08
kkCTNY,DD07,8.45E-08
kkCTRI,DD07,0.000000169
kkDEMD,DD01,8.45E-08
kkDEMD,DD03,8.45E-08
kkDENJ,DD03,0.000000169
kkDEPA,DD03,0.000000169
kkFLGA,DD08,8.45E-08
kkFLGA,DD09,8.45E-08
kkGASC,DD09,0.000000169
kkGATN,DD09,0.000000169
kkIAIL,DD04,8.45E-08
kkIAIL,DD05,8.45E-08
kkIAMN,DD05,0.000000169
kkIAMO,DD05,8.45E-08
kkIAMO,DD10,8.45E-08
kkIANE,DD05,8.45E-08
kkIASD,DD05,0.000000169
kkIAWI,DD04,8.45E-08
kkIAWI,DD05,8.45E-08
kkIDMT,DD11,0.000000169
kkIDOR,DD11,0.000000169
kkIDUT,DD11,0.000000169
kkIDWA,DD11,0.000000169
kkIDWY,DD11,8.45E-08
kkIDWY,DD12,8.45E-08
kkILIN,DD01,8.45E-08
kkILIN,DD04,8.45E-08
kkILKY,DD01,8.45E-08
kkILKY,DD04,8.45E-08
kkILMO,DD04,8.45E-08
kkILMO,DD10,8.45E-08
kkILWI,DD04,0.000000169
kkINKY,DD01,0.000000169
kkINMI,DD01,0.000000169
kkINOH,DD01,0.000000169
kkKSMO,DD10,0.000000169
kkKSNE,DD05,8.45E-08
kkKSNE,DD10,8.45E-08
kkKSOK,DD10,0.000000169
kkKYOH,DD01,0.000000169
kkKYTN,DD01,8.45E-08
kkKYTN,DD09,8.45E-08
kkKYWV,DD01,0.000000169
kkLAMS,DD09,8.45E-08
kkLAMS,DD10,8.45E-08
kkLATX,DD02,8.45E-08
kkLATX,DD10,8.45E-08
kkMANH,DD07,0.000000169
kkMANY,DD06,8.45E-08
kkMANY,DD07,8.45E-08
kkMAVT,DD07,0.000000169
kkMDPA,DD01,8.45E-08
kkMDPA,DD03,8.45E-08
kkMDVA,DD01,8.45E-08
kkMDVA,DD09,8.45E-08
kkMDWV,DD01,8.45E-08
kkMENH,DD07,0.000000169
kkMIOH,DD01,0.000000169
kkMIWI,DD01,8.45E-08
kkMIWI,DD04,8.45E-08
kkMNND,DD05,0.000000169
kkMNSD,DD05,0.000000169
kkMNWI,DD04,8.45E-08
kkMNWI,DD05,8.45E-08
kkMOOK,DD10,0.000000169
kkMOTN,DD09,8.45E-08
kkMOTN,DD10,8.45E-08
kkMSTN,DD09,0.000000169
kkMTND,DD05,8.45E-08
kkMTND,DD11,8.45E-08
kkMTWY,DD11,8.45E-08
kkMTWY,DD12,8.45E-08
kkNCSC,DD09,0.000000169
kkNCTN,DD09,0.000000169
kkNCVA,DD09,0.000000169
kkNDSD,DD05,0.000000169
kkNESD,DD05,8.45E-08
kkNEWY,DD05,8.45E-08
kkNEWY,DD12,8.45E-08
kkNHVT,DD07,0.000000169
kkNJNY,DD03,8.45E-08
kkNJNY,DD06,8.45E-08
kkNJPA,DD03,0.000000169
kkNMTX,DD02,8.45E-08
kkNMTX,DD12,8.45E-08
kkNVOR,DD11,0.000000169
kkNVUT,DD11,0.000000169
kkNYPA,DD03,8.45E-08
kkNYPA,DD06,8.45E-08
kkNYVT,DD06,8.45E-08
kkNYVT,DD07,8.45E-08
kkOHPA,DD01,8.45E-08
kkOHPA,DD03,8.45E-08
kkOHWV,DD01,0.000000169
kkOKTX,DD02,8.45E-08
kkOKTX,DD10,8.45E-08
kkORWA,DD11,0.000000169
kkPAWV,DD01,8.45E-08
kkPAWV,DD03,8.45E-08
kkSDWY,DD05,8.45E-08
kkSDWY,DD12,8.45E-08
kkTNVA,DD09,0.000000169
kkUTWY,DD11,8.45E-08
kkUTWY,DD12,8.45E-08
kkVAWV,DD01,8.45E-08
kkVAWV,DD09,8.45E-08
kkFLAL,DD09,8.45E-08
kkFLAL,DD08,8.45E-08
kkGAAL,DD09,0.000000169
kkMSAL,DD09,0.000000169
kkTNAL,DD09,0.000000169
kkLAAR,DD10,0.000000169
kkMOAR,DD10,0.000000169
kkOKAR,DD10,0.000000169
kkTNAR,DD10,8.45E-08
kkTNAR,DD09,8.45E-08
kkTXAR,DD10,8.45E-08
kkTXAR,DD02,8.45E-08
kkCAAZ,DD13,8.45E-08
kkCAAZ,DD12,8.45E-08
kkNMAZ,DD12,0.000000169
kkNVAZ,DD12,8.45E-08
kkNVAZ,DD11,8.45E-08
kkUTAZ,DD12,8.45E-08
kkUTAZ,DD11,8.45E-08
kkNVCA,DD13,8.45E-08
kkNVCA,DD11,8.45E-08
kkORCA,DD13,8.45E-08
kkORCA,DD11,8.45E-08
kkKSCO,DD12,8.45E-08
kkKSCO,DD10,8.45E-08
kkNECO,DD12,8.45E-08
kkNECO,DD05,8.45E-08
kkNMCO,DD12,0.000000169
kkUTCO,DD12,8.45E-08
kkUTCO,DD11,8.45E-08
kkWYCO,DD12,0.000000169
kkMACT,DD07,0.000000169
kkNYCT,DD07,8.45E-08
kkNYCT,DD06,8.45E-08
kkRICT,DD07,0.000000169
kkMDDE,DD03,8.45E-08
kkMDDE,DD01,8.45E-08
kkNJDE,DD03,0.000000169
kkPADE,DD03,0.000000169
kkGAFL,DD09,8.45E-08
kkGAFL,DD08,8.45E-08
kkSCGA,DD09,0.000000169
kkTNGA,DD09,0.000000169
kkILIA,DD05,8.45E-08
kkILIA,DD04,8.45E-08
kkMNIA,DD05,0.000000169
kkMOIA,DD10,8.45E-08
kkMOIA,DD05,8.45E-08
kkNEIA,DD05,8.45E-08
kkSDIA,DD05,0.000000169
kkWIIA,DD05,8.45E-08
kkWIIA,DD04,8.45E-08
kkMTID,DD11,0.000000169
kkORID,DD11,0.000000169
kkUTID,DD11,0.000000169
kkWAID,DD11,0.000000169
kkWYID,DD12,8.45E-08
kkWYID,DD11,8.45E-08
kkINIL,DD04,8.45E-08
kkINIL,DD01,8.45E-08
kkKYIL,DD04,8.45E-08
kkKYIL,DD01,8.45E-08
kkMOIL,DD10,8.45E-08
kkMOIL,DD04,8.45E-08
kkWIIL,DD04,0.000000169
kkKYIN,DD01,0.000000169
kkMIIN,DD01,0.000000169
kkOHIN,DD01,0.000000169
kkMOKS,DD10,0.000000169
kkNEKS,DD10,8.45E-08
kkNEKS,DD05,8.45E-08
kkOKKS,DD10,0.000000169
kkOHKY,DD01,0.000000169
kkTNKY,DD09,8.45E-08
kkTNKY,DD01,8.45E-08
kkWVKY,DD01,0.000000169
kkMSLA,DD10,8.45E-08
kkMSLA,DD09,8.45E-08
kkTXLA,DD10,8.45E-08
kkTXLA,DD02,8.45E-08
kkNHMA,DD07,0.000000169
kkNYMA,DD07,8.45E-08
kkNYMA,DD06,8.45E-08
kkVTMA,DD07,0.000000169
kkPAMD,DD03,8.45E-08
kkPAMD,DD01,8.45E-08
kkVAMD,DD09,8.45E-08
kkVAMD,DD01,8.45E-08
kkWVMD,DD01,8.45E-08
kkNHME,DD07,0.000000169
kkOHMI,DD01,0.000000169
kkWIMI,DD04,8.45E-08
kkWIMI,DD01,8.45E-08
kkNDMN,DD05,0.000000169
kkSDMN,DD05,0.000000169
kkWIMN,DD05,8.45E-08
kkWIMN,DD04,8.45E-08
kkOKMO,DD10,0.000000169
kkTNMO,DD10,8.45E-08
kkTNMO,DD09,8.45E-08
kkTNMS,DD09,0.000000169
kkNDMT,DD11,8.45E-08
kkNDMT,DD05,8.45E-08
kkWYMT,DD12,8.45E-08
kkWYMT,DD11,8.45E-08
kkSCNC,DD09,0.000000169
kkTNNC,DD09,0.000000169
kkVANC,DD09,0.000000169
kkSDND,DD05,0.000000169
kkSDNE,DD05,8.45E-08
kkWYNE,DD12,8.45E-08
kkWYNE,DD05,8.45E-08
kkVTNH,DD07,0.000000169
kkNYNJ,DD06,8.45E-08
kkNYNJ,DD03,8.45E-08
kkPANJ,DD03,0.000000169
kkTXNM,DD12,8.45E-08
kkTXNM,DD02,8.45E-08
kkORNV,DD11,0.000000169
kkUTNV,DD11,0.000000169
kkPANY,DD06,8.45E-08
kkPANY,DD03,8.45E-08
kkVTNY,DD07,8.45E-08
kkVTNY,DD06,8.45E-08
kkPAOH,DD03,8.45E-08
kkPAOH,DD01,8.45E-08
kkWVOH,DD01,0.000000169
kkTXOK,DD10,8.45E-08
kkTXOK,DD02,8.45E-08
kkWAOR,DD11,0.000000169
kkWVPA,DD03,8.45E-08
kkWVPA,DD01,8.45E-08
kkWYSD,DD12,8.45E-08
kkWYSD,DD05,8.45E-08
kkVATN,DD09,0.000000169
kkWYUT,DD12,8.45E-08
kkWYUT,DD11,8.45E-08
kkWVVA,DD09,8.45E-08
kkWVVA,DD01,8.45E-08
