from,to,const  % M$/PCE-mile - multiply by distance and eff to get M$/vehicle
ffCANC,,5.61E-08
ffNVNY,,5.60E-08
ffGAWA,,5.59E-08
ffGAOR,,5.57E-08
ffCAFL,,5.56E-08
ffNCWA,,5.49E-08
ffPAWA,,5.49E-08
ffCAPA,,5.49E-08
ffCAMD,,5.48E-08
ffNCOR,,5.47E-08
ffMDWA,,5.47E-08
ffORPA,,5.45E-08
ffMANV,,5.44E-08
ffNYWA,,5.44E-08
ffMDOR,,5.42E-08
ffCANY,,5.39E-08
ffNYOR,,5.38E-08
ffMAWA,,5.33E-08
ffFLOR,,5.30E-08
ffFLWA,,5.28E-08
ffAZMA,,5.27E-08
ffMAOR,,5.27E-08
ffCAMA,,5.26E-08
%% HSR,,
eeMANH,,4.68E-07
eeDEMD,,4.51E-07
eeMDPA,,3.87E-07
eeNHVT,,3.80E-07
eeDENJ,,3.76E-07
eeCTMA,,3.61E-07
eeNJNY,,3.36E-07
eeDEPA,,3.35E-07
eeCTRI,,3.32E-07
eeMDVA,,3.22E-07
eeCTNY,,2.91E-07
eeMENH,,2.88E-07
eeNJPA,,2.86E-07
eeALGA,,2.70E-07
eeINKY,,2.70E-07
eeMDNY,,2.65E-07
eeILIN,,2.63E-07
eeLAMS,,2.57E-07
eeALMS,,2.53E-07
eeNCSC,,2.52E-07
eeALTN,,2.48E-07
eeORWA,,2.47E-07
eeNYPA,,2.45E-07
eeMAVT,,2.44E-07
eeNCVA,,2.43E-07
eeIAMN,,2.41E-07
eeILWI,,2.37E-07
eeILMI,,2.36E-07
eeKYTN,,2.35E-07
eeMNWI,,2.33E-07
eeKSMO,,2.33E-07
eeMANY,,2.32E-07
eeMIOH,,2.30E-07
eeGATN,,2.28E-07
eeKYOH,,2.26E-07
eeMDNC,,2.26E-07
eeGASC,,2.25E-07
eeINOH,,2.25E-07
eeKSOK,,2.23E-07
eeIAIL,,2.17E-07
eeINMI,,2.16E-07
eeIDUT,,2.16E-07
eeCANV,,2.15E-07
eeCOWY,,2.15E-07
eeGANC,,2.15E-07
eeMDWV,,2.12E-07
eeMAPA,,2.11E-07
eeMNSD,,2.10E-07
eeIAMO,,2.08E-07
eeNCPA,,2.08E-07
eeAROK,,2.08E-07
eeILMO,,2.07E-07
eeKSNE,,2.06E-07
eeILMN,,2.06E-07
eeOHWV,,2.04E-07
eeMAMD,,2.03E-07
eeNYVT,,2.01E-07
eeIANE,,2.00E-07
eeNDSD,,2.00E-07
eeIAWI,,1.99E-07
eeOKTX,,1.99E-07
eeMNND,,1.98E-07
eeNESD,,1.96E-07
eeKYWV,,1.96E-07
eePAWV,,1.95E-07
eeMIWI,,1.94E-07
eeILKY,,1.94E-07
eeOHPA,,1.94E-07
eeNVUT,,1.93E-07
eeARTN,,1.92E-07
eeMIPA,,1.92E-07
eeMSTN,,1.90E-07
eeFLGA,,1.89E-07
eeIASD,,1.89E-07
eeCONE,,1.89E-07
eeVAWV,,1.88E-07
eeNCNY,,1.87E-07
eeMIMN,,1.87E-07
eeMDMI,,1.86E-07
eeARTX,,1.85E-07
eeIDMT,,1.84E-07
eeCONM,,1.84E-07
eeAZCA,,1.83E-07
eeMOTN,,1.83E-07
eeMOOK,,1.82E-07
eeMINY,,1.82E-07
eeLATX,,1.81E-07
eeAZNM,,1.81E-07
eeCAUT,,1.81E-07
eeCOKS,,1.80E-07
eeMINC,,1.80E-07
eeARLA,,1.80E-07
eeNCTN,,1.79E-07
eeNEWY,,1.79E-07
eeMTWY,,1.78E-07
eeARMO,,1.77E-07
eeGAMD,,1.77E-07
eeILNC,,1.77E-07
eeGAIL,,1.76E-07
eeFLNC,,1.76E-07
eeAZCO,,1.76E-07
eeALFL,,1.75E-07
eeAZNV,,1.75E-07
eeILPA,,1.75E-07
eeIDOR,,1.75E-07
eeCONV,,1.74E-07
eeCOOR,,1.74E-07
eeSDWY,,1.74E-07
eeILMD,,1.73E-07
eeGAPA,,1.73E-07
eeMANC,,1.73E-07
eeIDWA,,1.73E-07
eeCOUT,,1.73E-07
eeTNVA,,1.72E-07
eeORUT,,1.71E-07
eeMAMI,,1.71E-07
eeGAMI,,1.71E-07
eeCOMN,,1.70E-07
eeILNY,,1.68E-07
eeUTWY,,1.68E-07
