from,to,const,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12
% Biomass feedstock production - cost curve segment 2 (M$/k-dry-ton),,,,,,,,,,,,,,
CPAL,7TAL,0.02,%/ Geographical variation in feedstock op. cost (M$/k-dry-ton) -(bid segments),,,,,,,,,,,
CPAZ,7TAZ,0.02,,,,,,,,,,,,
CPAR,7TAR,0.02,,,,,,,,,,,,
CPCA,7TCA,0.02,,,,,,,,,,,,
CPCO,7TCO,0.02,,,,,,,,,,,,
CPCT,7TCT,0.02,,,,,,,,,,,,
CPDE,7TDE,0.02,,,,,,,,,,,,
CPFL,7TFL,0.02,,,,,,,,,,,,
CPGA,7TGA,0.02,,,,,,,,,,,,
CPID,7TID,0.02,,,,,,,,,,,,
CPIL,7TIL,0.02,,,,,,,,,,,,
CPIN,7TIN,0.02,,,,,,,,,,,,
CPIA,7TIA,0.02,,,,,,,,,,,,
CPKS,7TKS,0.02,,,,,,,,,,,,
CPKY,7TKY,0.02,,,,,,,,,,,,
CPLA,7TLA,0.02,,,,,,,,,,,,
CPME,7TME,0.02,,,,,,,,,,,,
CPMD,7TMD,0.02,,,,,,,,,,,,
CPMA,7TMA,0.02,,,,,,,,,,,,
CPMI,7TMI,0.02,,,,,,,,,,,,
CPMN,7TMN,0.02,,,,,,,,,,,,
CPMS,7TMS,0.02,,,,,,,,,,,,
CPMO,7TMO,0.02,,,,,,,,,,,,
CPMT,7TMT,0.02,,,,,,,,,,,,
CPNE,7TNE,0.02,,,,,,,,,,,,
CPNV,7TNV,0.02,,,,,,,,,,,,
CPNH,7TNH,0.02,,,,,,,,,,,,
CPNJ,7TNJ,0.02,,,,,,,,,,,,
CPNM,7TNM,0.02,,,,,,,,,,,,
CPNY,7TNY,0.02,,,,,,,,,,,,
CPNC,7TNC,0.02,,,,,,,,,,,,
CPND,7TND,0.02,,,,,,,,,,,,
CPOH,7TOH,0.02,,,,,,,,,,,,
CPOK,7TOK,0.02,,,,,,,,,,,,
CPOR,7TOR,0.02,,,,,,,,,,,,
CPPA,7TPA,0.02,,,,,,,,,,,,
CPRI,7TRI,0.02,,,,,,,,,,,,
CPSC,7TSC,0.02,,,,,,,,,,,,
CPSD,7TSD,0.02,,,,,,,,,,,,
CPTN,7TTN,0.02,,,,,,,,,,,,
CPTX,7TTX,0.02,,,,,,,,,,,,
CPUT,7TUT,0.02,,,,,,,,,,,,
CPVT,7TVT,0.02,,,,,,,,,,,,
CPVA,7TVA,0.02,,,,,,,,,,,,
CPWA,7TWA,0.02,,,,,,,,,,,,
CPWV,7TWV,0.02,,,,,,,,,,,,
CPWI,7TWI,0.02,,,,,,,,,,,,
CPWY,7TWY,0.02,,,,,,,,,,,,
CPAL,8TAL,0.02,,,,,,,,,,,,
CPAZ,8TAZ,0.02,,,,,,,,,,,,
CPAR,8TAR,0.02,,,,,,,,,,,,
CPCA,8TCA,0.02,,,,,,,,,,,,
CPCO,8TCO,0.02,,,,,,,,,,,,
CPCT,8TCT,0.02,,,,,,,,,,,,
CPDE,8TDE,0.02,,,,,,,,,,,,
CPFL,8TFL,0.02,,,,,,,,,,,,
CPGA,8TGA,0.02,,,,,,,,,,,,
CPID,8TID,0.02,,,,,,,,,,,,
CPIL,8TIL,0.02,,,,,,,,,,,,
CPIN,8TIN,0.02,,,,,,,,,,,,
CPIA,8TIA,0.02,,,,,,,,,,,,
CPKS,8TKS,0.02,,,,,,,,,,,,
CPKY,8TKY,0.02,,,,,,,,,,,,
CPLA,8TLA,0.02,,,,,,,,,,,,
CPME,8TME,0.02,,,,,,,,,,,,
CPMD,8TMD,0.02,,,,,,,,,,,,
CPMA,8TMA,0.02,,,,,,,,,,,,
CPMI,8TMI,0.02,,,,,,,,,,,,
CPMN,8TMN,0.02,,,,,,,,,,,,
CPMS,8TMS,0.02,,,,,,,,,,,,
CPMO,8TMO,0.02,,,,,,,,,,,,
CPMT,8TMT,0.02,,,,,,,,,,,,
CPNE,8TNE,0.02,,,,,,,,,,,,
CPNV,8TNV,0.02,,,,,,,,,,,,
CPNH,8TNH,0.02,,,,,,,,,,,,
CPNJ,8TNJ,0.02,,,,,,,,,,,,
CPNM,8TNM,0.02,,,,,,,,,,,,
CPNY,8TNY,0.02,,,,,,,,,,,,
CPNC,8TNC,0.02,,,,,,,,,,,,
CPND,8TND,0.02,,,,,,,,,,,,
CPOH,8TOH,0.02,,,,,,,,,,,,
CPOK,8TOK,0.02,,,,,,,,,,,,
CPOR,8TOR,0.02,,,,,,,,,,,,
CPPA,8TPA,0.02,,,,,,,,,,,,
CPRI,8TRI,0.02,,,,,,,,,,,,
CPSC,8TSC,0.02,,,,,,,,,,,,
CPSD,8TSD,0.02,,,,,,,,,,,,
CPTN,8TTN,0.02,,,,,,,,,,,,
CPTX,8TTX,0.02,,,,,,,,,,,,
CPUT,8TUT,0.02,,,,,,,,,,,,
CPVT,8TVT,0.02,,,,,,,,,,,,
CPVA,8TVA,0.02,,,,,,,,,,,,
CPWA,8TWA,0.02,,,,,,,,,,,,
CPWV,8TWV,0.02,,,,,,,,,,,,
CPWI,8TWI,0.02,,,,,,,,,,,,
CPWY,8TWY,0.02,,,,,,,,,,,,
CPAL,9TAL,0.02,,,,,,,,,,,,
CPAZ,9TAZ,0.02,,,,,,,,,,,,
CPAR,9TAR,0.02,,,,,,,,,,,,
CPCA,9TCA,0.02,,,,,,,,,,,,
CPCO,9TCO,0.02,,,,,,,,,,,,
CPCT,9TCT,0.02,,,,,,,,,,,,
CPDE,9TDE,0.02,,,,,,,,,,,,
CPFL,9TFL,0.02,,,,,,,,,,,,
CPGA,9TGA,0.02,,,,,,,,,,,,
CPID,9TID,0.02,,,,,,,,,,,,
CPIL,9TIL,0.02,,,,,,,,,,,,
CPIN,9TIN,0.02,,,,,,,,,,,,
CPIA,9TIA,0.02,,,,,,,,,,,,
CPKS,9TKS,0.02,,,,,,,,,,,,
CPKY,9TKY,0.02,,,,,,,,,,,,
CPLA,9TLA,0.02,,,,,,,,,,,,
CPME,9TME,0.02,,,,,,,,,,,,
CPMD,9TMD,0.02,,,,,,,,,,,,
CPMA,9TMA,0.02,,,,,,,,,,,,
CPMI,9TMI,0.02,,,,,,,,,,,,
CPMN,9TMN,0.02,,,,,,,,,,,,
CPMS,9TMS,0.02,,,,,,,,,,,,
CPMO,9TMO,0.02,,,,,,,,,,,,
CPMT,9TMT,0.02,,,,,,,,,,,,
CPNE,9TNE,0.02,,,,,,,,,,,,
CPNV,9TNV,0.02,,,,,,,,,,,,
CPNH,9TNH,0.02,,,,,,,,,,,,
CPNJ,9TNJ,0.02,,,,,,,,,,,,
CPNM,9TNM,0.02,,,,,,,,,,,,
CPNY,9TNY,0.02,,,,,,,,,,,,
CPNC,9TNC,0.02,,,,,,,,,,,,
CPND,9TND,0.02,,,,,,,,,,,,
CPOH,9TOH,0.02,,,,,,,,,,,,
CPOK,9TOK,0.02,,,,,,,,,,,,
CPOR,9TOR,0.02,,,,,,,,,,,,
CPPA,9TPA,0.02,,,,,,,,,,,,
CPRI,9TRI,0.02,,,,,,,,,,,,
CPSC,9TSC,0.02,,,,,,,,,,,,
CPSD,9TSD,0.02,,,,,,,,,,,,
CPTN,9TTN,0.02,,,,,,,,,,,,
CPTX,9TTX,0.02,,,,,,,,,,,,
CPUT,9TUT,0.02,,,,,,,,,,,,
CPVT,9TVT,0.02,,,,,,,,,,,,
CPVA,9TVA,0.02,,,,,,,,,,,,
CPWA,9TWA,0.02,,,,,,,,,,,,
CPWV,9TWV,0.02,,,,,,,,,,,,
CPWI,9TWI,0.02,,,,,,,,,,,,
CPWY,9TWY,0.02,,,,,,,,,,,,
