from,to,const,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,y11,y12,y13,y14,y15,y16,y17,y18,y19,y20,y21,y22,y23,y24,y25,y26,y27,y28,y29,y30,y31,y32,y33,y34,y35,y36,y37,y38,y39,y40
% Geographical variation in feedstock max. availability for cost-curve (k-ton/h),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPAL,7TAL,0.38319383,0.38319383,0.38319383,0.38319383,0.413138197,0.443082563,0.47302693,0.552884218,0.632741506,0.712598794,0.792456082,0.87231337,0.98169816,1.09108295,1.20046774,1.30985253,1.41923732,1.600478,1.78171868,1.96295936,2.14420004,2.32544072,2.41606106,2.5066814,2.59730174,2.68792208,2.77854242,2.86916276,2.9597831,3.05040344,3.14102378,3.23164412,3.32226446,3.4128848,3.50350514,3.59412548,3.68474582,3.77536616,3.8659865,3.95660684,4.04722718
CPAZ,7TAZ,0.41439105,0.41439105,0.41439105,0.41439105,0.41591946,0.41744787,0.41897628,0.416295372,0.413614464,0.410933556,0.408252648,0.40557174,0.405988442,0.406405144,0.406821846,0.407238548,0.40765525,0.408387854,0.409120458,0.409853062,0.410585666,0.41131827,0.411684572,0.412050874,0.412417176,0.412783478,0.41314978,0.413516082,0.413882384,0.414248686,0.414614988,0.41498129,0.415347592,0.415713894,0.416080196,0.416446498,0.4168128,0.417179102,0.417545404,0.417911706,0.418278008
CPAR,7TAR,2.10126852,2.10126852,2.10126852,2.10126852,2.189569837,2.277871153,2.36617247,2.552447844,2.738723218,2.924998592,3.111273966,3.29754934,3.43643653,3.57532372,3.71421091,3.8530981,3.99198529,4.250896056,4.509806822,4.768717588,5.027628354,5.28653912,5.415994503,5.545449886,5.674905269,5.804360652,5.933816035,6.063271418,6.192726801,6.322182184,6.451637567,6.58109295,6.710548333,6.840003716,6.969459099,7.098914482,7.228369865,7.357825248,7.487280631,7.616736014,7.746191397
CPCA,7TCA,1.10948123,1.10948123,1.10948123,1.10948123,1.120173683,1.130866137,1.14155859,1.14242283,1.14328707,1.14415131,1.14501555,1.14587979,1.150394228,1.154908666,1.159423104,1.163937542,1.16845198,1.1729174,1.17738282,1.18184824,1.18631366,1.19077908,1.19301179,1.1952445,1.19747721,1.19970992,1.20194263,1.20417534,1.20640805,1.20864076,1.21087347,1.21310618,1.21533889,1.2175716,1.21980431,1.22203702,1.22426973,1.22650244,1.22873515,1.23096786,1.23320057
CPCO,7TCO,1.74347939,1.74347939,1.74347939,1.74347939,1.759606383,1.775733377,1.79186037,1.81924063,1.84662089,1.87400115,1.90138141,1.92876167,1.948753336,1.968745002,1.988736668,2.008728334,2.02872,2.075087536,2.121455072,2.167822608,2.214190144,2.26055768,2.283741448,2.306925216,2.330108984,2.353292752,2.37647652,2.399660288,2.422844056,2.446027824,2.469211592,2.49239536,2.515579128,2.538762896,2.561946664,2.585130432,2.6083142,2.631497968,2.654681736,2.677865504,2.701049272
CPCT,7TCT,0.0303125,0.0303125,0.0303125,0.0303125,0.03103395,0.0317554,0.03247685,0.033138888,0.033800926,0.034462964,0.035125002,0.03578704,0.037812502,0.039837964,0.041863426,0.043888888,0.04591435,0.046995368,0.048076386,0.049157404,0.050238422,0.05131944,0.051859949,0.052400458,0.052940967,0.053481476,0.054021985,0.054562494,0.055103003,0.055643512,0.056184021,0.05672453,0.057265039,0.057805548,0.058346057,0.058886566,0.059427075,0.059967584,0.060508093,0.061048602,0.061589111
CPDE,7TDE,0.15566465,0.15566465,0.15566465,0.15566465,0.159184903,0.162705157,0.16622541,0.177531514,0.188837618,0.200143722,0.211449826,0.22275593,0.234411368,0.246066806,0.257722244,0.269377682,0.28103312,0.291071448,0.301109776,0.311148104,0.321186432,0.33122476,0.336243924,0.341263088,0.346282252,0.351301416,0.35632058,0.361339744,0.366358908,0.371378072,0.376397236,0.3814164,0.386435564,0.391454728,0.396473892,0.401493056,0.40651222,0.411531384,0.416550548,0.421569712,0.426588876
CPFL,7TFL,0.10985788,0.10985788,0.10985788,0.10985788,0.128416797,0.146975713,0.16553463,0.19766521,0.22979579,0.26192637,0.29405695,0.32618753,0.457209594,0.588231658,0.719253722,0.850275786,0.98129785,1.130825666,1.280353482,1.429881298,1.579409114,1.72893693,1.803700838,1.878464746,1.953228654,2.027992562,2.10275647,2.177520378,2.252284286,2.327048194,2.401812102,2.47657601,2.551339918,2.626103826,2.700867734,2.775631642,2.85039555,2.925159458,2.999923366,3.074687274,3.149451182
CPGA,7TGA,0.51656607,0.51656607,0.51656607,0.51656607,0.54787256,0.57917905,0.61048554,0.673166072,0.735846604,0.798527136,0.861207668,0.9238882,1.022528704,1.121169208,1.219809712,1.318450216,1.41709072,1.570363784,1.723636848,1.876909912,2.030182976,2.18345604,2.260092572,2.336729104,2.413365636,2.490002168,2.5666387,2.643275232,2.719911764,2.796548296,2.873184828,2.94982136,3.026457892,3.103094424,3.179730956,3.256367488,3.33300402,3.409640552,3.486277084,3.562913616,3.639550148
