from,to,const,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,y11,y12,y13,y14,y15,y16,y17,y18,y19,y20,y21,y22,y23,y24,y25,y26,y27,y28,y29,y30,y31,y32,y33,y34,y35,y36,y37,y38,y39,y40
% Geographical variation in feedstock max. availability for cost-curve (k-ton/h),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPAL,7TAL,0.38553208,0.38553208,0.38553208,0.38553208,0.419487013,0.453441947,0.48739688,0.571643496,0.655890112,0.740136728,0.824383344,0.90862996,1.012939878,1.117249796,1.221559714,1.325869632,1.43017955,1.61736324,1.80454693,1.99173062,2.17891431,2.366098,2.459689845,2.55328169,2.646873535,2.74046538,2.834057225,2.92764907,3.021240915,3.11483276,3.208424605,3.30201645,3.395608295,3.48920014,3.582791985,3.67638383,3.769975675,3.86356752,3.957159365,4.05075121,4.144343055
CPAZ,7TAZ,0.41438065,0.41438065,0.41438065,0.41438065,0.415913113,0.417445577,0.41897804,0.416331798,0.413685556,0.411039314,0.408393072,0.40574683,0.406686002,0.407625174,0.408564346,0.409503518,0.41044269,0.411226436,0.412010182,0.412793928,0.413577674,0.41436142,0.414753293,0.415145166,0.415537039,0.415928912,0.416320785,0.416712658,0.417104531,0.417496404,0.417888277,0.41828015,0.418672023,0.419063896,0.419455769,0.419847642,0.420239515,0.420631388,0.421023261,0.421415134,0.421807007
CPAR,7TAR,2.10453584,2.10453584,2.10453584,2.10453584,2.202305937,2.300076033,2.39784613,2.599448612,2.801051094,3.002653576,3.204256058,3.40585854,3.544569428,3.683280316,3.821991204,3.960702092,4.09941298,4.476840286,4.854267592,5.231694898,5.609122204,5.98654951,6.175263163,6.363976816,6.552690469,6.741404122,6.930117775,7.118831428,7.307545081,7.496258734,7.684972387,7.87368604,8.062399693,8.251113346,8.439826999,8.628540652,8.817254305,9.005967958,9.194681611,9.383395264,9.572108917
CPCA,7TCA,1.10933636,1.10933636,1.10933636,1.10933636,1.120506833,1.131677307,1.14284778,1.143325794,1.143803808,1.144281822,1.144759836,1.14523785,1.149975654,1.154713458,1.159451262,1.164189066,1.16892687,1.173750536,1.178574202,1.183397868,1.188221534,1.1930452,1.195457033,1.197868866,1.200280699,1.202692532,1.205104365,1.207516198,1.209928031,1.212339864,1.214751697,1.21716353,1.219575363,1.221987196,1.224399029,1.226810862,1.229222695,1.231634528,1.234046361,1.236458194,1.238870027
CPCO,7TCO,1.75001434,1.75001434,1.75001434,1.75001434,1.766568757,1.783123173,1.79967759,1.829748588,1.859819586,1.889890584,1.919961582,1.95003258,1.953039484,1.956046388,1.959053292,1.962060196,1.9650671,2.008331292,2.051595484,2.094859676,2.138123868,2.18138806,2.203020156,2.224652252,2.246284348,2.267916444,2.28954854,2.311180636,2.332812732,2.354444828,2.376076924,2.39770902,2.419341116,2.440973212,2.462605308,2.484237404,2.5058695,2.527501596,2.549133692,2.570765788,2.592397884
CPCT,7TCT,0.0303125,0.0303125,0.0303125,0.0303125,0.031242283,0.032172067,0.03310185,0.03391898,0.03473611,0.03555324,0.03637037,0.0371875,0.038761574,0.040335648,0.041909722,0.043483796,0.04505787,0.045900462,0.046743054,0.047585646,0.048428238,0.04927083,0.049692126,0.050113422,0.050534718,0.050956014,0.05137731,0.051798606,0.052219902,0.052641198,0.053062494,0.05348379,0.053905086,0.054326382,0.054747678,0.055168974,0.05559027,0.056011566,0.056432862,0.056854158,0.057275454
CPDE,7TDE,0.15583374,0.15583374,0.15583374,0.15583374,0.154429443,0.153025147,0.15162085,0.159493442,0.167366034,0.175238626,0.183111218,0.19098381,0.230495302,0.270006794,0.309518286,0.349029778,0.38854127,0.394239868,0.399938466,0.405637064,0.411335662,0.41703426,0.419883559,0.422732858,0.425582157,0.428431456,0.431280755,0.434130054,0.436979353,0.439828652,0.442677951,0.44552725,0.448376549,0.451225848,0.454075147,0.456924446,0.459773745,0.462623044,0.465472343,0.468321642,0.471170941
CPFL,7TFL,0.10999931,0.10999931,0.10999931,0.10999931,0.128749283,0.147499257,0.16624923,0.20974111,0.25323299,0.29672487,0.34021675,0.38370863,0.557426604,0.731144578,0.904862552,1.078580526,1.2522985,1.349549798,1.446801096,1.544052394,1.641303692,1.73855499,1.787180639,1.835806288,1.884431937,1.933057586,1.981683235,2.030308884,2.078934533,2.127560182,2.176185831,2.22481148,2.273437129,2.322062778,2.370688427,2.419314076,2.467939725,2.516565374,2.565191023,2.613816672,2.662442321
CPGA,7TGA,0.51874696,0.51874696,0.51874696,0.51874696,0.553879483,0.589012007,0.62414453,0.693767542,0.763390554,0.833013566,0.902636578,0.97225959,1.053192696,1.134125802,1.215058908,1.295992014,1.37692512,1.559513086,1.742101052,1.924689018,2.107276984,2.28986495,2.381158933,2.472452916,2.563746899,2.655040882,2.746334865,2.837628848,2.928922831,3.020216814,3.111510797,3.20280478,3.294098763,3.385392746,3.476686729,3.567980712,3.659274695,3.750568678,3.841862661,3.933156644,4.024450627
CPID,7TID,1.02717315,1.02717315,1.02717315,1.02717315,1.04338866,1.05960417,1.07581968,1.080447752,1.085075824,1.089703896,1.094331968,1.09896004,1.104682596,1.110405152,1.116127708,1.121850264,1.12757282,1.130792898,1.134012976,1.137233054,1.140453132,1.14367321,1.145283249,1.146893288,1.148503327,1.150113366,1.151723405,1.153333444,1.154943483,1.156553522,1.158163561,1.1597736,1.161383639,1.162993678,1.164603717,1.166213756,1.167823795,1.169433834,1.171043873,1.172653912,1.174263951
CPIL,7TIL,12.1616725,12.1616725,12.1616725,12.1616725,12.73649447,13.31131643,13.8861384,14.4215253,14.9569122,15.4922991,16.027686,16.5630729,16.85845962,17.15384634,17.44923306,17.74461978,18.0400065,18.62288002,19.20575354,19.78862706,20.37150058,20.9543741,21.24581086,21.53724762,21.82868438,22.12012114,22.4115579,22.70299466,22.99443142,23.28586818,23.57730494,23.8687417,24.16017846,24.45161522,24.74305198,25.03448874,25.3259255,25.61736226,25.90879902,26.20023578,26.49167254
CPIN,7TIN,5.9391,5.9391,5.9391,5.9391,6.22766894,6.51623788,6.80480682,7.04953395,7.29426108,7.53898821,7.78371534,8.02844247,8.14262594,8.25680941,8.37099288,8.48517635,8.59935982,8.937451936,9.275544052,9.613636168,9.951728284,10.2898204,10.45886646,10.62791252,10.79695857,10.96600463,11.13505069,11.30409675,11.47314281,11.64218886,11.81123492,11.98028098,12.14932704,12.3183731,12.48741915,12.65646521,12.82551127,12.99455733,13.16360339,13.33264944,13.5016955
CPIA,7TIA,13.8626234,13.8626234,13.8626234,13.8626234,14.4165707,14.970518,15.5244653,16.03036276,16.53626022,17.04215768,17.54805514,18.0539526,18.52402578,18.99409896,19.46417214,19.93424532,20.4043185,20.9691799,21.5340413,22.0989027,22.6637641,23.2286255,23.5110562,23.7934869,24.0759176,24.3583483,24.640779,24.9232097,25.2056404,25.4880711,25.7705018,26.0529325,26.3353632,26.6177939,26.9002246,27.1826553,27.465086,27.7475167,28.0299474,28.3123781,28.5948088
CPKS,7TKS,6.12163202,6.12163202,6.12163202,6.12163202,6.33745329,6.55327456,6.76909583,7.683278464,8.597461098,9.511643732,10.42582637,11.340009,11.59725762,11.85450624,12.11175486,12.36900348,12.6262521,13.54846208,14.47067206,15.39288204,16.31509202,17.237302,17.69840699,18.15951198,18.62061697,19.08172196,19.54282695,20.00393194,20.46503693,20.92614192,21.38724691,21.8483519,22.30945689,22.77056188,23.23166687,23.69277186,24.15387685,24.61498184,25.07608683,25.53719182,25.99829681
CPKY,7TKY,1.59255127,1.59255127,1.59255127,1.59255127,1.680751133,1.768950997,1.85715086,2.123213048,2.389275236,2.655337424,2.921399612,3.1874618,3.318439086,3.449416372,3.580393658,3.711370944,3.84234823,4.175984426,4.509620622,4.843256818,5.176893014,5.51052921,5.677347308,5.844165406,6.010983504,6.177801602,6.3446197,6.511437798,6.678255896,6.845073994,7.011892092,7.17871019,7.345528288,7.512346386,7.679164484,7.845982582,8.01280068,8.179618778,8.346436876,8.513254974,8.680073072
CPLA,7TLA,0.74126147,0.74126147,0.74126147,0.74126147,0.747044297,0.752827123,0.75860995,0.79459611,0.83058227,0.86656843,0.90255459,0.93854075,1.070364308,1.202187866,1.334011424,1.465834982,1.59765854,1.864883884,2.132109228,2.399334572,2.666559916,2.93378526,3.067397932,3.201010604,3.334623276,3.468235948,3.60184862,3.735461292,3.869073964,4.002686636,4.136299308,4.26991198,4.403524652,4.537137324,4.670749996,4.804362668,4.93797534,5.071588012,5.205200684,5.338813356,5.472426028
CPME,7TME,0.04362269,0.04362269,0.04362269,0.04362269,0.043684417,0.043746143,0.04380787,0.045770834,0.047733798,0.049696762,0.051659726,0.05362269,0.058337966,0.063053242,0.067768518,0.072483794,0.07719907,0.079546294,0.081893518,0.084240742,0.086587966,0.08893519,0.090108802,0.091282414,0.092456026,0.093629638,0.09480325,0.095976862,0.097150474,0.098324086,0.099497698,0.10067131,0.101844922,0.103018534,0.104192146,0.105365758,0.10653937,0.107712982,0.108886594,0.110060206,0.111233818
CPMD,7TMD,0.44849507,0.44849507,0.44849507,0.44849507,0.470029747,0.491564423,0.5130991,0.552962912,0.592826724,0.632690536,0.672554348,0.71241816,0.728885874,0.745353588,0.761821302,0.778289016,0.79475673,0.821980528,0.849204326,0.876428124,0.903651922,0.93087572,0.944487619,0.958099518,0.971711417,0.985323316,0.998935215,1.012547114,1.026159013,1.039770912,1.053382811,1.06699471,1.080606609,1.094218508,1.107830407,1.121442306,1.135054205,1.148666104,1.162278003,1.175889902,1.189501801
CPMA,7TMA,0.0162963,0.0162963,0.0162963,0.0162963,0.01655093,0.01680556,0.01706019,0.018481486,0.019902782,0.021324078,0.022745374,0.02416667,0.026500002,0.028833334,0.031166666,0.033499998,0.03583333,0.03697222,0.03811111,0.03925,0.04038889,0.04152778,0.042097225,0.04266667,0.043236115,0.04380556,0.044375005,0.04494445,0.045513895,0.04608334,0.046652785,0.04722223,0.047791675,0.04836112,0.048930565,0.04950001,0.050069455,0.0506389,0.051208345,0.05177779,0.052347235
CPMI,7TMI,2.44077812,2.44077812,2.44077812,2.44077812,2.485134807,2.529491493,2.57384818,2.673833546,2.773818912,2.873804278,2.973789644,3.07377501,3.288862536,3.503950062,3.719037588,3.934125114,4.14921264,4.179194914,4.209177188,4.239159462,4.269141736,4.29912401,4.314115147,4.329106284,4.344097421,4.359088558,4.374079695,4.389070832,4.404061969,4.419053106,4.434044243,4.44903538,4.464026517,4.479017654,4.494008791,4.508999928,4.523991065,4.538982202,4.553973339,4.568964476,4.583955613
CPMN,7TMN,7.49973529,7.49973529,7.49973529,7.49973529,7.700271313,7.900807337,8.10134336,8.254233414,8.407123468,8.560013522,8.712903576,8.86579363,9.06103539,9.25627715,9.45151891,9.64676067,9.84200243,10.31235596,10.7827095,11.25306303,11.72341657,12.1937701,12.42894687,12.66412363,12.8993004,13.13447717,13.36965394,13.6048307,13.84000747,14.07518424,14.310361,14.54553777,14.78071454,15.0158913,15.25106807,15.48624484,15.72142161,15.95659837,16.19177514,16.42695191,16.66212867
