from,to,const,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12
% Biomass feedstock production - cost curve segment (M$/k-dry-ton),,,,,,,,,,,,,,
CPAL,7TAL,0.09,%/ Geographical variation in feedstock op. cost (M$/k-dry-ton) -(bid segments),,,,,,,,,,,
CPAZ,7TAZ,0.09,,,,,,,,,,,,
CPAR,7TAR,0.09,,,,,,,,,,,,
CPCA,7TCA,0.09,,,,,,,,,,,,
CPCO,7TCO,0.09,,,,,,,,,,,,
CPCT,7TCT,0.09,,,,,,,,,,,,
CPDE,7TDE,0.09,,,,,,,,,,,,
CPFL,7TFL,0.09,,,,,,,,,,,,
CPGA,7TGA,0.09,,,,,,,,,,,,
CPID,7TID,0.09,,,,,,,,,,,,
CPIL,7TIL,0.09,,,,,,,,,,,,
CPIN,7TIN,0.09,,,,,,,,,,,,
CPIA,7TIA,0.09,,,,,,,,,,,,
CPKS,7TKS,0.09,,,,,,,,,,,,
CPKY,7TKY,0.09,,,,,,,,,,,,
CPLA,7TLA,0.09,,,,,,,,,,,,
CPME,7TME,0.09,,,,,,,,,,,,
CPMD,7TMD,0.09,,,,,,,,,,,,
CPMA,7TMA,0.09,,,,,,,,,,,,
CPMI,7TMI,0.09,,,,,,,,,,,,
CPMN,7TMN,0.09,,,,,,,,,,,,
CPMS,7TMS,0.09,,,,,,,,,,,,
CPMO,7TMO,0.09,,,,,,,,,,,,
CPMT,7TMT,0.09,,,,,,,,,,,,
CPNE,7TNE,0.09,,,,,,,,,,,,
CPNV,7TNV,0.09,,,,,,,,,,,,
CPNH,7TNH,0.09,,,,,,,,,,,,
CPNJ,7TNJ,0.09,,,,,,,,,,,,
CPNM,7TNM,0.09,,,,,,,,,,,,
CPNY,7TNY,0.09,,,,,,,,,,,,
CPNC,7TNC,0.09,,,,,,,,,,,,
CPND,7TND,0.09,,,,,,,,,,,,
CPOH,7TOH,0.09,,,,,,,,,,,,
CPOK,7TOK,0.09,,,,,,,,,,,,
CPOR,7TOR,0.09,,,,,,,,,,,,
CPPA,7TPA,0.09,,,,,,,,,,,,
CPRI,7TRI,0.09,,,,,,,,,,,,
CPSC,7TSC,0.09,,,,,,,,,,,,
CPSD,7TSD,0.09,,,,,,,,,,,,
CPTN,7TTN,0.09,,,,,,,,,,,,
CPTX,7TTX,0.09,,,,,,,,,,,,
CPUT,7TUT,0.09,,,,,,,,,,,,
CPVT,7TVT,0.09,,,,,,,,,,,,
CPVA,7TVA,0.09,,,,,,,,,,,,
CPWA,7TWA,0.09,,,,,,,,,,,,
CPWV,7TWV,0.09,,,,,,,,,,,,
CPWI,7TWI,0.09,,,,,,,,,,,,
CPWY,7TWY,0.09,,,,,,,,,,,,
CPAL,8TAL,0.09,,,,,,,,,,,,
CPAZ,8TAZ,0.09,,,,,,,,,,,,
CPAR,8TAR,0.09,,,,,,,,,,,,
CPCA,8TCA,0.09,,,,,,,,,,,,
CPCO,8TCO,0.09,,,,,,,,,,,,
CPCT,8TCT,0.09,,,,,,,,,,,,
CPDE,8TDE,0.09,,,,,,,,,,,,
CPFL,8TFL,0.09,,,,,,,,,,,,
CPGA,8TGA,0.09,,,,,,,,,,,,
CPID,8TID,0.09,,,,,,,,,,,,
CPIL,8TIL,0.09,,,,,,,,,,,,
CPIN,8TIN,0.09,,,,,,,,,,,,
CPIA,8TIA,0.09,,,,,,,,,,,,
CPKS,8TKS,0.09,,,,,,,,,,,,
CPKY,8TKY,0.09,,,,,,,,,,,,
CPLA,8TLA,0.09,,,,,,,,,,,,
CPME,8TME,0.09,,,,,,,,,,,,
CPMD,8TMD,0.09,,,,,,,,,,,,
CPMA,8TMA,0.09,,,,,,,,,,,,
CPMI,8TMI,0.09,,,,,,,,,,,,
CPMN,8TMN,0.09,,,,,,,,,,,,
CPMS,8TMS,0.09,,,,,,,,,,,,
CPMO,8TMO,0.09,,,,,,,,,,,,
CPMT,8TMT,0.09,,,,,,,,,,,,
CPNE,8TNE,0.09,,,,,,,,,,,,
CPNV,8TNV,0.09,,,,,,,,,,,,
CPNH,8TNH,0.09,,,,,,,,,,,,
CPNJ,8TNJ,0.09,,,,,,,,,,,,
CPNM,8TNM,0.09,,,,,,,,,,,,
CPNY,8TNY,0.09,,,,,,,,,,,,
CPNC,8TNC,0.09,,,,,,,,,,,,
CPND,8TND,0.09,,,,,,,,,,,,
CPOH,8TOH,0.09,,,,,,,,,,,,
CPOK,8TOK,0.09,,,,,,,,,,,,
CPOR,8TOR,0.09,,,,,,,,,,,,
CPPA,8TPA,0.09,,,,,,,,,,,,
CPRI,8TRI,0.09,,,,,,,,,,,,
CPSC,8TSC,0.09,,,,,,,,,,,,
CPSD,8TSD,0.09,,,,,,,,,,,,
CPTN,8TTN,0.09,,,,,,,,,,,,
CPTX,8TTX,0.09,,,,,,,,,,,,
CPUT,8TUT,0.09,,,,,,,,,,,,
CPVT,8TVT,0.09,,,,,,,,,,,,
CPVA,8TVA,0.09,,,,,,,,,,,,
CPWA,8TWA,0.09,,,,,,,,,,,,
CPWV,8TWV,0.09,,,,,,,,,,,,
CPWI,8TWI,0.09,,,,,,,,,,,,
CPWY,8TWY,0.09,,,,,,,,,,,,
CPAL,9TAL,0.09,,,,,,,,,,,,
CPAZ,9TAZ,0.09,,,,,,,,,,,,
CPAR,9TAR,0.09,,,,,,,,,,,,
CPCA,9TCA,0.09,,,,,,,,,,,,
CPCO,9TCO,0.09,,,,,,,,,,,,
CPCT,9TCT,0.09,,,,,,,,,,,,
CPDE,9TDE,0.09,,,,,,,,,,,,
CPFL,9TFL,0.09,,,,,,,,,,,,
CPGA,9TGA,0.09,,,,,,,,,,,,
CPID,9TID,0.09,,,,,,,,,,,,
CPIL,9TIL,0.09,,,,,,,,,,,,
CPIN,9TIN,0.09,,,,,,,,,,,,
CPIA,9TIA,0.09,,,,,,,,,,,,
CPKS,9TKS,0.09,,,,,,,,,,,,
CPKY,9TKY,0.09,,,,,,,,,,,,
CPLA,9TLA,0.09,,,,,,,,,,,,
CPME,9TME,0.09,,,,,,,,,,,,
CPMD,9TMD,0.09,,,,,,,,,,,,
CPMA,9TMA,0.09,,,,,,,,,,,,
CPMI,9TMI,0.09,,,,,,,,,,,,
CPMN,9TMN,0.09,,,,,,,,,,,,
CPMS,9TMS,0.09,,,,,,,,,,,,
CPMO,9TMO,0.09,,,,,,,,,,,,
CPMT,9TMT,0.09,,,,,,,,,,,,
CPNE,9TNE,0.09,,,,,,,,,,,,
CPNV,9TNV,0.09,,,,,,,,,,,,
CPNH,9TNH,0.09,,,,,,,,,,,,
CPNJ,9TNJ,0.09,,,,,,,,,,,,
CPNM,9TNM,0.09,,,,,,,,,,,,
CPNY,9TNY,0.09,,,,,,,,,,,,
CPNC,9TNC,0.09,,,,,,,,,,,,
CPND,9TND,0.09,,,,,,,,,,,,
CPOH,9TOH,0.09,,,,,,,,,,,,
CPOK,9TOK,0.09,,,,,,,,,,,,
CPOR,9TOR,0.09,,,,,,,,,,,,
CPPA,9TPA,0.09,,,,,,,,,,,,
CPRI,9TRI,0.09,,,,,,,,,,,,
CPSC,9TSC,0.09,,,,,,,,,,,,
CPSD,9TSD,0.09,,,,,,,,,,,,
CPTN,9TTN,0.09,,,,,,,,,,,,
CPTX,9TTX,0.09,,,,,,,,,,,,
CPUT,9TUT,0.09,,,,,,,,,,,,
CPVT,9TVT,0.09,,,,,,,,,,,,
