from,to,const,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12
% Biomass feedstock production - cost curve segment (M$/k-dry-ton),,,,,,,,,,,,,,
CPAL,7TAL,0.07,%/ Geographical variation in feedstock op. cost (M$/k-dry-ton) -(bid segments),,,,,,,,,,,
CPAZ,7TAZ,0.07,,,,,,,,,,,,
CPAR,7TAR,0.07,,,,,,,,,,,,
CPCA,7TCA,0.07,,,,,,,,,,,,
CPCO,7TCO,0.07,,,,,,,,,,,,
CPCT,7TCT,0.07,,,,,,,,,,,,
CPDE,7TDE,0.07,,,,,,,,,,,,
CPFL,7TFL,0.07,,,,,,,,,,,,
CPGA,7TGA,0.07,,,,,,,,,,,,
CPID,7TID,0.07,,,,,,,,,,,,
CPIL,7TIL,0.07,,,,,,,,,,,,
CPIN,7TIN,0.07,,,,,,,,,,,,
CPIA,7TIA,0.07,,,,,,,,,,,,
CPKS,7TKS,0.07,,,,,,,,,,,,
CPKY,7TKY,0.07,,,,,,,,,,,,
CPLA,7TLA,0.07,,,,,,,,,,,,
CPME,7TME,0.07,,,,,,,,,,,,
CPMD,7TMD,0.07,,,,,,,,,,,,
CPMA,7TMA,0.07,,,,,,,,,,,,
CPMI,7TMI,0.07,,,,,,,,,,,,
CPMN,7TMN,0.07,,,,,,,,,,,,
CPMS,7TMS,0.07,,,,,,,,,,,,
CPMO,7TMO,0.07,,,,,,,,,,,,
CPMT,7TMT,0.07,,,,,,,,,,,,
CPNE,7TNE,0.07,,,,,,,,,,,,
CPNV,7TNV,0.07,,,,,,,,,,,,
CPNH,7TNH,0.07,,,,,,,,,,,,
CPNJ,7TNJ,0.07,,,,,,,,,,,,
CPNM,7TNM,0.07,,,,,,,,,,,,
CPNY,7TNY,0.07,,,,,,,,,,,,
CPNC,7TNC,0.07,,,,,,,,,,,,
CPND,7TND,0.07,,,,,,,,,,,,
CPOH,7TOH,0.07,,,,,,,,,,,,
CPOK,7TOK,0.07,,,,,,,,,,,,
CPOR,7TOR,0.07,,,,,,,,,,,,
CPPA,7TPA,0.07,,,,,,,,,,,,
CPRI,7TRI,0.07,,,,,,,,,,,,
CPSC,7TSC,0.07,,,,,,,,,,,,
CPSD,7TSD,0.07,,,,,,,,,,,,
CPTN,7TTN,0.07,,,,,,,,,,,,
CPTX,7TTX,0.07,,,,,,,,,,,,
