from,to,const,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12
CPUT,7TUT,0.07,,,,,,,,,,,,
CPVT,7TVT,0.07,,,,,,,,,,,,
CPVA,7TVA,0.07,,,,,,,,,,,,
CPWA,7TWA,0.07,,,,,,,,,,,,
CPWV,7TWV,0.07,,,,,,,,,,,,
CPWI,7TWI,0.07,,,,,,,,,,,,
CPWY,7TWY,0.07,,,,,,,,,,,,
CPAL,8TAL,0.07,,,,,,,,,,,,
CPAZ,8TAZ,0.07,,,,,,,,,,,,
CPAR,8TAR,0.07,,,,,,,,,,,,
CPCA,8TCA,0.07,,,,,,,,,,,,
CPCO,8TCO,0.07,,,,,,,,,,,,
CPCT,8TCT,0.07,,,,,,,,,,,,
CPDE,8TDE,0.07,,,,,,,,,,,,
CPFL,8TFL,0.07,,,,,,,,,,,,
CPGA,8TGA,0.07,,,,,,,,,,,,
CPID,8TID,0.07,,,,,,,,,,,,
CPIL,8TIL,0.07,,,,,,,,,,,,
CPIN,8TIN,0.07,,,,,,,,,,,,
CPIA,8TIA,0.07,,,,,,,,,,,,
CPKS,8TKS,0.07,,,,,,,,,,,,
CPKY,8TKY,0.07,,,,,,,,,,,,
CPLA,8TLA,0.07,,,,,,,,,,,,
CPME,8TME,0.07,,,,,,,,,,,,
CPMD,8TMD,0.07,,,,,,,,,,,,
CPMA,8TMA,0.07,,,,,,,,,,,,
CPMI,8TMI,0.07,,,,,,,,,,,,
CPMN,8TMN,0.07,,,,,,,,,,,,
CPMS,8TMS,0.07,,,,,,,,,,,,
CPMO,8TMO,0.07,,,,,,,,,,,,
CPMT,8TMT,0.07,,,,,,,,,,,,
CPNE,8TNE,0.07,,,,,,,,,,,,
CPNV,8TNV,0.07,,,,,,,,,,,,
CPNH,8TNH,0.07,,,,,,,,,,,,
CPNJ,8TNJ,0.07,,,,,,,,,,,,
CPNM,8TNM,0.07,,,,,,,,,,,,
CPNY,8TNY,0.07,,,,,,,,,,,,
CPNC,8TNC,0.07,,,,,,,,,,,,
CPND,8TND,0.07,,,,,,,,,,,,
CPOH,8TOH,0.07,,,,,,,,,,,,
CPOK,8TOK,0.07,,,,,,,,,,,,
CPOR,8TOR,0.07,,,,,,,,,,,,
CPPA,8TPA,0.07,,,,,,,,,,,,
CPRI,8TRI,0.07,,,,,,,,,,,,
CPSC,8TSC,0.07,,,,,,,,,,,,
CPSD,8TSD,0.07,,,,,,,,,,,,
CPTN,8TTN,0.07,,,,,,,,,,,,
CPTX,8TTX,0.07,,,,,,,,,,,,
CPUT,8TUT,0.07,,,,,,,,,,,,
CPVT,8TVT,0.07,,,,,,,,,,,,
CPVA,8TVA,0.07,,,,,,,,,,,,
CPWA,8TWA,0.07,,,,,,,,,,,,
CPWV,8TWV,0.07,,,,,,,,,,,,
CPWI,8TWI,0.07,,,,,,,,,,,,
CPWY,8TWY,0.07,,,,,,,,,,,,
CPAL,9TAL,0.07,,,,,,,,,,,,
CPAZ,9TAZ,0.07,,,,,,,,,,,,
CPAR,9TAR,0.07,,,,,,,,,,,,
CPCA,9TCA,0.07,,,,,,,,,,,,
CPCO,9TCO,0.07,,,,,,,,,,,,
CPCT,9TCT,0.07,,,,,,,,,,,,
CPDE,9TDE,0.07,,,,,,,,,,,,
CPFL,9TFL,0.07,,,,,,,,,,,,
CPGA,9TGA,0.07,,,,,,,,,,,,
CPID,9TID,0.07,,,,,,,,,,,,
CPIL,9TIL,0.07,,,,,,,,,,,,
CPIN,9TIN,0.07,,,,,,,,,,,,
CPIA,9TIA,0.07,,,,,,,,,,,,
CPKS,9TKS,0.07,,,,,,,,,,,,
CPKY,9TKY,0.07,,,,,,,,,,,,
CPLA,9TLA,0.07,,,,,,,,,,,,
CPME,9TME,0.07,,,,,,,,,,,,
CPMD,9TMD,0.07,,,,,,,,,,,,
CPMA,9TMA,0.07,,,,,,,,,,,,
CPMI,9TMI,0.07,,,,,,,,,,,,
CPMN,9TMN,0.07,,,,,,,,,,,,
CPMS,9TMS,0.07,,,,,,,,,,,,
CPMO,9TMO,0.07,,,,,,,,,,,,
CPMT,9TMT,0.07,,,,,,,,,,,,
CPNE,9TNE,0.07,,,,,,,,,,,,
CPNV,9TNV,0.07,,,,,,,,,,,,
CPNH,9TNH,0.07,,,,,,,,,,,,
CPNJ,9TNJ,0.07,,,,,,,,,,,,
CPNM,9TNM,0.07,,,,,,,,,,,,
CPNY,9TNY,0.07,,,,,,,,,,,,
CPNC,9TNC,0.07,,,,,,,,,,,,
CPND,9TND,0.07,,,,,,,,,,,,
CPOH,9TOH,0.07,,,,,,,,,,,,
CPOK,9TOK,0.07,,,,,,,,,,,,
CPOR,9TOR,0.07,,,,,,,,,,,,
CPPA,9TPA,0.07,,,,,,,,,,,,
CPRI,9TRI,0.07,,,,,,,,,,,,
CPSC,9TSC,0.07,,,,,,,,,,,,
CPSD,9TSD,0.07,,,,,,,,,,,,
CPTN,9TTN,0.07,,,,,,,,,,,,
CPTX,9TTX,0.07,,,,,,,,,,,,
CPUT,9TUT,0.07,,,,,,,,,,,,
CPVT,9TVT,0.07,,,,,,,,,,,,
CPVA,9TVA,0.07,,,,,,,,,,,,
CPWA,9TWA,0.07,,,,,,,,,,,,
CPWV,9TWV,0.07,,,,,,,,,,,,
CPWI,9TWI,0.07,,,,,,,,,,,,
CPWY,9TWY,0.07,,,,,,,,,,,,
