code,const,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,y11,y12,y13,y14,y15,y16,y17,y18,y19,y20,y21,y22,y23,y24,y25,y26,y27,y28,y29,y30,y31,y32,y33,y34,y35,y36,y37,y38,y39,y40
CP,X % Coal production,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NP,X % Natural gas production,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% Natural gas demand (MMcf),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5TCTNY,,,,,,,,,,,,,,16363.59,16806.202,17248.814,17691.426,18134.038,18576.65,19086.102,19595.554,20105.006,20614.458,21123.91,21700.516,22277.122,22853.728,23430.334,24006.94,24602.324,25197.708,25793.092,26388.476,26983.86,27648.948,28314.036,28979.124,29644.212,30309.3,29716.11136,29122.92272,28529.73407,27936.54543,27343.35679,27379.30647,27415.25615,27451.20582,27487.1555,27523.10518,27559.05486,27595.00454,27630.95422,27666.9039
5TCTRI,,,,,,,,,,,,,,1511.06,1527.854,1544.648,1561.442,1578.236,1595.03,1615.312,1635.594,1655.876,1676.158,1696.44,1710.476,1724.512,1738.548,1752.584,1766.62,1782.3,1797.98,1813.66,1829.34,1845.02,1859.944,1874.868,1889.792,1904.716,1919.64,1894.313896,1868.987793,1843.661689,1818.335585,1793.009482,1787.80843,1782.607378,1777.406326,1772.205275,1767.004223,1761.803171,1756.602119,1751.401067,1746.200015
5TDEMD,,,,,,,,,,,,,,10470.84,10480.418,10489.996,10499.574,10509.152,10518.73,10502.506,10486.282,10470.058,10453.834,10437.61,10410.3,10382.99,10355.68,10328.37,10301.06,10352.466,10403.872,10455.278,10506.684,10558.09,10615.39,10672.69,10729.99,10787.29,10844.59,10680.49485,10516.39969,10352.30454,10188.20938,10024.11423,9970.716648,9917.319071,9863.921493,9810.523916,9757.126338,9703.728761,9650.331184,9596.933606,9543.536029
5TDENJ,,,,,,,,,,,,,,12702.62,13007.794,13312.968,13618.142,13923.316,14228.49,14703.06,15177.63,15652.2,16126.77,16601.34,17252.198,17903.056,18553.914,19204.772,19855.63,20767.598,21679.566,22591.534,23503.502,24415.47,25259.48,26103.49,26947.5,27791.51,28635.52,27627.12008,26618.72017,25610.32025,24601.92033,23593.52042,23511.32546,23429.1305,23346.93554,23264.74058,23182.54562,23100.35066,23018.15571,22935.96075,22853.76579
5TDEPA,,,,,,,,,,,,,,4454.54,4605.9,4757.26,4908.62,5059.98,5211.34,5321.446,5431.552,5541.658,5651.764,5761.87,5808.676,5855.482,5902.288,5949.094,5995.9,6089.15,6182.4,6275.65,6368.9,6462.15,6550.226,6638.302,6726.378,6814.454,6902.53,6651.718794,6400.907588,6150.096382,5899.285177,5648.473971,5567.106368,5485.738765,5404.371162,5323.003559,5241.635956,5160.268353,5078.90075,4997.533147,4916.165545
5TFLAL,,,,,,,,,,,,,,4499.92,4493.284,4486.648,4480.012,4473.376,4466.74,4470.256,4473.772,4477.288,4480.804,4484.32,4499.028,4513.736,4528.444,4543.152,4557.86,4586.3,4614.74,4643.18,4671.62,4700.06,4712.688,4725.316,4737.944,4750.572,4763.2,4711.876391,4660.552781,4609.229172,4557.905563,4506.581953,4487.234149,4467.886344,4448.538539,4429.190735,4409.84293,4390.495125,4371.147321,4351.799516,4332.451712
5TFLGA,,,,,,,,,,,,,,14437.6,14501.59,14565.58,14629.57,14693.56,14757.55,14759.248,14760.946,14762.644,14764.342,14766.04,14758.746,14751.452,14744.158,14736.864,14729.57,14846.274,14962.978,15079.682,15196.386,15313.09,15339.912,15366.734,15393.556,15420.378,15447.2,15012.87262,14578.54525,14144.21787,13709.8905,13275.56312,13071.81043,12868.05775,12664.30506,12460.55237,12256.79968,12053.04699,11849.29431,11645.54162,11441.78893
5TGAAL,,,,,,,,,,,,,,24633.45,24638.326,24643.202,24648.078,24652.954,24657.83,24715.248,24772.666,24830.084,24887.502,24944.92,25141.438,25337.956,25534.474,25730.992,25927.51,26215.108,26502.706,26790.304,27077.902,27365.5,27731.604,28097.708,28463.812,28829.916,29196.02,29188.80027,29181.58054,29174.36081,29167.14108,29159.92135,29339.36348,29518.80562,29698.24775,29877.68989,30057.13202,30236.57416,30416.01629,30595.45843,30774.90056
5TGAFL,,,,,,,,,,,,,,56626.24,58142.172,59658.104,61174.036,62689.968,64205.9,65964.624,67723.348,69482.072,71240.796,72999.52,75025.23,77050.94,79076.65,81102.36,83128.07,85544.964,87961.858,90378.752,92795.646,95212.54,97564.162,99915.784,102267.406,104619.028,106970.65,106040.6189,105110.5877,104180.5566,103250.5255,102320.4943,103031.2898,103742.0852,104452.8806,105163.6761,105874.4715,106585.2669,107296.0624,108006.8578,108717.6532
5TGASC,,,,,,,,,,,,,,27343.32,27724.038,28104.756,28485.474,28866.192,29246.91,29736,30225.09,30714.18,31203.27,31692.36,32150.224,32608.088,33065.952,33523.816,33981.68,34609.716,35237.752,35865.788,36493.824,37121.86,37757.302,38392.744,39028.186,39663.628,40299.07,40098.08846,39897.10693,39696.12539,39495.14386,39294.16232,39511.39256,39728.62279,39945.85302,40163.08325,40380.31349,40597.54372,40814.77395,41032.00418,41249.23442
5TGATN,,,,,,,,,,,,,,16324.88,16504.966,16685.052,16865.138,17045.224,17225.31,17351.568,17477.826,17604.084,17730.342,17856.6,17937.09,18017.58,18098.07,18178.56,18259.05,18483.536,18708.022,18932.508,19156.994,19381.48,19569.842,19758.204,19946.566,20134.928,20323.29,19884.64399,19445.99799,19007.35198,18568.70598,18130.05997,18004.91797,17879.77597,17754.63397,17629.49196,17504.34996,17379.20796,17254.06596,17128.92395,17003.78195
5TIAIL,,,,,,,,,,,,,,157324.72,162733.858,168142.996,173552.134,178961.272,184370.41,190145.518,195920.626,201695.734,207470.842,213245.95,217626.588,222007.226,226387.864,230768.502,235149.14,243488.52,251827.9,260167.28,268506.66,276846.04,285230.692,293615.344,301999.996,310384.648,318769.3,314651.4397,310533.5795,306415.7192,302297.8589,298179.9986,300313.3945,302446.7904,304580.1862,306713.5821,308846.9779,310980.3738,313113.7697,315247.1655,317380.5614
5TIAMN,,,,,,,,,,,,,,6183.94,6339.85,6495.76,6651.67,6807.58,6963.49,7070.176,7176.862,7283.548,7390.234,7496.92,7622.058,7747.196,7872.334,7997.472,8122.61,8443.49,8764.37,9085.25,9406.13,9727.01,9932.602,10138.194,10343.786,10549.378,10754.97,10421.19637,10087.42274,9753.649111,9419.875482,9086.101852,9022.011038,8957.920223,8893.829408,8829.738593,8765.647779,8701.556964,8637.466149,8573.375334,8509.28452
5TIAMO,,,,,,,,,,,,,,110706.43,114592.944,118479.458,122365.972,126252.486,130139,134626.19,139113.38,143600.57,148087.76,152574.95,157665.648,162756.346,167847.044,172937.742,178028.44,185726.148,193423.856,201121.564,208819.272,216516.98,225231.29,233945.6,242659.91,251374.22,260088.53,256661.6167,253234.7034,249807.7902,246380.8769,242953.9636,245597.662,248241.3603,250885.0587,253528.7571,256172.4554,258816.1538,261459.8521,264103.5505,266747.2489
5TIANE,,,,,,,,,,,,,,47179.6,47389.368,47599.136,47808.904,48018.672,48228.44,48200.51,48172.58,48144.65,48116.72,48088.79,48572.278,49055.766,49539.254,50022.742,50506.23,51161.378,51816.526,52471.674,53126.822,53781.97,54538.05,55294.13,56050.21,56806.29,57562.37,57684.09966,57805.82933,57927.55899,58049.28865,58171.01832,58609.92315,59048.82798,59487.73281,59926.63764,60365.54248,60804.44731,61243.35214,61682.25697,62121.1618
5TIASD,,,,,,,,,,,,,,1913.01,2056.878,2200.746,2344.614,2488.482,2632.35,2709.646,2786.942,2864.238,2941.534,3018.83,3052.206,3085.582,3118.958,3152.334,3185.71,3291.262,3396.814,3502.366,3607.918,3713.47,3737.088,3760.706,3784.324,3807.942,3831.56,3518.761862,3205.963724,2893.165586,2580.367448,2267.56931,2122.979241,1978.389172,1833.799104,1689.209035,1544.618966,1400.028897,1255.438828,1110.848759,966.2586898
5TIAWI,,,,,,,,,,,,,,10513.1,11322.844,12132.588,12942.332,13752.076,14561.82,15012.312,15462.804,15913.296,16363.788,16814.28,16887.006,16959.732,17032.458,17105.184,17177.91,18099.318,19020.726,19942.134,20863.542,21784.95,22039.642,22294.334,22549.026,22803.718,23058.41,21459.67446,19860.93892,18262.20337,16663.46783,15064.73229,14392.71052,13720.68875,13048.66698,12376.64521,11704.62343,11032.60166,10360.57989,9688.558122,9016.536351
5TIDMT,,,,,,,,,,,,,,9183.28,9253.942,9324.604,9395.266,9465.928,9536.59,9612.018,9687.446,9762.874,9838.302,9913.73,10054.832,10195.934,10337.036,10478.138,10619.24,10841.108,11062.976,11284.844,11506.712,11728.58,11864.298,12000.016,12135.734,12271.452,12407.17,12004.03911,11600.90823,11197.77734,10794.64646,10391.51557,10257.80913,10124.10269,9990.396245,9856.689802,9722.983359,9589.276916,9455.570474,9321.864031,9188.157588
5TIDNV,,,,,,,,,,,,,,5217.31,5266.254,5315.198,5364.142,5413.086,5462.03,5506.678,5551.326,5595.974,5640.622,5685.27,5783.794,5882.318,5980.842,6079.366,6177.89,6291.472,6405.054,6518.636,6632.218,6745.8,6855.584,6965.368,7075.152,7184.936,7294.72,7303.096971,7311.473943,7319.850914,7328.227885,7336.604857,7395.685342,7454.765828,7513.846314,7572.926799,7632.007285,7691.087771,7750.168256,7809.248742,7868.329228
5TIDOR,,,,,,,,,,,,,,19024.47,19154.552,19284.634,19414.716,19544.798,19674.88,19918.228,20161.576,20404.924,20648.272,20891.62,21323.55,21755.48,22187.41,22619.34,23051.27,23658.432,24265.594,24872.756,25479.918,26087.08,26614.924,27142.768,27670.612,28198.456,28726.3,28563.74315,28401.1863,28238.62945,28076.0726,27913.51575,28096.15933,28278.8029,28461.44648,28644.09005,28826.73363,29009.3772,29192.02078,29374.66435,29557.30793
5TIDUT,,,,,,,,,,,,,,18359,19080.346,19801.692,20523.038,21244.384,21965.73,22805.42,23645.11,24484.8,25324.49,26164.18,27235.43,28306.68,29377.93,30449.18,31520.43,32776.852,34033.274,35289.696,36546.118,37802.54,38759.284,39716.028,40672.772,41629.516,42586.26,40752.32888,38918.39776,37084.46664,35250.53552,33416.6044,32978.01084,32539.41728,32100.82372,31662.23016,31223.6366,30785.04304,30346.44948,29907.85592,29469.26236
5TIDWA,,,,,,,,,,,,,,17765.65,18250.83,18736.01,19221.19,19706.37,20191.55,20938.546,21685.542,22432.538,23179.534,23926.53,24681.566,25436.602,26191.638,26946.674,27701.71,28653.124,29604.538,30555.952,31507.366,32458.78,33446.432,34434.084,35421.736,36409.388,37397.04,37365.24017,37333.44034,37301.64052,37269.84069,37238.04086,37715.96694,38193.89303,38671.81912,39149.7452,39627.67129,40105.59737,40583.52346,41061.44955,41539.37563
5TIDWY,,,,,,,,,,,,,,256.14,277.254,298.368,319.482,340.596,361.71,391.172,420.634,450.096,479.558,509.02,564.472,619.924,675.376,730.828,786.28,857.542,928.804,1000.066,1071.328,1142.59,1163.814,1185.038,1206.262,1227.486,1248.71,1136.820342,1024.930685,913.0410273,801.1513697,689.2617121,643.9288833,598.5960545,553.2632258,507.930397,462.5975682,417.2647394,371.9319106,326.5990818,281.266253
5TILIA,,,,,,,,,,,,,,17704.09,17578.558,17453.026,17327.494,17201.962,17076.43,17209.382,17342.334,17475.286,17608.238,17741.19,18073.63,18406.07,18738.51,19070.95,19403.39,19615.808,19828.226,20040.644,20253.062,20465.48,20839.472,21213.464,21587.456,21961.448,22335.44,22524.4988,22713.5576,22902.61641,23091.67521,23280.73401,23562.25941,23843.78481,24125.31022,24406.83562,24688.36102,24969.88642,25251.41182,25532.93722,25814.46262
5TILIN,,,,,,,,,,,,,,183886.58,189101.676,194316.772,199531.868,204746.964,209962.06,216100.768,222239.476,228378.184,234516.892,240655.6,247532.916,254410.232,261287.548,268164.864,275042.18,283883.67,292725.16,301566.65,310408.14,319249.63,328834.856,338420.082,348005.308,357590.534,367175.76,359799.1322,352422.5043,345045.8765,337669.2486,330292.6208,331396.9199,332501.219,333605.518,334709.8171,335814.1162,336918.4153,338022.7144,339127.0134,340231.3125
5TILKY,,,,,,,,,,,,,,22274.79,23297.844,24320.898,25343.952,26367.006,27390.06,28961.264,30532.468,32103.672,33674.876,35246.08,36817.876,38389.672,39961.468,41533.264,43105.06,45199.38,47293.7,49388.02,51482.34,53576.66,55700.834,57825.008,59949.182,62073.356,64197.53,63158.8061,62120.08219,61081.35829,60042.63439,59003.91048,59546.63553,60089.36058,60632.08563,61174.81068,61717.53573,62260.26078,62802.98582,63345.71087,63888.43592
5TILMO,,,,,,,,,,,,,,38669.81,38829.45,38989.09,39148.73,39308.37,39468.01,39849.804,40231.598,40613.392,40995.186,41376.98,42197.214,43017.448,43837.682,44657.916,45478.15,46194.876,46911.602,47628.328,48345.054,49061.78,49890.67,50719.56,51548.45,52377.34,53206.23,53230.4103,53254.5906,53278.7709,53302.9512,53327.1315,53753.66665,54180.2018,54606.73695,55033.2721,55459.80725,55886.3424,56312.87755,56739.4127,57165.94785
5TILWI,,,,,,,,,,,,,,29363.58,29464.672,29565.764,29666.856,29767.948,29869.04,30049.262,30229.484,30409.706,30589.928,30770.15,31006.05,31241.95,31477.85,31713.75,31949.65,32282.702,32615.754,32948.806,33281.858,33614.91,33969.006,34323.102,34677.198,35031.294,35385.39,35435.88378,35486.37757,35536.87135,35587.36513,35637.85892,35840.15381,36042.4487,36244.74359,36447.03848,36649.33338,36851.62827,37053.92316,37256.21805,37458.51294
5TINIL,,,,,,,,,,,,,,88649.98,90320.978,91991.976,93662.974,95333.972,97004.97,98966.438,100927.906,102889.374,104850.842,106812.31,109093.444,111374.578,113655.712,115936.846,118217.98,120716.508,123215.036,125713.564,128212.092,130710.62,133734.892,136759.164,139783.436,142807.708,145831.98,143874.4285,141916.8771,139959.3256,138001.7741,136044.2226,136577.5829,137110.9432,137644.3034,138177.6637,138711.024,139244.3842,139777.7445,140311.1047,140844.465
5TINKY,,,,,,,,,,,,,,63344.46,64944.354,66544.248,68144.142,69744.036,71343.93,73422.034,75500.138,77578.242,79656.346,81734.45,84519.338,87304.226,90089.114,92874.002,95658.89,99417.68,103176.47,106935.26,110694.05,114452.84,118942.394,123431.948,127921.502,132411.056,136900.61,135484.0255,134067.441,132650.8565,131234.272,129817.6875,131354.1722,132890.657,134427.1417,135963.6265,137500.1112,139036.596,140573.0807,142109.5654,143646.0502
5TINMI,,,,,,,,,,,,,,20337.36,20503.134,20668.908,20834.682,21000.456,21166.23,21469.49,21772.75,22076.01,22379.27,22682.53,22980.996,23279.462,23577.928,23876.394,24174.86,24637.01,25099.16,25561.31,26023.46,26485.61,26983.022,27480.434,27977.846,28475.258,28972.67,28919.63574,28866.60148,28813.56722,28760.53296,28707.4987,28929.68757,29151.87644,29374.06531,29596.25418,29818.44305,30040.63192,30262.82079,30485.00966,30707.19852
5TINOH,,,,,,,,,,,,,,98582.41,101398.206,104214.002,107029.798,109845.594,112661.39,116029.814,119398.238,122766.662,126135.086,129503.51,133155.516,136807.522,140459.528,144111.534,147763.54,152205.366,156647.192,161089.018,165530.844,169972.67,174712.15,179451.63,184191.11,188930.59,193670.07,190121.9004,186573.7309,183025.5613,179477.3918,175929.2222,176524.8774,177120.5326,177716.1879,178311.8431,178907.4983,179503.1535,180098.8087,180694.4639,181290.1192
5TKSCO,,,,,,,,,,,,,,6173.27,6231.706,6290.142,6348.578,6407.014,6465.45,6534.676,6603.902,6673.128,6742.354,6811.58,6926.684,7041.788,7156.892,7271.996,7387.1,7527.254,7667.408,7807.562,7947.716,8087.87,8236.67,8385.47,8534.27,8683.07,8831.87,8842.254436,8852.638872,8863.023309,8873.407745,8883.792181,8963.384399,9042.976617,9122.568835,9202.161054,9281.753272,9361.34549,9440.937708,9520.529926,9600.122144
5TKSMO,,,,,,,,,,,,,,24057.62,24151.298,24244.976,24338.654,24432.332,24526.01,24778.476,25030.942,25283.408,25535.874,25788.34,26081.072,26373.804,26666.536,26959.268,27252,27671.672,28091.344,28511.016,28930.688,29350.36,29840.054,30329.748,30819.442,31309.136,31798.83,31703.25992,31607.68983,31512.11975,31416.54966,31320.97958,31518.04154,31715.10349,31912.16545,32109.22741,32306.28937,32503.35132,32700.41328,32897.47524,33094.5372
5TKSNE,,,,,,,,,,,,,,6864,6922.682,6981.364,7040.046,7098.728,7157.41,7199.94,7242.47,7285,7327.53,7370.06,7468.544,7567.028,7665.512,7763.996,7862.48,7980.568,8098.656,8216.744,8334.832,8452.92,8602.772,8752.624,8902.476,9052.328,9202.18,9203.207025,9204.23405,9205.261075,9206.2881,9207.315125,9282.754638,9358.19415,9433.633663,9509.073175,9584.512688,9659.9522,9735.391713,9810.831225,9886.270738
5TKSOK,,,,,,,,,,,,,,148767.49,151497.718,154227.946,156958.174,159688.402,162418.63,164809.248,167199.866,169590.484,171981.102,174371.72,178033.606,181695.492,185357.378,189019.264,192681.15,196844.678,201008.206,205171.734,209335.262,213498.79,218063.798,222628.806,227193.814,231758.822,236323.83,237124.7375,237925.645,238726.5526,239527.4601,240328.3676,243011.3253,245694.2831,248377.2409,251060.1986,253743.1564,256426.1141,259109.0719,261792.0297,264474.9874
5TKYIL,,,,,,,,,,,,,,2902.31,2934.784,2967.258,2999.732,3032.206,3064.68,3104.606,3144.532,3184.458,3224.384,3264.31,3316.248,3368.186,3420.124,3472.062,3524,3588.498,3652.996,3717.494,3781.992,3846.49,3910.332,3974.174,4038.016,4101.858,4165.7,4133.396186,4101.092372,4068.788558,4036.484744,4004.18093,4019.950023,4035.719116,4051.488209,4067.257302,4083.026395,4098.795488,4114.564581,4130.333674,4146.102767
5TKYIN,,,,,,,,,,,,,,21562.29,22104.434,22646.578,23188.722,23730.866,24273.01,24996.608,25720.206,26443.804,27167.402,27891,29078.37,30265.74,31453.11,32640.48,33827.85,35177.268,36526.686,37876.104,39225.522,40574.94,41821.784,43068.628,44315.472,45562.316,46809.16,45716.8325,44624.50501,43532.17751,42439.85002,41347.52252,41424.78077,41502.03902,41579.29728,41656.55553,41733.81378,41811.07203,41888.33028,41965.58854,42042.84679
5TKYOH,,,,,,,,,,,,,,24450.98,25013.698,25576.416,26139.134,26701.852,27264.57,27583.102,27901.634,28220.166,28538.698,28857.23,29480.12,30103.01,30725.9,31348.79,31971.68,32350.678,32729.676,33108.674,33487.672,33866.67,34441.37,35016.07,35590.77,36165.47,36740.17,36185.79648,35631.42296,35077.04944,34522.67592,33968.3024,33978.46563,33988.62887,33998.79211,34008.95535,34019.11859,34029.28183,34039.44507,34049.60831,34059.77155
5TKYTN,,,,,,,,,,,,,,127339.73,130717.164,134094.598,137472.032,140849.466,144226.9,147776.644,151326.388,154876.132,158425.876,161975.62,167096.476,172217.332,177338.188,182459.044,187579.9,192592.568,197605.236,202617.904,207630.572,212643.24,218554.89,224466.54,230378.19,236289.84,242201.49,240633.1265,239064.7631,237496.3996,235928.0361,234359.6727,236531.3159,238702.9592,240874.6025,243046.2457,245217.889,247389.5323,249561.1755,251732.8188,253904.4621
5TKYWV,,,,,,,,,,,,,,36686.53,38225.508,39764.486,41303.464,42842.442,44381.42,45502.026,46622.632,47743.238,48863.844,49984.45,52122.386,54260.322,56398.258,58536.194,60674.13,62486.516,64298.902,66111.288,67923.674,69736.06,72393.302,75050.544,77707.786,80365.028,83022.27,82281.06538,81539.86076,80798.65613,80057.45151,79316.24689,80274.26558,81232.28427,82190.30296,83148.32165,84106.34034,85064.35903,86022.37772,86980.3964,87938.41509
5TLAAR,,,,,,,,,,,,,,4108.32,4123.468,4138.616,4153.764,4168.912,4184.06,4171.288,4158.516,4145.744,4132.972,4120.2,4092.634,4065.068,4037.502,4009.936,3982.37,3948.608,3914.846,3881.084,3847.322,3813.56,3823.896,3834.232,3844.568,3854.904,3865.24,3775.751916,3686.263831,3596.775747,3507.287662,3417.799578,3378.223535,3338.647493,3299.071451,3259.495409,3219.919366,3180.343324,3140.767282,3101.19124,3061.615197
5TLAMS,,,,,,,,,,,,,,23830.5,24432.426,25034.352,25636.278,26238.204,26840.13,27470.99,28101.85,28732.71,29363.57,29994.43,30640.73,31287.03,31933.33,32579.63,33225.93,34031.872,34837.814,35643.756,36449.698,37255.64,38420.936,39586.232,40751.528,41916.824,43082.12,41864.17931,40646.23862,39428.29793,38210.35725,36992.41656,36966.09421,36939.77187,36913.44952,36887.12718,36860.80483,36834.48249,36808.16015,36781.8378,36755.51546
5TLATX,,,,,,,,,,,,,,18392.65,18759.566,19126.482,19493.398,19860.314,20227.23,20523.606,20819.982,21116.358,21412.734,21709.11,21995.83,22282.55,22569.27,22855.99,23142.71,23426.778,23710.846,23994.914,24278.982,24563.05,24941.78,25320.51,25699.24,26077.97,26456.7,25878.79541,25300.89083,24722.98624,24145.08166,23567.17707,23467.58978,23368.00248,23268.41519,23168.8279,23069.2406,22969.65331,22870.06602,22770.47872,22670.89143
5TMACT,,,,,,,,,,,,,,13348.43,13725.282,14102.134,14478.986,14855.838,15232.69,15691.078,16149.466,16607.854,17066.242,17524.63,18010.51,18496.39,18982.27,19468.15,19954.03,20488.214,21022.398,21556.582,22090.766,22624.95,23172.644,23720.338,24268.032,24815.726,25363.42,24802.85878,24242.29755,23681.73633,23121.1751,22560.61388,22554.18026,22547.74665,22541.31304,22534.87943,22528.44582,22522.0122,22515.57859,22509.14498,22502.71137
5TMAMI,,,,,,,,,,,,,,2.69,2.62,2.55,2.48,2.41,2.34,2.282,2.224,2.166,2.108,2.05,2,1.95,1.9,1.85,1.8,1.764,1.728,1.692,1.656,1.62,1.582,1.544,1.506,1.468,1.43,1.435184416,1.440368831,1.445553247,1.450737663,1.455922079,1.439514286,1.423106494,1.406698702,1.39029091,1.373883118,1.357475326,1.341067534,1.324659741,1.308251949
5TMANH,,,,,,,,,,,,,,9515.11,9580.734,9646.358,9711.982,9777.606,9843.23,9971.388,10099.546,10227.704,10355.862,10484.02,10599.058,10714.096,10829.134,10944.172,11059.21,11260.628,11462.046,11663.464,11864.882,12066.3,12296.294,12526.288,12756.282,12986.276,13216.27,13193.2343,13170.1986,13147.1629,13124.1272,13101.0915,13204.57065,13308.04979,13411.52894,13515.00809,13618.48724,13721.96639,13825.44554,13928.92469,14032.40384
5TMANY,,,,,,,,,,,,,,1580.1,1605.704,1631.308,1656.912,1682.516,1708.12,1741.878,1775.636,1809.394,1843.152,1876.91,1910.624,1944.338,1978.052,2011.766,2045.48,2082.048,2118.616,2155.184,2191.752,2228.32,2265.496,2302.672,2339.848,2377.024,2414.2,2400.213467,2386.226935,2372.240402,2358.253869,2344.267337,2355.86207,2367.456804,2379.051538,2390.646271,2402.241005,2413.835739,2425.430472,2437.025206,2448.61994
5TMARI,,,,,,,,,,,,,,1527.03,1563.136,1599.242,1635.348,1671.454,1707.56,1762.356,1817.152,1871.948,1926.744,1981.54,2023.714,2065.888,2108.062,2150.236,2192.41,2245.398,2298.386,2351.374,2404.362,2457.35,2506.578,2555.806,2605.034,2654.262,2703.49,2632.233941,2560.977881,2489.721822,2418.465763,2347.209703,2336.195674,2325.181644,2314.167614,2303.153585,2292.139555,2281.125525,2270.111496,2259.097466,2248.083436
5TMAVT,,,,,,,,,,,,,,104.84,106.358,107.876,109.394,110.912,112.43,114.47,116.51,118.55,120.59,122.63,125.264,127.898,130.532,133.166,135.8,138.406,141.012,143.618,146.224,148.83,151.238,153.646,156.054,158.462,160.87,158.1473979,155.4247958,152.7021937,149.9795916,147.2569895,147.0996885,146.9423874,146.7850864,146.6277853,146.4704843,146.3131832,146.1558822,145.9985811,145.8412801
5TMDDE,,,,,,,,,,,,,,23385.61,23631.528,23877.446,24123.364,24369.282,24615.2,25371.398,26127.596,26883.794,27639.992,28396.19,29578.7,30761.21,31943.72,33126.23,34308.74,35767.848,37226.956,38686.064,40145.172,41604.28,43045.758,44487.236,45928.714,47370.192,48811.67,48797.46169,48783.25337,48769.04506,48754.83675,48740.62843,49454.26328,50167.89812,50881.53296,51595.16781,52308.80265,53022.4375,53736.07234,54449.70718,55163.34203
5TMDPA,,,,,,,,,,,,,,65833.96,66584.948,67335.936,68086.924,68837.912,69588.9,70794.76,72000.62,73206.48,74412.34,75618.2,77226.512,78834.824,80443.136,82051.448,83659.76,85851.206,88042.652,90234.098,92425.544,94616.99,96775.918,98934.846,101093.774,103252.702,105411.63,103982.1879,102552.7458,101123.3037,99693.86156,98264.41945,98629.16239,98993.90534,99358.64828,99723.39123,100088.1342,100452.8771,100817.6201,101182.363,101547.106
5TMDVA,,,,,,,,,,,,,,8453.3,8397.272,8341.244,8285.216,8229.188,8173.16,8179.42,8185.68,8191.94,8198.2,8204.46,8225.834,8247.208,8268.582,8289.956,8311.33,8410.376,8509.422,8608.468,8707.514,8806.56,8884.422,8962.284,9040.146,9118.008,9195.87,9087.091971,8978.313942,8869.535913,8760.757883,8651.979854,8636.52184,8621.063825,8605.605811,8590.147796,8574.689781,8559.231767,8543.773752,8528.315738,8512.857723
5TMDWV,,,,,,,,,,,,,,33086.9,33445.414,33803.928,34162.442,34520.956,34879.47,35980.394,37081.318,38182.242,39283.166,40384.09,41608.89,42833.69,44058.49,45283.29,46508.09,48679.428,50850.766,53022.104,55193.442,57364.78,59093.396,60822.012,62550.628,64279.244,66007.86,63889.48366,61771.10732,59652.73099,57534.35465,55415.97831,55221.09814,55026.21797,54831.3378,54636.45763,54441.57746,54246.6973,54051.81713,53856.93696,53662.05679
5TMENH,,,,,,,,,,,,,,6824.54,7087.726,7350.912,7614.098,7877.284,8140.47,8632.658,9124.846,9617.034,10109.222,10601.41,11044.036,11486.662,11929.288,12371.914,12814.54,13393.318,13972.096,14550.874,15129.652,15708.43,16137.436,16566.442,16995.448,17424.454,17853.46,16983.00386,16112.54773,15242.09159,14371.63545,13501.17932,13280.45425,13059.72918,12839.00411,12618.27905,12397.55398,12176.82891,11956.10384,11735.37877,11514.6537
5TMIIN,,,,,,,,,,,,,,17832.49,19061.68,20290.87,21520.06,22749.25,23978.44,25318.12,26657.8,27997.48,29337.16,30676.84,32670.642,34664.444,36658.246,38652.048,40645.85,42510.372,44374.894,46239.416,48103.938,49968.46,52209.462,54450.464,56691.466,58932.468,61173.47,59120.97465,57068.4793,55015.98395,52963.4886,50910.99326,51005.24658,51099.49991,51193.75323,51288.00656,51382.25988,51476.51321,51570.76653,51665.01986,51759.27318
5TMIMA,,,,,,,,,,,,,,4.51,5.1,5.69,6.28,6.87,7.46,8.3,9.14,9.98,10.82,11.66,12.814,13.968,15.122,16.276,17.43,19.002,20.574,22.146,23.718,25.29,27.542,29.794,32.046,34.298,36.55,34.83065485,33.11130969,31.39196454,29.67261938,27.95327423,28.21960165,28.48592908,28.7522565,29.01858392,29.28491135,29.55123877,29.81756619,30.08389361,30.35022104
5TMIOH,,,,,,,,,,,,,,18900.32,19834.74,20769.16,21703.58,22638,23572.42,24771.52,25970.62,27169.72,28368.82,29567.92,31039.054,32510.188,33981.322,35452.456,36923.59,38552.826,40182.062,41811.298,43440.534,45069.77,47250.266,49430.762,51611.258,53791.754,55972.25,55661.81044,55351.37088,55040.93132,54730.49176,54420.0522,55355.08042,56290.10864,57225.13686,58160.16508,59095.1933,60030.22152,60965.24974,61900.27796,62835.30618
5TMIVT,,,,,,,,,,,,,,276.66,287.026,297.392,307.758,318.124,328.49,340.7,352.91,365.12,377.33,389.54,405.188,420.836,436.484,452.132,467.78,487.782,507.784,527.786,547.788,567.79,591.37,614.95,638.53,662.11,685.69,682.1407082,678.5914164,675.0421246,671.4928329,667.9435411,677.9588952,687.9742493,697.9896034,708.0049575,718.0203116,728.0356657,738.0510198,748.0663739,758.081728
